Gene.ID	Gene.Name	DN	DS	Rat.homology.type
ENSMUSG00000073409	H2-Q6	0.2096	0.3672	ortholog_many2many
ENSMUSG00000113372	Gm18624			
ENSMUSG00000028099	Polr3c	0.0124	0.1898	ortholog_one2one
ENSMUSG00000058275	Olfr412	0.0263	0.1759	ortholog_one2one
ENSMUSG00000083204	Gm13788			
ENSMUSG00000049265	Kcnk3	0.0029	0.2369	ortholog_one2one
ENSMUSG00000087069	Gm13793			
ENSMUSG00000113805	Gm5788	0.0278	0.301	ortholog_one2many
ENSMUSG00000105051	Gm4248			
ENSMUSG00000084906	Gm13794			
ENSMUSG00000113323	Gm18625			
ENSMUSG00000113263	Gm4811			
ENSMUSG00000087521	AI646519			
ENSMUSG00000028773	Fabp3	0.0301	0.329	ortholog_one2one
ENSMUSG00000053214	Gm9899			
ENSMUSG00000113614	Gm49362			
ENSMUSG00000028709	Mob3c	0.0038	0.19	ortholog_one2one
ENSMUSG00000079034	Gm8300	0.0279	0.2379	ortholog_one2many
ENSMUSG00000003033	Ap1m1	0.001	0.2842	ortholog_one2one
ENSMUSG00000070504	Fcrl6	0.2034	0.2241	ortholog_one2one
ENSMUSG00000092245	Gm17973			
ENSMUSG00000057863	Rpl36	0	0	ortholog_one2many
ENSMUSG00000057863	Rpl36	0.0075	0.6448	ortholog_one2many
ENSMUSG00000057863	Rpl36	0	0	ortholog_one2many
ENSMUSG00000057863	Rpl36	0.0199	0.6095	ortholog_one2many
ENSMUSG00000057863	Rpl36	0.0075	0.6979	ortholog_one2many
ENSMUSG00000114187	Gm18626			
ENSMUSG00000021361	Tmem14c	0.0305	0.2128	ortholog_one2many
ENSMUSG00000021361	Tmem14c	0.0217	0.2514	ortholog_one2many
ENSMUSG00000036962	Cfap221	0.0765	0.2466	ortholog_one2one
ENSMUSG00000087405	Gm14232			
ENSMUSG00000113474	Gm48110			
ENSMUSG00000027327	1700037H04Rik	0.0182	0.1869	ortholog_one2one
ENSMUSG00000028772	Zcchc17	0.0109	0.1456	ortholog_one2one
ENSMUSG00000083126	Gm14109			
ENSMUSG00000080844	Gm14107			
ENSMUSG00000081741	Gm14106			
ENSMUSG00000115997	Gm49404			
ENSMUSG00000051986	A530006G24Rik			
ENSMUSG00000113807	Gm6888			
ENSMUSG00000112900	Gm48204			
ENSMUSG00000036019	Tmtc2	0.0144	0.2117	ortholog_one2one
ENSMUSG00000026544	Dusp23	0.0188	0.1844	ortholog_one2one
ENSMUSG00000082646	Gm12732			
ENSMUSG00000074849	Spata31d1c	0.1279	0.1305	ortholog_one2one
ENSMUSG00000020198	Ap3d1	0.0087	0.1976	ortholog_one2one
ENSMUSG00000081543	Gm12733			
ENSMUSG00000109743	Gm45255			
ENSMUSG00000110179	Gm39168			
ENSMUSG00000041168	Lonp1	0.0129	0.2874	ortholog_one2one
ENSMUSG00000056162	Cndp1	0.0594	0.2413	ortholog_one2one
ENSMUSG00000081187	3110067C02Rik			
ENSMUSG00000073842	Mup7			ortholog_many2many
ENSMUSG00000073842	Mup7	0.2563	0.3724	ortholog_many2many
ENSMUSG00000073842	Mup7	0.3129	0.3574	ortholog_many2many
ENSMUSG00000073842	Mup7	0.2266	0.3491	ortholog_many2many
ENSMUSG00000073842	Mup7	0.2229	0.3588	ortholog_many2many
ENSMUSG00000073842	Mup7	0.2413	0.4111	ortholog_many2many
ENSMUSG00000073842	Mup7	0.2362	0.3307	ortholog_many2many
ENSMUSG00000073842	Mup7	0.2852	0.277	ortholog_many2many
ENSMUSG00000073842	Mup7	0.2677	0.3448	ortholog_many2many
ENSMUSG00000073842	Mup7	0.2563	0.3724	ortholog_many2many
ENSMUSG00000073842	Mup7	0.2502	0.3774	ortholog_many2many
ENSMUSG00000103062	Gm37200			
ENSMUSG00000105865	Gm34144			
ENSMUSG00000093930	Hmgcs1	0.011	0.2044	ortholog_one2one
ENSMUSG00000036661	Dennd3	0.0351	0.2659	ortholog_one2one
ENSMUSG00000075598	Smok3c	0.4413	0.7986	ortholog_many2many
ENSMUSG00000075598	Smok3c	0.5005	1.0535	ortholog_many2many
ENSMUSG00000075598	Smok3c	0.5016	1.0332	ortholog_many2many
ENSMUSG00000079434	Neu2	0.0537	0.192	ortholog_one2one
ENSMUSG00000023991	Foxp4	0.0068	0.1379	ortholog_one2one
ENSMUSG00000073752	Gm10570			
ENSMUSG00000116965	Gm36742			
ENSMUSG00000108028	Gm8143			
ENSMUSG00000069378	Prdm6	0.0294	0.2423	ortholog_one2one
ENSMUSG00000026667	Uhmk1	0.0034	0.1486	ortholog_one2many
ENSMUSG00000026667	Uhmk1	0.0023	0.1563	ortholog_one2many
ENSMUSG00000081757	Gm13798			
ENSMUSG00000110035	Gm30931			
ENSMUSG00000108878	Gm49493			
ENSMUSG00000038503	Mesd	0.0311	0.2074	ortholog_one2one
ENSMUSG00000030271	Ogg1	0.0341	0.1356	ortholog_one2one
ENSMUSG00000111734	Gm29825			
ENSMUSG00000028076	Cd1d1	0.0855	0.2435	ortholog_one2many
ENSMUSG00000096555	Olfr944	0.1051	0.3361	ortholog_many2many
ENSMUSG00000096555	Olfr944	0.1374	0.285	ortholog_many2many
ENSMUSG00000096555	Olfr944	0.1374	0.285	ortholog_many2many
ENSMUSG00000096555	Olfr944	0.1051	0.3361	ortholog_many2many
ENSMUSG00000116573	Gm36903			
ENSMUSG00000083846	Gm13797			
ENSMUSG00000102642	A130048G24Rik			
ENSMUSG00000102503	Gm37370			
ENSMUSG00000098070	Gm8609			
ENSMUSG00000112176	Gm48205			
ENSMUSG00000103632	Gm38329			
ENSMUSG00000087537	Gm13799			
ENSMUSG00000052331	Ankrd44	0.0064	0.1679	ortholog_one2one
ENSMUSG00000099773	Hmgb1-rs16			
ENSMUSG00000085282	Gm15663			
ENSMUSG00000104302	Gm36975			
ENSMUSG00000035093	Secisbp2l	0.0266	0.1999	ortholog_one2one
ENSMUSG00000101945	Gm29138			
ENSMUSG00000107935	Gm4872			
ENSMUSG00000104258	Gm37175			
ENSMUSG00000101085	Gm8531			
ENSMUSG00000112512	Gm48203			
ENSMUSG00000104053	Gm38126			
ENSMUSG00000117676	Gm50314			
ENSMUSG00000082327	Gm13801			
ENSMUSG00000103200	Gm37328			
ENSMUSG00000112571	Gm48207			
ENSMUSG00000112193	Gm48206			
ENSMUSG00000109612	Gm45253			
ENSMUSG00000103432	6720464F23Rik			
ENSMUSG00000048087	Gm4737	0.0052	0.1755	ortholog_one2many
ENSMUSG00000084399	Gm15666			
ENSMUSG00000109912	Gm45245			
ENSMUSG00000089885	Gm16296			
ENSMUSG00000103391	Gm38302			
ENSMUSG00000022900	Ildr1	0.0219	0.1751	ortholog_one2one
ENSMUSG00000040390	Map3k10	0.0098	0.1656	ortholog_one2one
ENSMUSG00000086141	9030622O22Rik			
ENSMUSG00000118401	Gpr52			
ENSMUSG00000073514	Dok6	0	0	ortholog_one2one
ENSMUSG00000083239	Mup-ps1			
ENSMUSG00000089904	Gm15664			
ENSMUSG00000104020	Gm37215			
ENSMUSG00000105146	Gm35409			
ENSMUSG00000113351	Gm48575			
ENSMUSG00000096109	Olfr1537	0.0836	0.2608	ortholog_many2many
ENSMUSG00000096109	Olfr1537	0.104	0.2572	ortholog_many2many
ENSMUSG00000096109	Olfr1537	0.104	0.2572	ortholog_many2many
ENSMUSG00000096109	Olfr1537	0.0836	0.2608	ortholog_many2many
ENSMUSG00000026721	Rabgap1l	0.0176	0.1432	ortholog_one2one
ENSMUSG00000019815	Zc2hc1b	0.0883	0.1556	ortholog_one2one
ENSMUSG00000026259	Ngef	0.0298	0.2995	ortholog_one2one
ENSMUSG00000060550	H2-Q7	0.1697	0.168	ortholog_many2many
ENSMUSG00000060550	H2-Q7	0.1194	0.224	ortholog_many2many
ENSMUSG00000060550	H2-Q7	0.1484	0.2088	ortholog_many2many
ENSMUSG00000060550	H2-Q7	0.1573	0.2561	ortholog_many2many
ENSMUSG00000060550	H2-Q7	0.1335	0.2285	ortholog_many2many
ENSMUSG00000060550	H2-Q7	0.1825	0.2955	ortholog_many2many
ENSMUSG00000060550	H2-Q7	0.1534	0.3091	ortholog_many2many
ENSMUSG00000060550	H2-Q7	0.1448	0.194	ortholog_many2many
ENSMUSG00000060550	H2-Q7	0.1551	0.1968	ortholog_many2many
ENSMUSG00000060550	H2-Q7	0.1809	0.2815	ortholog_many2many
ENSMUSG00000025204	Ndufb8	0.0302	0.2675	ortholog_one2one
ENSMUSG00000091288	Gm17075			
ENSMUSG00000114934	Gm48342			
ENSMUSG00000030272	Camk1	0.0012	0.1387	ortholog_one2one
ENSMUSG00000050587	Lrrc4c	0	0	ortholog_one2one
ENSMUSG00000078688	Mup2			ortholog_many2many
ENSMUSG00000078688	Mup2	0.251	0.3368	ortholog_many2many
ENSMUSG00000078688	Mup2	0.3086	0.3292	ortholog_many2many
ENSMUSG00000078688	Mup2	0.2167	0.354	ortholog_many2many
ENSMUSG00000078688	Mup2	0.2238	0.2934	ortholog_many2many
ENSMUSG00000078688	Mup2	0.2363	0.3729	ortholog_many2many
ENSMUSG00000078688	Mup2	0.2337	0.3022	ortholog_many2many
ENSMUSG00000078688	Mup2	0.2799	0.2455	ortholog_many2many
ENSMUSG00000078688	Mup2	0.2623	0.311	ortholog_many2many
ENSMUSG00000078688	Mup2	0.251	0.3368	ortholog_many2many
ENSMUSG00000078688	Mup2	0.2475	0.3465	ortholog_many2many
ENSMUSG00000068267	Cenpb	0.0118	0.1187	ortholog_one2one
ENSMUSG00000029055	Plch2	0.0813	0.4436	ortholog_one2one
ENSMUSG00000118072	Gm50101			
ENSMUSG00000099906	Gm28653			
ENSMUSG00000104265	Gm8869			
ENSMUSG00000111939	Gm48177			
ENSMUSG00000103913	Gm18403			
ENSMUSG00000090047	Gm16297			
ENSMUSG00000112392	Gm35240			
ENSMUSG00000102394	Gm37575			
ENSMUSG00000118274	Gm50204			
ENSMUSG00000111896	Gm48196			
ENSMUSG00000115508	Gm49786			
ENSMUSG00000115841	Gm49105			
ENSMUSG00000063428	Ddo	0.0424	0.256	ortholog_one2one
ENSMUSG00000007944	Ttc9b	0.0077	0.0669	ortholog_one2one
ENSMUSG00000112971	Gm33682			
ENSMUSG00000114045	Gm34220			
ENSMUSG00000085766	2810430I11Rik			
ENSMUSG00000092009	Myh15	0.0597	0.21	ortholog_one2one
ENSMUSG00000067144	Slc22a7	0.0675	0.2668	ortholog_one2one
ENSMUSG00000086560	Gm13372			
ENSMUSG00000028098	Rnf115	0.0015	0.1193	ortholog_one2one
ENSMUSG00000072969	Armcx5	0.0422	0.1658	ortholog_one2one
ENSMUSG00000010609	Psen2	0.0128	0.3355	ortholog_one2one
ENSMUSG00000066475	Gm10268			
ENSMUSG00000089834	Gm16303			
ENSMUSG00000047638	Nr1h4	0.0205	0.2799	ortholog_one2one
ENSMUSG00000044306	4930500M09Rik			
ENSMUSG00000038115	Ano2	0.0064	0.1555	ortholog_one2one
ENSMUSG00000118310	Gm50268			
ENSMUSG00000036636	Clcn7	0.0006	0.1422	ortholog_one2one
ENSMUSG00000024442	Dele1	0.0378	0.1765	ortholog_one2one
ENSMUSG00000091061	4930445B16Rik			
ENSMUSG00000072964	Bhlhb9	0.0252	0.2065	ortholog_one2one
ENSMUSG00000090449	Gm17076			
ENSMUSG00000097743	Gm16973			
ENSMUSG00000107123	Vmn2r-ps25			
ENSMUSG00000021356	Irf4	0.0099	0.1425	ortholog_one2one
ENSMUSG00000079184	Mphosph8	0.045	0.2101	ortholog_one2many
ENSMUSG00000079184	Mphosph8	0.0556	0.236	ortholog_one2many
ENSMUSG00000063380	Olfr945	0.0752	0.27	ortholog_one2one
ENSMUSG00000113803	Gm18615			
ENSMUSG00000057522	Spop	0	0	ortholog_one2one
ENSMUSG00000106703	Vmn2r-ps26			
ENSMUSG00000102893	Gm37855			
ENSMUSG00000111762	Olfr946-ps1			
ENSMUSG00000096576	Oog1			
ENSMUSG00000041734	Kirrel	0.0065	0.1809	ortholog_one2one
ENSMUSG00000098126	Gm27037			
ENSMUSG00000026387	Sctr	0.0862	0.2318	ortholog_one2one
ENSMUSG00000029175	Slc35f6	0.0171	0.1839	ortholog_one2one
ENSMUSG00000105976	Gm42782			
ENSMUSG00000090658	Prss47	0.07	0.1427	ortholog_one2one
ENSMUSG00000028873	Cdca8	0.0283	0.1855	ortholog_one2one
ENSMUSG00000001942	Siae	0.0593	0.2163	ortholog_one2one
ENSMUSG00000016386	Mpped2	0.0048	0.1094	ortholog_one2one
ENSMUSG00000091471	Gm20538			
ENSMUSG00000051984	Sec31b	0.0737	0.2064	ortholog_one2one
ENSMUSG00000036986	Pml	0.066	0.2495	ortholog_one2one
ENSMUSG00000021832	Psmc6	0	0	ortholog_one2one
ENSMUSG00000092278	Gm8752			
ENSMUSG00000025929	Il17a	0.0747	0.3066	ortholog_one2one
ENSMUSG00000067235	H2-Q10	0.1654	0.3095	ortholog_many2many
ENSMUSG00000067235	H2-Q10	0.1056	0.282	ortholog_many2many
ENSMUSG00000067235	H2-Q10	0.1437	0.3028	ortholog_many2many
ENSMUSG00000067235	H2-Q10	0.1265	0.3223	ortholog_many2many
ENSMUSG00000067235	H2-Q10	0.1345	0.3565	ortholog_many2many
ENSMUSG00000067235	H2-Q10	0.1459	0.3882	ortholog_many2many
ENSMUSG00000067235	H2-Q10	0.136	0.3689	ortholog_many2many
ENSMUSG00000067235	H2-Q10	0.1221	0.3644	ortholog_many2many
ENSMUSG00000067235	H2-Q10	0.1439	0.3286	ortholog_many2many
ENSMUSG00000067235	H2-Q10	0.1589	0.3955	ortholog_many2many
ENSMUSG00000113127	Gm48154			
ENSMUSG00000029715	Pop7	0.0062	0.2061	ortholog_one2one
ENSMUSG00000020541	Tom1l1	0.0599	0.1878	ortholog_one2one
ENSMUSG00000095724	Gm21319	0.0417	0.2127	ortholog_one2many
ENSMUSG00000091742	Gm5093			
ENSMUSG00000113912	Gm21937			
ENSMUSG00000112949	Gm21939			
ENSMUSG00000113201	Gm21936	0.0374	0.273	ortholog_one2many
ENSMUSG00000044814	Olfr543			
ENSMUSG00000114059	Gm48153			
ENSMUSG00000113025	Gm49363			
ENSMUSG00000113685	Gm21038			
ENSMUSG00000091794	Vmn2r18			
ENSMUSG00000006411	Nectin4	0.0142	0.1619	ortholog_one2one
ENSMUSG00000113815	Gm48149			
ENSMUSG00000092019	Gm4027	0.0483	0.2013	ortholog_one2many
ENSMUSG00000043384	Gprasp1	0.0585	0.1811	ortholog_one2one
ENSMUSG00000098156	Gm27023			
ENSMUSG00000072692	Rpl37rt			
ENSMUSG00000113971	Gm2022	0.0342	0.2279	ortholog_one2many
ENSMUSG00000097080	1700086O06Rik			
ENSMUSG00000034157	Cipc	0.0545	0.19	ortholog_one2one
ENSMUSG00000022875	Kng1	0.1572	0.2709	ortholog_one2many
ENSMUSG00000113991	Gm48151			
ENSMUSG00000114101	Gm48152			
ENSMUSG00000113129	Gm21569			
ENSMUSG00000073530	Pappa2	0.0375	0.1516	ortholog_one2one
ENSMUSG00000043925	Olfr544	0.0181	0.2345	ortholog_one2one
ENSMUSG00000113280	Gm21559			
ENSMUSG00000073840	Mup-ps2			
ENSMUSG00000113286	Gm18627			
ENSMUSG00000104415	Gm37069			
ENSMUSG00000072905	Gm2016	0.034	0.2167	ortholog_one2many
ENSMUSG00000102234	Gm37885			
ENSMUSG00000111190	Olfr947-ps1			
ENSMUSG00000026509	Capn2	0.0098	0.2055	ortholog_one2one
ENSMUSG00000113011	Gm1995			
ENSMUSG00000111839	Gm39383			
ENSMUSG00000118500	AC211878.1			
ENSMUSG00000113489	Gm16381	0.0128	0.2609	ortholog_one2many
ENSMUSG00000050241	Klre1	0.1172	0.202	ortholog_one2one
ENSMUSG00000041872	Il17f	0.0571	0.2228	ortholog_one2one
ENSMUSG00000079031	BB287469	0.0483	0.2013	ortholog_one2many
ENSMUSG00000101674	4930444A19Rik			
ENSMUSG00000090994	Gm6153			
ENSMUSG00000113206	Gm3742			
ENSMUSG00000091123	Gm17181			
ENSMUSG00000114074	Gm48150			
ENSMUSG00000043020	Wdr63	0.0581	0.3113	ortholog_one2one
ENSMUSG00000113951	Gm2001	0.0128	0.2609	ortholog_one2many
ENSMUSG00000105678	Gm43705			
ENSMUSG00000044730	9930104L06Rik	0.0552	0.2472	ortholog_one2one
ENSMUSG00000105685	Gm43315			
ENSMUSG00000037469	Acp7	0.0292	0.2994	ortholog_one2one
ENSMUSG00000039771	Polr2j	0	0	ortholog_one2one
ENSMUSG00000085998	AW822252			
ENSMUSG00000036596	Cpz	0.021	0.2441	ortholog_one2one
ENSMUSG00000039375	Wdr17	0.0266	0.2173	ortholog_one2one
ENSMUSG00000097760	6030442K20Rik			
ENSMUSG00000023175	Bsg	0.0679	0.2864	ortholog_one2one
ENSMUSG00000095930	Nim1k	0.0228	0.1902	ortholog_one2one
ENSMUSG00000024997	Prdx3	0.0205	0.1188	ortholog_one2one
ENSMUSG00000082527	Gm8200			
ENSMUSG00000042046	Dstyk	0.019	0.2291	ortholog_one2one
ENSMUSG00000038807	Rap1gap2	0.0069	0.1375	ortholog_one2one
ENSMUSG00000066042	Med18	0.0085	0.245	ortholog_one2one
ENSMUSG00000038126	Mphosph9	0.0896	0.2958	ortholog_one2one
ENSMUSG00000099188	Gm27248			
ENSMUSG00000044824	Olfr545	0.0206	0.2219	ortholog_one2one
ENSMUSG00000055555	4930502E18Rik			
ENSMUSG00000074259	Gramd2	0.0429	0.1534	ortholog_one2one
ENSMUSG00000083208	Gm11522			
ENSMUSG00000105349	Gm43604			
ENSMUSG00000029703	Lrwd1	0.0484	0.2266	ortholog_one2one
ENSMUSG00000085333	1700030A11Rik			
ENSMUSG00000096964	Gm6345			
ENSMUSG00000026368	F13b	0.0599	0.2158	ortholog_one2one
ENSMUSG00000106326	Gm42977			
ENSMUSG00000048905	4930539E08Rik			
ENSMUSG00000102418	Sh2d1b1			ortholog_one2one
ENSMUSG00000055652	Klhl25	0.0039	0.2158	ortholog_one2one
ENSMUSG00000030499	Kctd15	0.0016	0.1961	ortholog_one2one
ENSMUSG00000104739	Gm3283			
ENSMUSG00000047661	1600012P17Rik			
ENSMUSG00000104560	Gm8115			
ENSMUSG00000054727	1700013H16Rik			
ENSMUSG00000043621	Ubxn10	0.0376	0.4138	ortholog_one2one
ENSMUSG00000042759	Apobr	0.1152	0.1197	ortholog_one2one
ENSMUSG00000069805	Fbp1	0.0504	0.255	ortholog_one2one
ENSMUSG00000093884	Olfr239	0.0211	0.1743	ortholog_many2many
ENSMUSG00000093884	Olfr239	0.0254	0.1573	ortholog_many2many
ENSMUSG00000093884	Olfr239	0.0253	0.2021	ortholog_many2many
ENSMUSG00000113046	Gm48579			
ENSMUSG00000073494	Sh2d1b2			ortholog_one2one
ENSMUSG00000113879	Gm48580			
ENSMUSG00000109561	Ankrd31	0.1251	0.2384	ortholog_one2one
ENSMUSG00000113515	Gm29675			
ENSMUSG00000028750	Pla2g2c	0.0386	0.3084	ortholog_one2one
ENSMUSG00000029272	Sult1e1	0.0668	0.2753	ortholog_one2one
ENSMUSG00000082616	Gm6025			
ENSMUSG00000033837	Foxh1	0.0582	0.1273	ortholog_one2one
ENSMUSG00000083483	Gm14044			
ENSMUSG00000022993	4930415O20Rik	0.0708	0.1878	ortholog_one2one
ENSMUSG00000001281	Itgb7	0.034	0.2231	ortholog_one2one
ENSMUSG00000022636	Alcam	0.0109	0.1986	ortholog_one2one
ENSMUSG00000112272	Gm48087			
ENSMUSG00000059334	Zfp36l3	0.1616	0.3166	ortholog_one2one
ENSMUSG00000087702	Gm13575			
ENSMUSG00000027641	Rbl1	0.0192	0.2736	ortholog_one2one
ENSMUSG00000046719	Nxph3	0.0035	0.1599	ortholog_one2one
ENSMUSG00000082127	Gm13577			
ENSMUSG00000081065	Gm13576			
ENSMUSG00000105291	Gm18901			
ENSMUSG00000040007	Bahd1	0.0117	0.149	ortholog_one2one
ENSMUSG00000084308	Gm14593			
ENSMUSG00000105693	Gm43706			
ENSMUSG00000084104	Gm13578			
ENSMUSG00000104892	Gm6615			
ENSMUSG00000084047	Gm14984			
ENSMUSG00000117160	Gm49859			
ENSMUSG00000117066	Gm49860			
ENSMUSG00000067006	Serpinb5	0.0258	0.1669	ortholog_one2one
ENSMUSG00000114154	Gm48597			
ENSMUSG00000033579	Fa2h	0.0256	0.1499	ortholog_one2one
ENSMUSG00000108905	Gm44618			
ENSMUSG00000091387	Gcnt4	0.0494	0.2857	ortholog_one2one
ENSMUSG00000034480	Diaph2	0.0574	0.2941	ortholog_one2one
ENSMUSG00000108865	Gm44617			
ENSMUSG00000111909	Gm18670			
ENSMUSG00000112601	Gm47590			
ENSMUSG00000027459	Fam110a	0.0139	0.1911	ortholog_one2one
ENSMUSG00000104331	Gm38284			
ENSMUSG00000057349	Olfr948	0.0368	0.1712	ortholog_one2many
ENSMUSG00000057349	Olfr948	0.0604	0.1958	ortholog_one2many
ENSMUSG00000098915	Rpl15-ps2			
ENSMUSG00000113934	Gm48609			
ENSMUSG00000099313	Gm27152			
ENSMUSG00000109822	Gm8556			
ENSMUSG00000101973	Gm29516			
ENSMUSG00000102143	Gm38057			
ENSMUSG00000099629	Gm29515			
ENSMUSG00000111774	Gm38398			
ENSMUSG00000011114	Tbrg1	0.017	0.1583	ortholog_one2many
ENSMUSG00000011114	Tbrg1	0.0144	0.1562	ortholog_one2many
ENSMUSG00000116664	Gm18549			
ENSMUSG00000078687	Mup8			ortholog_many2many
ENSMUSG00000078687	Mup8	0.2574	0.3412	ortholog_many2many
ENSMUSG00000078687	Mup8	0.3153	0.3338	ortholog_many2many
ENSMUSG00000078687	Mup8	0.2167	0.354	ortholog_many2many
ENSMUSG00000078687	Mup8	0.2395	0.3038	ortholog_many2many
ENSMUSG00000078687	Mup8	0.243	0.3771	ortholog_many2many
ENSMUSG00000078687	Mup8	0.2317	0.3093	ortholog_many2many
ENSMUSG00000078687	Mup8	0.2861	0.2494	ortholog_many2many
ENSMUSG00000078687	Mup8	0.269	0.3148	ortholog_many2many
ENSMUSG00000078687	Mup8	0.2574	0.3412	ortholog_many2many
ENSMUSG00000078687	Mup8	0.2542	0.3506	ortholog_many2many
ENSMUSG00000019814	Ltv1	0.0608	0.2617	ortholog_one2one
ENSMUSG00000101208	Gm19891			
ENSMUSG00000116966	Gm18550			
ENSMUSG00000003228	Grk5	0.0023	0.1137	ortholog_one2one
ENSMUSG00000032228	Tcf12	0.0033	0.0879	ortholog_one2one
ENSMUSG00000073976	1700026J12Rik			
ENSMUSG00000116901	Gm49667			
ENSMUSG00000102752	Gm7694			
ENSMUSG00000101735	Gm18505			
ENSMUSG00000102923	Gm31728			
ENSMUSG00000092383	H2-Pb			
ENSMUSG00000099842	Gm4034			
ENSMUSG00000024290	Rock1	0.0082	0.1799	ortholog_one2one
ENSMUSG00000111622	Gm21041			
ENSMUSG00000101074	Gm29022			
ENSMUSG00000110780	Olfr949-ps1			
ENSMUSG00000057037	Cfhr1	0.1167	0.2138	ortholog_one2one
ENSMUSG00000118035	Gm6173			
ENSMUSG00000037025	Foxa2	0.0083	0.1888	ortholog_one2one
ENSMUSG00000042800	Spata46	0.0104	0.1655	ortholog_one2one
ENSMUSG00000114369	Gm41077			
ENSMUSG00000085923	Gm12781			
ENSMUSG00000027296	Itpka	0.007	0.1504	ortholog_one2one
ENSMUSG00000094870	Zfp131	0.0177	0.168	ortholog_one2one
ENSMUSG00000105802	Gm43012			
ENSMUSG00000106928	Gm43860			
ENSMUSG00000116404	Gm49541			
ENSMUSG00000032523	Hhatl	0.0123	0.2524	ortholog_one2one
ENSMUSG00000110443	Gm39197			
ENSMUSG00000038473	Nos1ap	0.0083	0.1703	ortholog_one2one
ENSMUSG00000015599	Ttbk1	0.0482	0.2875	ortholog_one2one
ENSMUSG00000020544	Cox11	0.0331	0.1219	ortholog_one2one
ENSMUSG00000070713	Gm10282	0.0941	0.1772	ortholog_many2many
ENSMUSG00000070713	Gm10282	0.0104	0.134	ortholog_many2many
ENSMUSG00000041429	Nthl1	0.0408	0.2151	ortholog_one2one
ENSMUSG00000048915	Efna5	0.0797	0.3608	ortholog_one2one
ENSMUSG00000106217	Gm43368			
ENSMUSG00000074916	Chst14	0.0126	0.1254	ortholog_one2one
ENSMUSG00000105246	Gm21043			
ENSMUSG00000024406	Pou5f1	0.0235	0.1713	ortholog_one2one
ENSMUSG00000108495	Gm45139			
ENSMUSG00000036853	Mcoln3	0.02	0.2601	ortholog_one2one
ENSMUSG00000108467	Gm45211			
ENSMUSG00000101564	Gm5703			
ENSMUSG00000064299	4921528I07Rik			
ENSMUSG00000083750	Gm14108			
ENSMUSG00000082588	Gm15443			
ENSMUSG00000033767	Tmem131l	0.0442	0.158	ortholog_one2one
ENSMUSG00000090623	Cfhr3			
ENSMUSG00000100917	Gm18751			
ENSMUSG00000032394	Igdcc3	0.0345	0.1916	ortholog_one2one
ENSMUSG00000027933	Ints3	0.0018	0.1413	ortholog_one2one
ENSMUSG00000037014	Sstr4	0.011	0.1749	ortholog_one2one
ENSMUSG00000074733	Zfp950	0.0506	0.2679	ortholog_one2one
ENSMUSG00000102074	Gm29020			
ENSMUSG00000116769	8030451O07Rik			
ENSMUSG00000103878	Gm8197			
ENSMUSG00000103693	Gm37529			
ENSMUSG00000098197	BC051537			
ENSMUSG00000081306	Gm15266			
ENSMUSG00000042050	Wdr60	0.0292	0.2008	ortholog_one2one
ENSMUSG00000102172	Gm37873			
ENSMUSG00000101234	1700007E05Rik			
ENSMUSG00000001948	Spa17	0.0368	0.0677	ortholog_one2one
ENSMUSG00000024334	H2-Oa	0.0537	0.2112	ortholog_one2one
ENSMUSG00000101457	Gm18701			
ENSMUSG00000103522	9430087J23Rik			
ENSMUSG00000069814	Ccdc92b	0.0827	0.2997	ortholog_one2one
ENSMUSG00000075160	Olfr259	0.0489	0.2587	ortholog_one2many
ENSMUSG00000075160	Olfr259	0.0641	0.2375	ortholog_one2many
ENSMUSG00000104026	Gm37212			
ENSMUSG00000027463	Slc52a3	0.0245	0.1764	ortholog_one2one
ENSMUSG00000102314	Gm37630			
ENSMUSG00000102309	Gm38189			
ENSMUSG00000063935	Zar1	0.0595	0.2876	ortholog_one2one
ENSMUSG00000116690	Gm49736			
ENSMUSG00000045378	Pxt1	0.0881	0.2521	ortholog_one2one
ENSMUSG00000096578	Gm9529			
ENSMUSG00000021566	Slc6a19os			
ENSMUSG00000098224	Gm7985			
ENSMUSG00000035413	Tmem98	0	0	ortholog_one2one
ENSMUSG00000081610	Gm13733			
ENSMUSG00000076618	Ighj4			
ENSMUSG00000034574	Daam1	0.0032	0.1791	ortholog_one2one
ENSMUSG00000100783	2310047D07Rik			
ENSMUSG00000114244	Gm47119			
ENSMUSG00000075159	Olfr1110			
ENSMUSG00000052075	1700029F12Rik			
ENSMUSG00000021565	Slc6a19	0.0192	0.1803	ortholog_one2one
ENSMUSG00000100465	Gm29264			
ENSMUSG00000098950	Gm28036			
ENSMUSG00000086499	Gm16217			
ENSMUSG00000087693	Gm16191			
ENSMUSG00000062275	Fbxw24	0.2135	0.322	ortholog_one2many
ENSMUSG00000040249	Lrp1	0.0032	0.3005	ortholog_one2one
ENSMUSG00000105382	Gm43339			
ENSMUSG00000107317	Gm19719			
ENSMUSG00000105228	Gm43340			
ENSMUSG00000049107	Ntf3	0.0037	0.1128	ortholog_one2one
ENSMUSG00000053820	Bcl2a1c	0.1256	0.3403	ortholog_one2many
ENSMUSG00000047635	2810006K23Rik	0.0535	0.1998	ortholog_one2one
ENSMUSG00000112003	Gm4864			
ENSMUSG00000060063	Alox5ap	0.0195	0.2514	ortholog_one2one
ENSMUSG00000098241	H2-Pa			
ENSMUSG00000111903	4930458K08Rik			
