Protein Name,CycID,ARS_pvalue,ARS_BH.Q,ARS_period,ARS_adjphase,ARS_amplitude,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,CT3,CT7,CT11,CT15,CT19,CT23,CT27,CT31,CT35,CT39,CT43,CT47
14-3-3 protein eta,Ywhah,0.115669073,0.388374063,20.68393782,14.56092902,0.339240223,0.805264174,1,20,15,0.247089973,0.685698915,1,20,13.18121941,0.636415805,0.481233493,0.999999999,20.22797927,14.24736314,0.374508245,0.339577343,0.339577343,0,0.650103267,0.105804166,0.38945329,0.979563929,0.040015299,0.275895727,0.767641658,0.782123466,0.553518364,-0.3107188,-0.26632423
Ubiquitin-conjugating enzyme E2 L3,Ube2l3,0.086322826,0.334342799,20.79166667,5.321234092,0.133419496,0.558904371,1,20,7,0.132679165,0.557813799,1,20,3.000059446,0.063961249,0.300070251,0.985085857,20.26388889,5.111896489,-0.101980844,0.13476247,0.13476247,0,0.135927508,0.041153307,-0.18099974,-0.041666254,-0.092300037,-0.195334373,-0.048529823,-0.435255724,-0.279936712,0.009306068,0.074879476
Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO) (Testis/brain RNA-binding protein) (TB-RBP),Tsn,0.593221771,0.802049088,24,19.33798131,0.208445965,0.15763919,0.798488541,28,17,0.408244147,0.614049527,1,28,16.82275178,0.712829589,0.455904758,0.999999999,26.66666667,17.77678469,0.501686829,0.344229513,0.344229513,0,0.037612053,0.591014234,0.917750219,0.622937206,0.529309367,0.124397739,0.53536555,0.565490484,-0.386042182,1.378560501,1.162122661
Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-A-interacting protein) ... <Preview truncated at 128 characters>,Trim28 Kap1 Krip1 Tif1b,0.04204144,0.258718797,20.36734694,9.757668887,0.173106885,0.377646329,1,20,11,0.223258819,0.353381696,1,21.15755627,9.670919742,0.275038716,0.110053455,0.53361445,20.50830107,10.15492622,0.160096232,0.174484103,0.174484103,0,0.462228334,0.192134042,0.31573565,-0.137092226,0.055474233,0.355580422,0.268408974,0.199743277,-0.042216544,0.156971823,0.050673091
Mimecan (Osteoglycin),Ogn Og,0.296697161,0.583108821,24,17.23087256,0.14097321,0.096845539,0.706684773,28,17,0.083819498,0.301373751,1,28,15.24509289,0.493098843,0.147438478,0.650671608,26.66666667,16.59561883,0.467540099,0.216133184,0.216133184,0,0.408012467,0.510704054,0.475278164,0.490147391,0.266294023,0.381887051,0.30705717,0.208195738,0.817450652,0.929766074,0.927087112
"NAD(P) transhydrogenase, mitochondrial",Nnt,0.1740265,0.472403427,20.06030151,8.356749903,0.144096008,0.15763919,0.798488541,28,1,0.109415977,0.609469191,1,23.0877193,4.253936999,0.0429544,0.225047979,0.838870746,23.71600694,4.788928856,-0.11777863,0.138342558,0.138342558,0,-0.110472819,0.277111459,-0.351708291,-0.347546179,-0.034845761,0.134862023,-0.028806966,-0.172501965,-0.27925848,-0.151333251,-0.336519464
Myosin light polypeptide 6,Myl6,0.001272399,0.118160561,20.16161616,17.03240944,0.456531167,0.032458965,0.613391204,20,17,0.425992963,0.131199232,1,20,19.00712528,0.521517819,0.000469479,0.027418239,20.05387205,17.67084465,0.355931458,0.455615968,0.455615968,0,-0.066136944,0.16697723,0.286812753,0.843618106,0.30930017,0.056409496,0.183858276,1.039013664,0.911745196,0.150040041,-0.097436071
Laminin subunit alpha-4 (Laminin-14 subunit alpha) (Laminin-8 subunit alpha) (Laminin-9 subunit alpha),Lama4,0.116256374,0.388575725,20.36734694,15.37489792,0.157552595,1,1,28,19,0.215535055,0.663059014,1,20,18.73267316,0.445089554,0.527795667,0.999999999,22.78911565,17.9001372,0.295613328,0.088283467,0.088283467,0,0.339562758,0.080434711,0.644076635,0.358040849,0.413051211,0.214687283,0.257801113,0.584305757,0.306511291,0.109417874,0.218645065
Lumican (Keratan sulfate proteoglycan lumican) (KSPG lumican),Lum Lcn Ldc,0.172142369,0.469884912,24,7.452644072,0.11743382,0.377646329,1,24,9,0.108220241,0.485881673,1,24.64419476,6.357480818,0.130213407,0.329246753,0.999999999,24.21473159,7.61327308,0.024469905,0.139538451,0.139538451,0,0.407343639,-0.102205934,0.03169977,-0.060097936,-0.046237684,0.124974247,0.034970471,0.239666966,-0.084316016,-0.158951746,-0.090080099
Inosine-5-monophosphate dehydrogenase 2 (Fragment),Impdh2,0.069476892,0.313177184,24,15.4314483,0.236180731,0.558904371,1,28,15,0.233925582,0.350260845,1,26.63967611,15.32579411,0.890089446,0.197654048,0.778989483,26.21322537,15.32117161,0.574593826,0.278872689,0.278872689,0,0.73768925,0.726119094,1.038348221,0.670855055,0.760286578,0.309872566,0.438061235,0.55409965,0.60070718,0.734147845,0.533277337
Heterochromatin protein 1-binding protein 3,Hp1bp3,0.199783066,0.500093255,20.16161616,6.248485415,0.098818131,1,1,20,5,0.109300901,0.868440174,1,21.71617162,3.000059446,0.009068575,0.74354929,0.999999999,20.62592926,4.817973544,-0.263253464,0.095964551,0.095964551,0,-0.039487813,-0.279389951,-0.102872683,-0.374004537,-0.253072243,-0.316147838,-0.339953362,-0.358471905,-0.559383083,-0.244456399,-0.149534784
Heme oxygenase 2 (Fragment),Hmox2,0.97329188,0.987805502,24,15.31537251,0.028947715,1,1,28,21,0.17396618,0.999718995,1,28,27.31225604,0.44146373,0.999996659,0.999999999,26.66666667,20.74881454,0.204450165,0.043384226,0.043384226,0,-0.502621411,0.29987432,0.253682958,0.200549667,0.387498072,0.423602117,0.618808132,0.018607424,0.514209242,0.098472221,0.110449098
14-3-3 protein zeta/delta (Fragment),Ywhaz,0.243708049,0.547779852,23.76190476,17.76615768,0.118900312,0.247873828,0.966576777,24,17,0.080094036,0.565204444,1,21.02236422,19.23957165,0.413362616,0.344161033,0.999999999,22.92808966,18.04753325,0.220274186,0.146807215,0.146807215,0,0.156090493,-0.060932691,0.332608575,0.619989622,0.270267582,0.13430243,0.192405859,0.300954919,0.298403697,0.157804126,0.21461749
Peroxiredoxin-2 (EC 1.11.1.15) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent pero... <Preview truncated at 128 characters>,Prdx2,0.677590327,0.840651963,24,5.33725019,0.066800122,0.805264174,1,20,11,0.13737154,0.729842052,1,20,7.159283347,0.190739372,0.933687587,0.999999999,21.33333333,7.94227476,0.12431366,0.128763005,0.128763005,0,0.206439737,0.305125494,-0.040999065,0.247678921,0.012167042,0.101633326,0.360407154,0.115816285,-0.238612287,0.249650068,0.222689615
Cystatin-B (Stefin-B),Cstb Cst6 Stfb,0.422342187,0.681264728,24,21.73462775,0.082099118,1,1,24,21,0.122407602,0.697986609,1,28,21.83713708,0.297588558,0.874792684,0.999999999,25.33333333,21.63641138,0.220014096,0.100591566,0.100591566,0,0.30757874,0.10375346,0.350054283,0.106478066,0.484500163,0.188579274,0.082610356,0.104431749,0.165205012,0.277203096,0.423676484
Hsp90 co-chaperone Cdc37 (Fragment),Cdc37,0.030914809,0.236108713,25.26582278,17.6122487,0.529490034,0.032458965,0.613391204,28,17,0.962615822,0.244809455,1,26.63967611,18.60797025,1.649418459,0.01077273,0.144354583,26.6351663,17.79091885,0.887207663,0.615306652,0.615306652,0,0.714028545,0.710536823,1.581041417,1.79703396,1.566404967,0.179492238,0.542798884,0.827254353,0.745656989,1.15628559,0.928018812
"Inter alpha-trypsin inhibitor, heavy chain 4",Itih4,0.242023418,0.54751377,21.23404255,8.173391202,0.392807443,1,1,28,13,0.375373909,0.923731112,1,20,11.18998299,0.698841756,0.809334898,0.999999999,23.07801418,10.83009631,0.710107151,0.108189825,0.108189825,0,1.253422479,0.580349027,0.985282521,0.569473746,0.486134543,0.69085271,0.884698551,0.544140203,0.555142949,0.902218557,1.030441096
Collagen alpha-1(XVI) chain,Col16a1,0.237509008,0.539981854,24,23.00392914,0.094286598,0.558904371,1,28,21,0.062877134,0.617649925,1,27.76371308,22.88578834,0.212096888,0.543515575,0.999999999,26.58790436,22.40508486,0.155340142,0.108153113,0.108153113,0,0.181392378,0.092332611,0.126408304,0.261501005,0.101007609,0.235474693,0.19032171,-0.141791199,0.043673111,0.312013998,0.350195791
Splicing factor 1,Sf1,0.023004078,0.218761366,22.05524862,15.81183424,0.15103796,0.096845539,0.706684773,24,17,0.136624629,0.265498189,1,23.41637011,17.72560111,0.530411075,0.021327074,0.213851066,23.15720624,16.84385609,0.423689354,0.156695971,0.156695971,0,0.357033758,0.34624114,0.5528272,0.595865097,0.405225733,0.431022157,0.355717449,0.529034524,0.62061067,0.534686458,0.31481007
Tubulin alpha chain (Fragment),Tuba4a,0.230236371,0.533056125,24,9.93007584,0.533220937,0.377646329,1,28,7,0.503311527,0.643622641,1,24.64419476,6.269561677,-0.469536537,0.449886265,0.999999999,25.54806492,7.761734786,-0.732957884,0.565159831,0.565159831,0,0.795526039,-0.356145313,-0.237832609,-0.375411494,-0.692080811,-1.170102006,-0.546027412,-0.178017134,-0.479325168,-3.400428983,-1.95312092
"Troponin T, fast skeletal muscle",Tnnt3,0.012068985,0.19056701,21.34759358,17.05077774,1.145633247,0.096845539,0.706684773,20,19,1.1054611,0.214477841,1,20,14.16934407,-0.977314455,0.010946062,0.145355809,20.44919786,16.70279618,-1.30605254,1.17123481,0.89677465,0,-2.953774388,-0.756609367,-0.899453632,-0.222401155,-2.13038352,-2.834674823,-2.02327899,-0.45992091,-0.519746136,-1.518088047,-2.849479077
26S proteasome regulatory subunit 7,Psmc2,0.411301931,0.6766284,24,21.92002502,0.082174379,1,1,28,23,0.163982036,0.658686739,1,27.53138075,23.11665233,0.446102348,0.855743562,0.999999999,26.51046025,22.74291016,0.349353067,0.095416163,0.095416163,0,0.34614359,0.319751754,0.140204867,0.470595285,0.558255332,0.292892209,0.334509747,0.263139889,0.267330724,0.565282982,0.53333389
Kinesin heavy chain isoform 5A,Kif5a,0.137858223,0.421653791,24,3.512555172,1.09880165,0.805264174,1,28,1,1.540136855,0.64137022,1,25.40540541,1.909309139,0.746206261,0.507872215,0.999999999,25.8018018,2.206659521,-0.044947953,1.226213648,1.226213648,0,2.463141114,-2.178867663,-2.53933809,0.740621341,0.287414392,0.486152564,0.683040675,0.364643264,-0.72253369,-1.125792322,0.174649264
Protein S100-A13,S100a13,0.012824838,0.19056701,21.69565217,4.265053519,0.218510941,0.558904371,1,24,5,0.309526068,0.32001934,1,23.75451264,1.843003218,-0.187897621,0.058597996,0.37553672,23.15005494,3.746035347,-0.338988859,0.22443908,0.22443908,0,0.086362124,-0.469035652,-0.401086348,-0.588018062,-0.012523499,-0.086018434,-0.484571231,-0.531263784,-0.516245011,-0.592445328,-0.386544066
"V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton ... <Preview truncated at 128 characters>",Atp6v1b2 Atp6b2 Vat2,0.3989412,0.671277772,24,20.36972437,0.11186512,1,1,28,19,0.278735457,0.844975534,1,28,21.15303513,0.478368476,0.902942835,0.999999999,26.66666667,20.28387799,0.28690913,0.136148789,0.136148789,0,0.394141411,0.020879015,0.306416434,0.482027582,0.699871438,0.109807661,0.21470414,0.251019615,0.309579203,0.226056941,0.350215429
AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein),Aip,0.811693308,0.90707804,22.42696629,19.63600882,0.085040427,1,1,20,1,0.174179221,0.994931177,1,20,3.258526595,0.179177638,0.998612876,0.999999999,20.80898876,0.68616173,0.168494696,0.121195668,0.121195668,0,0.361352763,-0.076842437,-0.268775131,0.566782289,0.159748199,-0.246326616,0.498534293,0.000402854,0.497660878,0.469787751,0.145558915
Elongation factor 1-alpha 2 (EF-1-alpha-2) (Eukaryotic elongation factor 1 A-2) (eEF1A-2) (Statin-S1),Eef1a2 Eef1al Stn,0.018191524,0.201611324,21.69565217,16.9161973,0.593897753,0.01754066,0.538644421,20,19,0.447619555,0.290532387,1,20,14.00483165,-0.126876603,0.004950673,0.099361079,20.56521739,16.58261932,-0.448524827,0.608407365,0.608407365,0,-0.767901202,-0.11994774,-0.470231955,0.390053465,-0.473829985,-1.715020247,-0.764844915,-0.131815269,0.085870932,-0.923466033,-1.265393733
Transforming protein RhoA,Rhoa,0.01301956,0.19056701,20.26395939,5.56078625,0.180161923,0.057269646,0.629966104,20,7,0.143673048,0.269374415,1,20.12232416,5.485095779,-0.01046802,0.009188601,0.138204059,20.12876118,6.014062051,-0.114232056,0.180873401,0.180873401,0,0.098265566,-0.236623642,-0.056679677,-0.179835723,-0.082019724,0.105735624,-0.059155111,-0.472228016,-0.285204097,0.063069561,0.00501215
Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease s... <Preview truncated at 128 characters>,Psme3,0.218326853,0.519054486,21.93406593,21.1985619,0.147410141,1,1,20,3,0.23792486,0.859072789,1,20,3.000059446,0.048585602,0.76415873,0.999999999,20.64468864,1.903617438,-0.180078635,0.162971884,0.162971884,0,0.097107934,0.046438696,-0.336476564,0.001622108,0.011264924,-0.297492421,-0.445711572,-0.581640404,0.038247848,-0.156421211,-0.359419473
Proteasome activator complex subunit 1,Psme1,0.021634138,0.209794206,21.12169312,17.40780626,0.222025279,0.096845539,0.706684773,24,17,0.179790348,0.25987118,1,21.71617162,18.94703495,0.609125288,0.020014049,0.20775147,22.27928825,17.88390054,0.349994085,0.23497389,0.23497389,0,0.242690443,0.228007408,0.564089132,0.630660287,0.630428524,0.162443631,0.202421382,0.413238955,0.598670555,0.255833242,0.184847736
AP complex subunit beta,Ap1b1,0.974614472,0.987805502,24,3.391255496,0.023209558,1,1,28,23,0.232606337,0.999991764,1,28,27.10538139,0.589328711,0.999997218,0.999999999,26.66666667,25.99839701,0.44753576,0.045242078,0.045242078,0,0.391662425,0.47116023,-0.0871913,0.68474842,0.750796906,0.277632777,0.666285707,0.581595886,0.4851291,0.539076322,0.552570633
LIM and SH3 domain protein 1 (Fragment),Lasp1,0.250357891,0.547779852,23.34502924,3.607593638,0.166115702,0.247873828,0.966576777,20,9,0.187676973,0.370837453,1,20,6.95934615,-0.135444798,0.273499821,0.931036342,21.11500975,6.8209889,-0.145368167,0.228920586,0.228920586,0,0.079201329,-0.033034893,-0.186213992,-0.262949197,-0.306061396,-0.165004748,0.022989119,-0.339344725,-0.664434768,0.122897719,0.185952637
Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.-) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) ... <Preview truncated at 128 characters>,Entpd2 Cd39l1,0.718344057,0.858147954,24,10.71444888,0.052056293,1,1,28,23,0.137326022,0.999456088,1,20,11.10016934,0.537252719,0.995260908,0.999999999,24,14.13883792,0.419180033,0.03297871,0.03297871,0,0.385001346,0.39356639,0.267849707,0.575412724,0.415148252,0.530128932,0.442787936,0.713774977,0.361721232,0.451130905,0.493637997
Chondroadherin (Cartilage leucine-rich protein),Chad,0.159914581,0.45642842,21.81420765,4.39265213,0.185530728,1,1,28,23,0.26679076,0.911783194,1,25.40540541,1.601088136,0.483929368,0.696840382,0.999999999,25.07320435,1.031970432,0.294423577,0.175295412,0.175295412,0,0.061029529,0.250009425,-0.223481632,0.482104865,0.168246674,0.612728114,0.470202667,0.15904511,0.045810543,0.719948882,0.69419095
Prostacyclin synthase (EC 5.3.99.4) (Prostaglandin I2 synthase),Ptgis Cyp8,0.497547872,0.737708033,24,18.4191025,0.114300751,1,1,28,17,0.208805603,0.836687989,1,25.60311284,19.03857607,0.222264682,0.940977853,0.999999999,25.86770428,18.30628014,0.194019542,0.137272645,0.137272645,0,-0.190013606,0.460345688,-0.013575827,0.310187949,0.276370952,0.029784467,0.333192629,-0.150126846,0.421794292,0.565054475,0.292314696
Calumenin,Calu,0.031755924,0.236108713,24,15.36647707,1.687545234,0.032458965,0.613391204,24,19,1.62863562,0.275343347,1,24.46096654,16.3874275,1.770597297,0.012067406,0.15467267,24.15365551,16.89407849,1.284676492,1.761205499,1.37093308,0,-2.393183018,1.97643205,2.387512627,2.534455274,-0.484627069,-2.045796439,1.829240132,2.371612009,2.797495762,3.97072116,2.544780107
40S ribosomal protein S5 (Fragment),Rps5,0.134707072,0.420370707,20.26395939,6.603287375,0.226280091,1,1,20,9,0.251775899,0.693744299,1,20,6.90001249,-0.043376619,0.577486046,0.999999999,20.08798646,7.490868827,-0.13312897,0.225784273,0.225784273,0,-0.06379481,0.255020741,-0.650784959,-0.005119017,-0.279319086,-0.057638605,0.140540615,-0.573166016,-0.269956963,0.086587536,0.070968722
Kininogen-1,Kng1,0.165233933,0.460978826,21.12169312,10.30715309,0.191813428,1,1,20,11,0.269734445,0.92473201,1,20,11.26263564,0.86934378,0.709482288,0.999999999,20.37389771,10.87667573,0.703854132,0.204415977,0.204415977,0,0.882912267,0.466178319,0.928741186,0.501011749,0.512445646,0.912939467,0.904053931,0.802849084,0.656251229,0.818639705,0.949202422
[Protein ADP-ribosylarginine] hydrolase (ADP-ribosylarginine hydrolase) (EC 3.2.2.19) (ADP-ribose-L-arginine cleaving enzyme),Adprh Arh1,0.623838385,0.811595569,20.57731959,16.33898129,0.102790743,1,1,20,17,0.194968702,0.998805356,1,21.57377049,15.54521078,0.66294599,0.987572595,0.999999999,20.71703003,16.33255641,0.479632179,0.102681558,0.102681558,0,0.666100415,0.207587624,0.11755864,0.826473644,0.423497407,0.334152451,0.584522309,0.780463016,0.780676471,0.457464072,0.445388766
Calpastatin,Cast,0.028457026,0.234522656,24.95,15.09674892,0.30951109,0.096845539,0.706684773,24,19,0.265137046,0.35376204,1,25.21072797,16.58968189,1.27027885,0.031166345,0.26250967,24.72024266,16.89062292,1.114412614,0.320044433,0.287186657,0,0.655399115,1.138989486,1.168982453,1.38195191,1.144884214,0.847830664,1.202356841,1.365613695,1.368370481,1.838289798,1.31665714
Proteasome subunit beta type-4 (EC 3.4.25.1) (Low molecular mass protein 3) (Macropain beta chain) (Multicatalytic endopeptidase... <Preview truncated at 128 characters>,Psmb4 Lmp3,0.261436433,0.555265718,24,16.35176221,0.073748632,1,1,28,17,0.095508855,0.990838729,1,22.76816609,15.96036239,0.26855622,0.845265933,0.999999999,24.92272203,16.53406527,0.137346801,0.082358121,0.082358121,0,0.199120229,0.243657473,0.188371498,0.313646186,0.249858556,0.088043595,0.117648492,-0.006620538,0.24323394,0.027991534,0.004203001
Kinesin family member 13B,Kif13b,0.082631337,0.331754782,23.34502924,5.856362095,0.122977925,0.15763919,0.798488541,24,7,0.128311702,0.321573172,1,23.25088339,4.066847957,0.143884869,0.089912556,0.47502189,23.53197088,5.633926145,0.007038542,0.139377407,0.139377407,0,0.292352426,-0.002762368,0.012601811,-0.178135742,0.153791699,0.197386366,0.043660115,0.062549376,-0.213031456,-0.155821579,-0.113022524
"2-oxoglutarate dehydrogenase, mitochondrial",Ogdh,0.606208211,0.80314202,24.64197531,14.09591495,0.052451139,1,1,28,17,0.13438934,0.972082246,1,25.80392157,18.55817484,0.324128197,0.983330368,0.999999999,26.14863229,16.5220072,0.196521753,0.044571643,0.044571643,0,0.084145838,0.290620532,-0.00106628,0.259618706,0.196709743,0.013309031,0.34730307,0.190162362,0.28849314,0.464708573,0.245657186
Kinesin-1 heavy chain (Conventional kinesin heavy chain) (Ubiquitous kinesin heavy chain) (UKHC),Kif5b,0.880375251,0.946927361,24,7.643947391,0.025409927,1,1,20,9,0.076097946,0.919563084,1,20,6.842455524,0.416466576,0.998657612,0.999999999,21.33333333,7.880654941,0.298979985,0.058897152,0.058897152,0,0.334825349,0.334394537,0.30248569,0.334189574,0.39457923,0.379743212,0.46254673,0.272124464,0.192729524,0.306535702,0.29787358
Complement component 9 (Complement component C9),C9,0.313514236,0.598058172,21.81420765,10.81197333,0.278967279,1,1,20,13,0.391432237,0.990917171,1,20,11.38293659,1.580538108,0.886131875,0.999999999,20.60473588,11.77547018,1.244650596,0.309976864,0.249047294,0,1.205503713,0.839544597,1.564431502,0.733030521,1.372860896,1.19926594,1.634026589,1.926429674,0.847572993,1.74268201,1.577892203
Rab11 family-interacting protein 5,Rab11fip5,0.217855946,0.518771671,24,16.19589716,0.098250911,1,1,24,21,0.213477012,0.672108843,1,25.60311284,21.39682837,0.889819974,0.697978811,0.999999999,24.53437095,19.57988123,0.463628269,0.075129484,0.075129484,0,0.119080748,0.351611003,0.428580593,0.502476187,0.199732898,0.513123522,0.526071819,0.400648002,0.79952402,0.907405011,0.811485376
"3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-C... <Preview truncated at 128 characters>",Acaa2,0.149604003,0.441032602,22.81142857,9.662142226,0.073830718,1,1,20,11,0.08612774,0.849808308,1,20.49844237,10.93574013,0.20639673,0.659762783,0.999999999,21.10329031,10.61831038,0.112934911,0.07841963,0.07841963,0,0.121803018,0.127959654,0.0049731,0.18780093,-0.037675551,0.162373749,0.242365201,0.256205786,0.03977706,0.114152026,0.091177206
Wiskott-Aldrich syndrome protein family member 2 (Fragment),Wasf2,0.963800192,0.983823741,24,22.93399046,0.010445337,0.558904371,1,20,1,0.066673059,0.875017829,1,20,18.49534289,0.181398066,0.95920719,0.999999999,21.33333333,20.82621595,0.091511585,0.05223109,0.05223109,0,0.10116497,-0.066674937,-0.103433098,0.146236257,0.144473961,0.107257671,0.081332987,0.160975651,0.281917301,0.184061938,0.083090683
Eukaryotic translation initiation factor 2A,Eif2a,0.075333472,0.32000443,24,17.22359354,0.184349915,0.057269646,0.629966104,28,17,0.271335801,0.127819371,1,27.76371308,16.14749713,0.642698069,0.020210838,0.208327099,26.58790436,16.87257846,0.454532252,0.240524696,0.240524696,0,0.391382242,0.551173937,0.633227471,0.551710927,0.69339711,0.15479913,0.331123142,0.302103969,0.604406048,0.67512901,0.669912533
Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT),Sgta,0.020653843,0.209404998,23.76190476,16.19936768,0.492642447,0.008979903,0.472727761,24,17,0.470480273,0.178123123,1,23.41637011,18.57914872,1.386999779,0.002132415,0.063927024,23.72609162,17.25908523,0.935712643,0.545208866,0.545208866,0,0.335950566,0.941694314,1.329738402,1.302581926,1.570575676,0.135250355,0.930271674,1.071106545,1.469163504,1.32240446,0.783756953
26S proteasome regulatory subunit 6A,Psmc3,0.165857426,0.460978826,25.26582278,17.38625793,0.273018911,0.15763919,0.798488541,24,19,0.394224092,0.485528051,1,25.01901141,18.4101474,0.650705201,0.189149036,0.754011372,24.7616114,18.28644755,0.423834269,0.326161655,0.326161655,0,0.166659736,0.585589796,0.22976505,0.805097524,0.921929787,-0.339916102,0.433830409,0.16996941,0.725831631,0.807582446,0.596731776
"Golgi autoantigen, golgin subfamily b, macrogolgin 1",Golgb1,0.616203323,0.808081582,27.15646259,23.76360772,0.089322468,1,1,28,23,0.178970937,0.992396316,1,20,6.875900487,0.403414813,0.98622556,0.999999999,25.0521542,21.36503549,0.243231229,0.06121564,0.06121564,0,0.041556558,0.446133376,-0.077980479,0.198239262,0.519286045,0.229986511,0.496058009,0.001566591,0.212099994,0.443136914,0.38835509
"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial (Isocitric dehydrogenase subunit gamma) (NAD(+)-specific ICDH subu... <Preview truncated at 128 characters>",Idh3g,0.016825867,0.195286047,21.93406593,14.90912419,0.102672448,0.247873828,0.966576777,24,15,0.106097705,0.367309356,1,22.61168385,14.06829491,0.350552258,0.043636162,0.317615878,22.84858326,14.67361871,0.248292079,0.103277805,0.103277805,0,0.170075705,0.219254755,0.264222921,0.324907731,0.202343032,0.260861021,0.230924332,0.432838319,0.349199675,0.345120223,0.121015607
Huntingtin-interacting protein 1,Hip1,0.101757196,0.365829529,23.90419162,18.48682497,0.609354031,0.377646329,1,28,17,0.192713563,0.594414918,1,23.41637011,19.08933784,1.416032887,0.272282494,0.931036342,25.10685391,18.45669745,0.750109073,0.699059045,0.699059045,0,1.028640809,0.140198668,1.707057582,1.186183406,1.295280846,1.101938733,-0.392653482,-0.03433551,1.401035601,1.380957601,0.213562948
Flotillin-1,Flot1,0.076851745,0.323655636,23.34502924,7.724120069,0.165803403,0.057269646,0.629966104,28,7,0.13233222,0.297228163,1,24.2804428,7.00844381,-0.052347595,0.038824297,0.301194807,25.20849068,7.306045823,-0.185474295,0.184867688,0.184867688,0,0.091887852,-0.249946387,-0.05687113,-0.47739544,-0.475479446,-0.020059916,-0.130861965,0.000426576,-0.309038513,-0.353269415,-0.21094253
Twinfilin-1 (Fragment),Twf1,0.947086457,0.974684104,24,1.970901954,0.014582303,1,1,20,9,0.073169713,0.994597056,1,28,26.42249651,0.350220991,0.999965949,0.999999999,24,1.867429525,0.262182255,0.014702031,0.014702031,0,0.323625036,0.247156295,0.270180332,0.210355905,0.430236686,0.31316371,0.325431329,0.208267713,0.209686109,0.318410853,0.28967309
ELAV-like protein 1 (Elav-like generic protein) (Hu-antigen R) (HuR) (MelG),Elavl1 Elra Hua,0.65747816,0.832306368,24,2.136116334,0.060031179,1,1,28,3,0.116086345,0.981066083,1,20,6.999941209,0.333375927,0.989850968,0.999999999,24,4.136447026,0.017039665,0.057121507,0.057121507,0,0.03305725,-0.085954459,-0.176272809,0.00761915,-0.280764083,0.062182577,0.058968458,-0.03735741,-0.036712567,0.379779315,0.279930554
Aminopeptidase (EC 3.4.11.-),Npepps,0.897379773,0.952028214,24,13.43247528,0.027204477,1,1,20,3,0.039908627,0.99953376,1,28,15.5733871,0.425979197,0.999802429,0.999999999,24,11.71147703,0.372465517,0.024948277,0.024948277,0,0.534612605,0.380506612,0.334841966,0.367708384,0.544110731,0.385587581,0.338129196,0.362014678,0.453978614,0.353723641,0.41437219
Hepatoma-derived growth factor,Hdgf,0.763799901,0.878702026,24,13.52595128,0.144901388,1,1,20,11,0.208387358,0.943143204,1,20,18.51913163,0.704830153,0.995392378,0.999999999,21.33333333,13.60118062,0.361011665,0.248425294,0.248425294,0,0.294704228,0.144666532,1.458117033,0.308209117,0.56570496,0.484627156,0.868374851,0.166781672,-0.00881652,0.024896145,-0.283987877
Actin-binding LIM protein 1,Ablim1,0.886841766,0.946927361,21.34759358,17.61032573,0.03271129,1,1,28,3,0.103611894,0.97038682,1,28,2.924442101,-0.076920003,0.999495692,0.999999999,25.78253119,0.686491812,-0.170890978,0.044519533,0.044519533,0,-0.250666878,-0.360026985,-0.059304161,-0.156191931,-0.272949586,0.096073327,-0.258112122,-0.009385134,-0.185045391,-0.268451832,-0.364102372
Calcium-transporting ATPase (EC 3.6.3.8),Atp2a3,0.415486387,0.67837728,24,11.32064623,0.508323985,1,1,20,15,0.826239881,0.839566439,1,20,14.47906989,-0.53448522,0.909662206,0.999999999,21.33333333,14.08178254,-0.999707956,0.576689825,0.576689825,0,-2.263859578,-0.027198758,-1.563747938,-0.241311602,-2.292884319,-1.5198536,-0.395268292,0.083469406,-0.992860159,-1.640506406,-1.87444764
"Complement component 1 Q subcomponent-binding protein, mitochondrial (Complement component 1, q subcomponent binding protein) (C... <Preview truncated at 128 characters>",C1qbp Gc1qbp,0.030386569,0.236108713,25.42675159,16.32014275,0.355797632,0.377646329,1,28,15,0.413103475,0.37093743,1,28,15.03825389,0.595412468,0.090926687,0.475910587,27.14225053,15.49700569,0.164558432,0.409438131,0.409438131,0,0.091538796,0.540715572,0.627717501,0.645316557,0.17996033,-0.319075931,-0.189486227,-0.205094235,0.61924842,-0.102817729,0.445344937
