"mRNAs identified in Ito et. al and analyzed by Pearson correlation: column headers show the transcript codes as identified by Ito et al. (Transcript accession); the names of the proteins as seen in Uniprot database (Protein name); gene names as seen in the Cyanobase (Gene names); the Uniprot accession numbers of all proteins (Uniprot Accession); the log2-mean-ratio normalized retrieved from GEO (GSE14225) from each time-point X (hours in LL) (LL.X); the Pearson correlation value (Pearson); the p-value for the significance of the Pearson correlation (p-value); the cluster number corresponding to each significant protein (Cluster nr); categorization of the protein corresponding to this mRNA, as cyclic (TRUE) and not-cyclic (FALSE), as determined by the Pearson correlation (Cyclic protein); the subjective phase, light (L) or dark (D), at which the mRNA profile shows a maximum abundance (Peak phase (subjective)); the phase, light (L) or dark (D), at which the protein profile shows a maximum abundance (Peak phase protein); the relationship between the mRNA peak phase and the protein peak phase, being in-phase (in), out of phase (out) or anti-phase (out (anti)); the delay between the maximum abundance observed at the mRNA level comparing to the maximum abundance at the protein level (delay (h)) (average delays account for different delays between the 2 days); the functional category at which the protein belongs to, based on the Cyanobase (Function category); the pathway to which the protein belongs, according to KEGG (KEGG); and the biological process in which the protein is involved, according to Gene Ontology (GO_BP).",,,,,,,,,,,,,,,,,,,,,,,,,,
(av) average delay based on 2 numbers,,,,,,,,,,,,,,,,,,,,,,,,,,
Light,,,,,,,,,,,,,,,,,,,,,,,,,,
Transcript accession,protein name,gene name,Accession,LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48,Pearson corr,p-value,Cluster nr,Cyclic protein,Peak phase (subjective),Peak phase protein,in/out phase,delay (h),Function category,KEGG,GO_BP
syc0543-m_at,phosphoribosylglycinamide formyltransferase,Synpcc7942_1008,Q31PI1,0.27068986,-0.23845275,0.01372412,0.04860618,0.02818921,0.05414036,0.0221447,-0.59795426,-0.17571038,0.09710352,-0.20676025,0.10724271,0.79885112,0.0377,2,FALSE,-,-,-,-,-,-,-
syc0545-h_at,hypothetical protein,Synpcc7942_1006,Q31PI3,0.34104303,-0.08106189,-0.34848077,0.05118749,0.16342017,0.10020985,0.07817663,-0.14597392,-0.33735322,-0.07682845,-0.1266776,0.02626371,0.90786763,0.0049,2,FALSE,-,-,-,-,-,-,-
syc0550-m_at,aspartate kinase,Synpcc7942_1001,Q31PI8,0.24296979,-0.61241068,-0.2929115,0.12020675,0.2042138,0.19149648,0.05886302,-0.6921962,-0.36480257,0.07305598,0.12770634,0.32815792,0.96111905,0.0004,2,FALSE,-,-,-,-,-,-,-
syc0561-m_at,hypothetical protein,Synpcc7942_0989,Q31PK0,-0.414687,0.55220524,0.69942481,-0.17805317,-0.74829826,-0.83669126,-0.46249965,0.56552559,0.71340918,-0.06009367,-1.00061403,-0.83332678,0.98789075,0.0000,1,FALSE,-,-,-,-,-,-,-
syc0572-h_at,ferredoxin-NADP oxidoreductase,Synpcc7942_0978,Q31PL1,0.03524366,-0.13928484,-0.008645,0.04747917,0.092875,0.08592681,0.0126099,-0.15595016,-0.07771455,0.01929397,0.12832808,0.09864475,0.95327286,0.0007,2,FALSE,-,-,-,-,-,-,-
syc0577-h_at,hypothetical protein,Synpcc7942_0972,Q31PL7,0.38788741,-0.43848589,-0.22741019,0.13610697,0.27583766,0.34397106,0.05859672,-0.51971957,-0.29743583,-0.10660729,-0.02335919,0.15644551,0.97605952,0.0001,2,FALSE,-,-,-,-,-,-,-
syc0581-h_at,hydroxymethylbilane synthase  porphobilinogen deaminase,Synpcc7942_0967,Q31PM2,-0.1150922,-0.46850877,-0.11909171,0.25481397,0.18994448,0.18065449,0.00039217,-0.4642607,-0.22296131,0.09292463,0.12452155,0.32704099,0.90259432,0.0057,6,FALSE,-,-,-,-,-,-,-
syc0584-h_at,Uncharacterized protein,Synpcc7942_0964,Q31PM5,-0.14381049,0.01434294,-0.12466251,0.04718931,0.09736525,0.09290603,-0.08199451,0.10592477,-0.14517846,0.08772244,0.09018417,0.02988479,0.85162661,0.0175,2,FALSE,-,-,-,-,-,-,-
syc0585-m_at,probable methyltransferase,Synpcc7942_0963,Q31PM6,-0.52539137,-0.19463999,0.3647254,-0.03278727,-0.06274271,-0.23272953,-0.1519504,-0.06475028,0.38409947,0.18492688,0.08899306,0.05394976,0.95633766,0.0006,3,FALSE,-,-,-,-,-,-,-
syc0586-m_at,sun protein  tRNA and rRNA cytosine-C5-methylases,Synpcc7942_0962,Q31PM7,-0.50774317,-0.30303282,0.27165077,-0.12666962,0.04619561,0.08064326,-0.33104649,-0.154811,0.47979145,0.05359185,0.13501269,0.08569624,0.9639769,0.0004,3,FALSE,-,-,-,-,-,-,-
syc0587-h_at,Cell envelope-related transcriptional attenuator,Synpcc7942_0961,Q31PM8,0.18878804,-0.25288844,-0.51638307,-0.0367109,0.11551551,0.05023004,0.12990587,-0.14810295,-0.20529887,0.06835134,0.23762798,0.1995872,0.92333331,0.0030,2,FALSE,-,-,-,-,-,-,-
syc0591-h_at,cob(I) alamin adenosyltransferase,Synpcc7942_0957,Q31PN2,-0.05379712,-0.1370004,-0.00656751,-0.09191187,-0.00984629,0.00384505,-0.14212658,-0.22923373,0.2160272,0.04627735,0.00936674,0.21628263,0.77949151,0.0472,6,FALSE,-,-,-,-,-,-,-
syc0595-m_at,hypothetical protein,Synpcc7942_0953,Q31PN6,0.23131574,0.32778559,-0.21123931,-0.16423752,-0.19524345,-0.26529975,0.03241026,0.31036956,-0.1099866,0.07426293,-0.18119947,-0.32596866,0.81720317,0.0297,4,FALSE,-,-,-,-,-,-,-
syc0596-m_at,Uncharacterized protein,Synpcc7942_0952,Q31PN7,-0.02840044,0.72120901,-0.16494161,-0.15028373,-0.51789175,-0.65601024,-0.10906037,0.74297448,-0.03521607,-0.12939078,-0.53838937,-0.45932159,0.97828209,0.0001,1,FALSE,-,-,-,-,-,-,-
syc0598-m_at,hypothetical protein,Synpcc7942_0950,Q31PN9,-0.35986413,0.00376925,0.53340853,-0.23244133,-0.36740349,-0.32009412,-0.37543249,0.15769207,0.76167384,0.12911307,-0.57724573,-0.29640685,0.9344286,0.0019,1,FALSE,-,-,-,-,-,-,-
syc0599-m_at,permease protein of sugar ABC transporter,Synpcc7942_0949,Q31PP0,-0.27604197,0.07569174,0.57338684,-0.21948097,-0.33672643,-0.25920082,-0.42660979,0.25377027,0.67378515,-0.04693883,-0.44726859,-0.17743352,0.95564462,0.0006,1,FALSE,-,-,-,-,-,-,-
syc0600-m_at,permease protein of sugar ABC transporter,Synpcc7942_0948,Q31PP1,-0.40893275,-0.09157969,0.32752868,-0.27758525,-0.38022032,-0.15849762,-0.29369821,0.34130871,0.56837648,0.15701476,-0.27059155,-0.11699226,0.87875965,0.0103,3,FALSE,-,-,-,-,-,-,-
syc0601-m_at,glucosylglycerol transport system ATP-binding protein,Synpcc7942_0947,Q31PP2,-0.20779905,-0.02970909,0.25005828,-0.01392389,-0.18881684,-0.19570564,-0.19602384,0.14085944,0.36418688,0.0198875,-0.24377003,-0.03253813,0.92506662,0.0028,3,FALSE,-,-,-,-,-,-,-
syc0606-m_at,cell division protein FtsH,Synpcc7942_0942,Q31PP7,-0.3076661,0.2307371,0.16019639,0.06989451,-0.05219981,-0.28258588,-0.12856879,0.2969789,0.09188704,0.15168919,-0.14393785,-0.25473862,0.89606524,0.0068,1,FALSE,-,-,-,-,-,-,-
syc0607-m_at,ATP-binding protein of ABC transporter,Synpcc7942_0941,Q31PP8,0.29792078,-0.61438086,-0.59823493,-0.04992244,0.30455874,0.4058609,0.26931078,-0.6105798,-0.61266887,-0.16762504,0.15062289,0.39301893,0.99084186,0.0000,2,FALSE,-,-,-,-,-,-,-
syc0609-h_at,adenylylsulfate kinase,Synpcc7942_0939,Q31PQ0,0.42671852,-0.31181994,-0.15069306,0.0216208,0.17017703,0.0656859,0.1130927,-0.42272102,-0.2407302,-0.04982115,0.00730821,0.04392124,0.92791665,0.0025,2,FALSE,-,-,-,-,-,-,-
syc0615-m_at,Nitrate reductase-related protein,Synpcc7942_0933,Q31PQ6,-0.05000687,-0.3762314,-0.19956953,0.18370459,0.1061336,-0.05729205,-0.05933906,-0.23029017,0.0091996,0.11936043,0.2526093,0.21184377,0.78353493,0.0452,6,FALSE,-,-,-,-,-,-,-
syc0618-h_at,(3R)-hydroxymyristol acyl carrier protein dehydrase,Synpcc7942_0930,Q31PQ9,0.08877524,-0.24277126,-0.1160484,0.11707936,0.08216461,0.10363048,0.13590033,-0.28894948,-0.16214862,0.02430369,0.07310525,0.05764559,0.95857008,0.0005,2,FALSE,-,-,-,-,-,-,-
syc0620-h_at,chloroplastic outer envelope membrane protein homolog,Synpcc7942_0928,Q31PR1,-0.04929882,-0.2577318,-0.0526767,0.08400552,0.0995309,0.09947231,-0.07541095,-0.21486413,-0.06126658,0.07531974,0.07107778,0.2439024,0.90807046,0.0049,6,TRUE,D,L,out (anti),2.5,Cell wall/membrane biogenesis,0,0
syc0622-h_at,hypothetical protein,Synpcc7942_0926,Q31PR3,-0.03139183,-0.10797527,-0.19706632,0.06655451,0.27982042,0.12773497,0.08742761,-0.24438629,-0.34865881,-0.07674722,0.19059999,0.22323404,0.85722951,0.0158,2,FALSE,-,-,-,-,-,-,-
syc0623-m_at,glycinamide ribonucleotide synthetase,Synpcc7942_0925,Q31PR4,0.21207699,-0.41201083,-0.14362582,-0.00635293,0.14400599,0.13963638,-0.04779753,-0.41543826,-0.07631214,-0.00427512,0.10154636,0.29098846,0.8251964,0.0266,2,FALSE,-,-,-,-,-,-,-
syc0624-m_at,"two-component system histidine kinase, multi-signal sensor",Synpcc7942_0924,Q8RQ68,-0.13319706,-0.27253869,0.19656656,-0.17459554,-0.0791218,-0.11977777,-0.03310642,-0.11064296,0.38199144,0.06829556,0.05278548,0.14586574,0.9274624,0.0026,3,FALSE,-,-,-,-,-,-,-
syc0625-m_at,5'-methylthioadenosine phosphorylase,Synpcc7942_0923,Q31PR6,0.02880615,-0.37173479,-0.03057009,0.09522397,0.15466612,0.11608216,-0.0397521,-0.30228985,-0.04443416,0.05340918,0.01497097,0.19256055,0.90482687,0.0054,6,FALSE,-,-,-,-,-,-,-
syc0628-m_at,photosystem I reaction center subunit X,Synpcc7942_0920,Q31PR9,0.33963518,0.00132093,-0.27142779,-0.01164793,0.03883268,0.03195347,0.20850788,-0.08198199,-0.32839606,-0.07787762,0.1250417,-0.06294222,0.92324501,0.0030,4,FALSE,-,-,-,-,-,-,-
syc0630-h_at,long-chain-fatty-acid CoA ligase,Synpcc7942_0918,Q31PS1,-0.0386128,0.08251519,0.06901888,0.0501143,-0.20731548,-0.34111171,-0.11629891,0.28300185,0.10006694,0.26482131,-0.0513989,-0.20372819,0.83140297,0.0242,1,FALSE,-,-,-,-,-,-,-
syc0631-m_at,hypothetical protein,Synpcc7942_0917,Q31PS2,0.31690803,-0.13772581,-0.36366187,-0.15736436,0.16793985,0.13565893,0.16391063,-0.14999301,-0.45210984,-0.16208236,0.23878306,0.05878536,0.95266899,0.0008,2,FALSE,-,-,-,-,-,-,-
syc0641-h_at,Uncharacterized protein,Synpcc7942_0907,Q31PT2,-0.24317033,-0.1297251,-0.09502084,-0.13761133,-0.03627054,0.13736802,-0.1265304,-0.00314648,0.16078907,-0.07840127,0.01692133,0.33761532,0.89815272,0.0065,3,FALSE,-,-,-,-,-,-,-
syc0645-h_at,putative hydrolase,Synpcc7942_0901,Q31PT8,0.59988917,-0.63095977,-0.77248151,-0.02609176,0.3407318,0.3327741,0.20228953,-0.60018006,-0.99717917,-0.19833943,0.30843925,0.3239067,0.95722622,0.0006,2,FALSE,-,-,-,-,-,-,-
syc0652-m_at,shikimate kinase,Synpcc7942_0894,Q31PU5,0.17040915,-0.58089623,-0.15554562,-0.00995109,-0.03501105,0.22291372,0.0930041,-0.25725862,-0.25426481,-0.04680419,0.18444479,0.2426868,0.80164449,0.0364,2,FALSE,-,-,-,-,-,-,-
syc0655-h_at,hypothetical protein,Synpcc7942_0891,Q31PU8,-0.17832763,0.66156313,0.20238019,0.1901426,-0.81746074,-0.97685266,-0.30165595,0.36901823,0.3870685,0.30716437,-0.40697047,-0.98538439,0.92365197,0.0029,1,FALSE,-,-,-,-,-,-,-
syc0659-m_at,30S ribosomal protein S12,Synpcc7942_0887,P63200,-0.17907953,-0.18435124,0.09047511,0.09846237,0.03649625,0.10048716,0.00174646,-0.15430311,0.04737925,0.12001928,0.03108805,0.03408895,0.78436787,0.0447,6,FALSE,-,-,-,-,-,-,-
syc0666-m_at,hypothetical protein,Synpcc7942_0880,Q31PV9,0.15157302,-0.31560274,-0.31384574,0.10210763,0.0507509,0.148351,0.06350642,-0.38345284,-0.30145932,0.01133981,0.2246374,0.23677769,0.91295887,0.0042,2,FALSE,-,-,-,-,-,-,-
syc0667-h_at,ribonuclease HII,Synpcc7942_0879,Q31PW0,-0.50123769,0.07985674,0.40741363,0.13089833,-0.44422803,-0.06629998,-0.33781,0.20754899,0.51536443,0.30857659,-0.36279219,-0.48447038,0.84072428,0.0210,1,FALSE,-,-,-,-,-,-,-
syc0668-h_at,ribonuclease E,Synpcc7942_0878,Q31PW1,-0.46730602,0.04278994,0.38247644,0.06720672,-0.20405735,-0.30963878,-0.2758918,0.16874126,0.46507228,0.17024405,-0.21859925,-0.13545027,0.97105169,0.0002,3,FALSE,-,-,-,-,-,-,-
syc0670-h_at,alanyl-tRNA synthetase,Synpcc7942_0876,Q31PW3,-0.08119354,-0.31176669,0.04076698,0.0617785,0.11986412,0.12852598,-0.03088539,-0.41511161,-0.04042845,0.14132199,-0.03223848,0.21952617,0.88568091,0.0088,6,FALSE,-,-,-,-,-,-,-
syc0681-h_at,hypothetical protein,Synpcc7942_0865,Q31PX4,-0.0158485,-0.10682379,-0.07086473,0.03211453,0.06895236,0.06441475,-0.07720788,-0.24169418,-0.03269212,0.05545688,0.16581225,0.11524638,0.92805637,0.0025,6,FALSE,-,-,-,-,-,-,-
syc0684-h_at,hypothetical protein,Synpcc7942_0862,Q31PX7,-0.46618544,0.09153229,0.7643384,-0.17198404,-0.50467353,-0.60702825,-0.4630002,0.22971089,0.86029589,0.20295009,-0.51957963,-0.66573118,0.96826419,0.0002,1,FALSE,-,-,-,-,-,-,-
syc0685-m_at,hypothetical protein,Synpcc7942_0861,Q31PX8,-0.01894368,-0.12339849,0.29446885,-0.05966075,-0.1647955,-0.09335373,-0.15625527,-0.13371236,0.35374803,0.11184603,-0.30387981,-0.02377064,0.85930298,0.0152,3,FALSE,-,-,-,-,-,-,-
syc0686-h_at,hypothetical protein,Synpcc7942_0860,Q31PX9,0.3132032,-0.36811052,-0.34537456,-0.45008193,0.22142506,0.17657107,0.09957778,-0.28405217,-0.33260835,-0.22609495,0.27240169,0.40432797,0.88305548,0.0094,2,FALSE,-,-,-,-,-,-,-
syc0687-h_at,two-component hybrid sensor and regulator,Synpcc7942_0859,Q31PY0,0.28338969,-0.41206496,-0.47348957,-0.51443651,0.23677947,0.20515982,0.09214094,-0.31757082,-0.43916297,-0.39021464,0.20769129,0.68731184,0.86057,0.0149,2,FALSE,-,-,-,-,-,-,-
syc0688-h_at,methyl-accepting chemotaxis protein,Synpcc7942_0858,Q31PY1,0.38662509,-0.55586884,-0.62710641,-0.23627184,0.31340586,0.35373481,0.29991585,-0.57900386,-0.96829064,-0.4011767,0.35149766,0.55377712,0.9748555,0.0001,2,FALSE,-,-,-,-,-,-,-
syc0689-h_at,hypothetical protein,Synpcc7942_0857,Q31PY2,0.43537438,-0.44067417,-0.83904585,-0.23292241,0.23005509,0.45506113,0.21301174,-0.46429282,-1.1913291,-0.58826077,0.34201591,0.68069416,0.95903371,0.0005,2,FALSE,-,-,-,-,-,-,-
syc0690-h_at,two-component response regulator CheY subfamily,Synpcc7942_0856,Q31PY3,0.56170534,-0.62715365,-0.92374972,-0.29836303,0.3142139,0.46348892,0.21477151,-0.65567248,-1.20699701,-0.54707093,0.45488137,0.58850461,0.95861683,0.0005,2,TRUE,L/D,L,out,2.5,Signal transduction,"syf02020:Two-component system,","GO:0000160~two-component signal transduction system (phosphorelay),GO:0006355~regulation of transcription, DNA-dependent,GO:0045449~regulation of transcription,GO:0051252~regulation of RNA metabolic process,"
syc0691-h_at,two-component response regulator PatA subfamily,Synpcc7942_0855,Q31PY4,0.56154539,-0.6480756,-1.12162433,-0.47169317,0.41160633,0.4220809,0.14408818,-0.72308422,-1.2464684,-0.5738421,0.69568775,0.677546,0.94696392,0.0011,2,FALSE,-,-,-,-,-,-,-
syc0693-h_at,LL-diaminopimelate aminotransferase,Synpcc7942_0853,Q31PY6,0.1487834,-0.48379508,-0.113537,0.11398585,0.13974807,0.07104982,-0.00918741,-0.42556558,-0.11224167,0.09682653,0.2350965,0.21332243,0.90873491,0.0048,6,FALSE,-,-,-,-,-,-,-
syc0695-h_at,phosphoribosyl formylglycinamidine cyclo-ligase,Synpcc7942_0851,Q31PY7,0.06823435,-0.36899765,-0.03557129,0.13516123,0.23794654,0.01720638,-0.13128197,-0.31067862,-0.09992225,0.14378488,0.21116041,0.03723328,0.89932763,0.0063,6,FALSE,-,-,-,-,-,-,-
syc0696-m_at,hypothetical protein,Synpcc7942_0850,Q31PY8,0.23684169,-0.44634056,-0.05837403,0.2258341,0.16860662,0.00408952,-0.07659491,-0.45807934,-0.19777197,0.23870609,0.08572583,0.09666055,0.84481051,0.0196,2,TRUE,D,L,out (anti),10.5,putative uncharacterized,putative uncharacterized,0
syc0698-m_at,excinuclease ABC subunit A,Synpcc7942_0848,Q31PZ0,0.04359173,-0.49967545,-0.39003481,0.14670858,0.2139561,0.14792254,-0.0289056,-0.40904637,-0.10820957,0.03172527,0.24286406,0.3343997,0.87028784,0.0123,2,FALSE,-,-,-,-,-,-,-
syc0699-m_at,twitching mobility protein,Synpcc7942_0847,Q31PZ1,0.16656033,0.41861947,-0.37928793,0.19546558,-0.25877046,-0.60408898,0.10524238,0.46138678,-0.39080963,0.14775005,-0.27655681,-0.41646268,0.97607393,0.0001,4,FALSE,-,-,-,-,-,-,-
syc0703-m_at,Uncharacterized protein,Synpcc7942_0843,Q31PZ5,0.00468919,-0.15450035,-0.08736758,0.07127495,0.10314285,0.09516214,-0.03118396,-0.29343648,0.00016275,0.13418101,0.17297088,0.00728813,0.84229365,0.0204,6,FALSE,-,-,-,-,-,-,-
syc0706-m_at,hypothetical protein,Synpcc7942_0840,Q31PZ8,0.02971941,-0.20728505,-0.13260629,-0.3085968,-0.1392573,0.07136743,0.06521533,-0.16267768,0.06608594,-0.18864366,-0.06023494,0.33223115,0.8959321,0.0068,5,FALSE,-,-,-,-,-,-,-
syc0712-h_at,holliday junction DNA helicase RuvB,Synpcc7942_0835,Q31Q03,0.13244578,-0.42477271,-0.28841511,-0.12258437,0.24626485,0.1798325,-0.01387507,-0.26584788,-0.163431,0.0044347,0.20959088,0.29840478,0.90508691,0.0053,2,FALSE,-,-,-,-,-,-,-
syc0713-h_at,hypothetical protein,Synpcc7942_0834,Q31Q04,-3.17983076,0.56682598,1.37258023,-0.59831185,-4.58311928,-4.99140259,-4.21815782,0.86807921,1.61525801,0.60395084,-3.12835919,-5.117456,0.95105532,0.0008,1,TRUE,L/D,12 h,-,2.5,putative uncharacterized,putative uncharacterized,0
syc0714-h_at,conserved hypothetical protein,Synpcc7942_0833,Q31Q05,-0.04487564,-0.27189742,-0.14098171,-0.06056312,0.08658194,0.07385261,-0.10475227,-0.25833373,0.05115826,0.10303968,0.21231606,0.2988138,0.8672187,0.0131,6,FALSE,-,-,-,-,-,-,-
syc0718-m_at,hypothetical protein,Synpcc7942_0828,Q31Q09,-0.26410706,0.15957183,0.53281395,-0.14922518,-0.29997885,-0.26633798,-0.39406022,0.07647815,0.4884487,0.12407874,-0.32049222,-0.16562062,0.89938024,0.0063,1,FALSE,-,-,-,-,-,-,-
syc0720-h_at,hypothetical protein,Synpcc7942_0826,Q31Q11,0.2005728,-0.56905847,-0.42683673,0.11513892,0.31156405,0.13187198,0.11470317,-0.49519951,-0.34886443,-0.00563115,0.22772066,0.28487817,0.95430512,0.0007,2,FALSE,-,-,-,-,-,-,-
syc0724-h_at,permease protein of oligopeptide ABC,Synpcc7942_0822,Q31Q15,-0.04096875,-0.36053049,-0.06171721,0.08116612,0.10983606,0.17243237,-0.11319945,-0.24758659,-0.04157034,0.01238891,-0.09632882,0.28661894,0.7770414,0.0485,6,FALSE,-,-,-,-,-,-,-
syc0727-h_at,phosphoribosyl formylglycinamidine synthase,Synpcc7942_0819,Q31Q18,0.11485328,-0.37692478,-0.1254037,0.09923599,0.14723809,0.0689024,0.04539819,-0.33680271,-0.11063397,0.00831054,0.13485392,0.21222512,0.91129392,0.0044,2,FALSE,-,-,-,-,-,-,-
syc0728-h_at,hypothetical protein,Synpcc7942_0818,Q31Q19,0.12443133,-0.31672413,-0.11181736,0.07937908,0.19128605,0.05968323,-0.09472977,-0.45203281,-0.13197027,0.07398948,0.2078184,0.12889318,0.90083477,0.0060,2,FALSE,-,-,-,-,-,-,-
syc0733-h_at,histidyl tRNA synthetase,Synpcc7942_0813,Q55267,-0.17027507,0.27154247,0.19505174,0.01808219,-0.24452881,-0.21752702,-0.11345029,0.24543568,0.07743688,0.14306421,-0.23340642,-0.15285672,0.9277202,0.0025,1,FALSE,-,-,-,-,-,-,-
syc0734-h_at,similar to DnaJ protein,Synpcc7942_0812,Q31Q25,-0.09306634,0.28413787,0.09174516,0.03458683,-0.2544625,-0.25771381,-0.09911523,0.36839855,0.08336757,0.04258645,-0.372943,-0.21049942,0.97625148,0.0001,1,FALSE,-,-,-,-,-,-,-
syc0735-h_at,Na+/H+ antiporter,Synpcc7942_0811,Q31Q26,0.10461575,-0.4428763,-0.21815737,-0.02260596,0.08638864,0.08646592,0.03231441,-0.21247504,-0.09414588,0.09507747,0.05618229,0.29206014,0.83130862,0.0243,2,FALSE,-,-,-,-,-,-,-
syc0744-h_at,superoxide dismutase,Synpcc7942_0801,P18655,-0.14048292,-0.29287436,-0.07210295,0.08138013,0.3333496,0.27905467,-0.10975834,-0.27462648,-0.05038671,0.01821959,0.19263877,0.13611264,0.98769246,0.0000,6,FALSE,-,-,-,-,-,-,-
syc0745-m_at,phycocyanobilin lyase,Synpcc7942_0800,Q31Q37,0.15009779,-0.4075016,-0.21231699,0.11539699,0.33472042,0.09956599,-0.00796772,-0.42340357,-0.32948421,-0.02115516,0.06628176,0.29528464,0.82449778,0.0268,2,FALSE,-,-,-,-,-,-,-
syc0748-h_at,hypothetical protein,Synpcc7942_0796,Q31Q41,-0.66155901,0.03673279,0.40288518,-0.09041989,-0.27002623,-0.50574297,-0.25892298,0.27205468,0.61143213,0.17916482,-0.06056386,-0.08740096,0.98411912,0.0000,3,FALSE,-,-,-,-,-,-,-
syc0749-m_at,Uncharacterized protein,Synpcc7942_0795,Q31Q42,-0.04049049,0.47622517,0.1081978,-0.12314669,-0.32430716,-0.47963714,-0.01981261,0.59795818,0.11437006,0.05387255,-0.50896601,-0.45347145,0.96250486,0.0004,1,FALSE,-,-,-,-,-,-,-
syc0750-m_at,similar to chloroplast membrane-associated 30 kD protein,Synpcc7942_0794,Q31Q43,-0.23410119,0.24869164,0.16809777,0.01441994,-0.01476505,-0.06093296,-0.19043526,0.15977834,0.21825181,0.09504671,-0.1673172,-0.23942132,0.82649461,0.0261,1,FALSE,-,-,-,-,-,-,-
syc0755-m_at,Uncharacterized protein,Synpcc7942_0789,Q31Q48,-0.15009861,0.55130838,-0.04968629,0.17470863,-0.14559411,-0.17186985,0.05832701,0.4261128,-0.23503694,-0.00248136,-0.41254031,-0.40902377,0.84495895,0.0196,1,FALSE,-,-,-,-,-,-,-
syc0756-m_at,glutathione S-transferase,Synpcc7942_0788,Q31Q49,0.09572946,-0.30164926,-0.1525197,-0.09155992,0.27344384,0.23629661,0.03496461,-0.31222015,-0.26382371,-0.09502567,0.043407,0.31331321,0.89380306,0.0072,2,FALSE,-,-,-,-,-,-,-
syc0758-h_at,hypothetical protein,Synpcc7942_0786,Q31Q51,0.18625219,-0.61867914,-0.35989097,0.02643543,0.20960276,0.10149627,0.25881432,-0.74796986,-0.55664012,0.07067257,0.13021503,0.42407752,0.94763942,0.0010,2,FALSE,-,-,-,-,-,-,-
syc0760-h_at,Uncharacterized protein,Synpcc7942_0784,Q31Q53,-0.12080644,0.46473301,-0.08658227,-0.07992555,-0.31940012,-0.43523308,-0.0623177,0.44458825,0.01109538,0.01855298,-0.29613739,-0.35216026,0.99106103,0.0000,1,FALSE,-,-,-,-,-,-,-
syc0761-m_at,ATP phosphoribosyltransferase,Synpcc7942_0783,Q31Q54,-0.02674916,-0.45080992,-0.04609302,0.08527006,0.09045704,0.0307025,-0.15383007,-0.46189109,0.13880596,0.09116932,0.05686826,0.25953576,0.85092545,0.0177,6,FALSE,-,-,-,-,-,-,-
syc0764-m_at,serine/threonine kinase,Synpcc7942_0780,Q31Q57,-0.18678077,0.34931974,0.28803196,-0.10395499,-0.27462883,-0.48503449,-0.08345615,0.3310184,0.34146216,-0.02527751,-0.51488061,-0.32298638,0.91147532,0.0044,1,FALSE,-,-,-,-,-,-,-
syc0766-m_at,FolD bifunctional protein,Synpcc7942_0777,Q31Q60,-0.31249939,-0.0923563,0.22588485,0.08292943,-0.09117147,-0.05626397,-0.19013842,-0.01079185,0.27470336,0.10090505,0.07729457,-0.01620115,0.95666931,0.0006,3,FALSE,-,-,-,-,-,-,-
syc0767-m_at,geranylgeranyl diphosphate synthase,Synpcc7942_0776,Q31Q61,0.08006474,-0.42693484,-0.14560771,0.09170208,0.32018832,0.19931955,0.01651964,-0.51296663,-0.26394855,0.05862864,0.12663089,0.22852708,0.96189714,0.0004,2,FALSE,-,-,-,-,-,-,-
syc0770-m_at,hypothetical protein YCF52,Synpcc7942_0773,Q31Q64,-0.01329943,-0.27933454,-0.07210522,0.06713998,0.06166219,0.04276358,-0.05142093,-0.28104293,0.00097269,0.10460066,0.06026396,0.21756147,0.90172737,0.0059,6,FALSE,-,-,-,-,-,-,-
syc0773-h_at,hypothetical protein,Synpcc7942_0770,Q31Q67,-0.39345897,0.46996918,0.48044334,-0.20986044,-0.49780906,-0.53880043,-0.23179785,0.54920128,0.49610377,-0.19186463,-0.6838382,-0.35482398,0.96226924,0.0004,1,FALSE,-,-,-,-,-,-,-
syc0774-h_at,hypothetical protein,Synpcc7942_0769,Q31Q68,-0.42767051,0.53215717,0.46311406,-0.29329069,-0.71537212,-0.65473065,-0.16190971,0.6781862,0.51757362,-0.17755384,-0.85950804,-0.53326809,0.97488125,0.0001,1,FALSE,-,-,-,-,-,-,-
syc0775-h_at,hypothetical protein,Synpcc7942_0768,Q31Q69,-0.30413911,0.36985914,0.45803845,-0.29017969,-0.58543153,-0.4042388,-0.25922987,0.66608169,0.45976219,-0.21182304,-0.6943529,-0.34201594,0.97702909,0.0001,1,FALSE,-,-,-,-,-,-,-
syc0780-m_at,Uncharacterized protein,Synpcc7942_0762,Q31Q75,0.18597063,0.10481031,-0.38282726,-0.19155802,0.03671486,0.08356299,0.08275134,0.12890434,-0.34080806,-0.20435813,0.12595196,0.00252914,0.93995665,0.0015,4,FALSE,-,-,-,-,-,-,-
syc0781-m_at,hypothetical protein,Synpcc7942_0761,Q31Q76,0.03383915,0.09249528,-0.21226559,-0.14759943,-0.04896822,-0.02539987,0.09855435,0.21521356,-0.22330352,-0.08537384,-0.00167941,-0.1688179,0.84603616,0.0192,4,FALSE,-,-,-,-,-,-,-
syc0785-h_at,Uncharacterized protein,Synpcc7942_0755,Q31Q82,-0.08048138,-0.0556029,-0.15991112,-0.26103267,-0.0415375,0.14579834,-0.02272835,0.05991554,-0.00814385,-0.23055066,-0.02754527,0.30928683,0.94685255,0.0011,5,FALSE,-,-,-,-,-,-,-
