Transcript.Accession	Protein.Name	Gene.Name	Accession
syc0902-m_at	50S ribosomal protein L12	Synpcc7942_0631	Q31QK6
syc0903-h_at	hypothetical protein	Synpcc7942_0630	Q31QK7
syc0906-h_at	dihydroxyacid dehydratase	Synpcc7942_0626	Q31QL1
syc0908-h_at	hypothetical protein YCF45	Synpcc7942_0625	Q31QL2
syc0910-h_at	thioredoxin reductase	Synpcc7942_0623	Q31QL4
syc0912-h_at	Uncharacterized protein	Synpcc7942_0621	Q31QL6
syc0915-h_at	adenosylhomocysteinase	Synpcc7942_0618	Q31QL9
syc0919-m_at	hypothetical protein	Synpcc7942_0614	Q31QM3
syc0920-m_at	hypothetical protein	Synpcc7942_0613	Q31QM4
syc0921-m_at	citrate synthase	Synpcc7942_0612	Q31QM5
syc0923-h_at	hypothetical protein	Synpcc7942_0610	Q8VPU8
syc0924-h_at	NADPH dehydrogenase subunit 4	Synpcc7942_0609	Q8VPU9
syc0933-m_at	transcriptional regulator,  TetR/AcrR family	Synpcc7942_0599	Q31QN8
syc0934-h_at	putative peptidase	Synpcc7942_0598	Q31QN9
syc0937-m_at	hypothetical protein	Synpcc7942_0595	Q31QP2
syc0938-m_at	hypothetical protein	Synpcc7942_0594	Q31QP3
syc0939-m_at	hypothetical protein	Synpcc7942_0593	Q31QP4
syc0942-h_at	hypothetical protein	Synpcc7942_0590	Q31QP7
syc0943-h_at	hypothetical protein	Synpcc7942_0589	Q31QP8
syc0947-m_at	protease	Synpcc7942_0585	Q31QQ2
syc0948-m_at	ribose 5-phosphate isomerase	Synpcc7942_0584	Q31QQ3
syc0949-h_at	Magnesium protoporphyrin IX chelatase subunit I	Synpcc7942_0583	Q31QQ4
syc0951-m_at	hypothetical protein	Synpcc7942_0581	Q31QQ6
syc0953-h_at	sulfolipid sulfoquinovosyldiacylglycerol biosynthesis protein	Synpcc7942_0579	Q9R6U1
syc0954-h_at	sulfolipid biosynthesis protein	Synpcc7942_0578	Q54734
syc0959-m_at	hypothetical protein	Synpcc7942_0572	Q31QR5
syc0962-m_at	group2 RNA polymerase sigma factor RpoD4	Synpcc7942_0569	Q31QR8
syc0963-m_at	cytosine deaminase	Synpcc7942_0568	Q31QR9
syc0964-m_at	hypothetical protein	Synpcc7942_0567	Q31QS0
syc0966-h_at	hypothetical protein	Synpcc7942_0565	Q31QS2
syc0974-m_at	two-component response regulator  OmpR family	Synpcc7942_0556	Q31QT1
syc0976-h_at	probable GTP binding protein	Synpcc7942_0554	Q31QT3
syc0978-h_at	UDP-N-acetylglucosamine 2-epimerase	Synpcc7942_0552	Q31QT5
syc0979-h_at	hypothetical protein	Synpcc7942_0551	Q31QT6
syc0982-m_at	hypothetical protein	Synpcc7942_0548	Q31QT9
syc0984-h_at	Na+/H+ antiporter	Synpcc7942_0546	Q6VYY4
syc0986-h_at	hypothetical protein	Synpcc7942_0544	Q31QU3
syc0992-h_at	transketolase	Synpcc7942_0538	Q31QU9
syc0993-h_at	3-oxoacyl-[acyl-carrier-protein] synthase II	Synpcc7942_0537	Q31QV0
syc0994-h_at	acyl carrier protein	Synpcc7942_0536	Q31QV1
syc0996-m_at	L-glutamine:D-fructose-6-P amidotransferase	Synpcc7942_0534	Q31QV3
syc0998-m_at	hypothetical protein	Synpcc7942_0532	Q31QV5
syc1001-h_at	6-phosphogluconolactonase	Synpcc7942_0529	Q31QV8
syc1003-m_at	Uncharacterized protein	Synpcc7942_0527	Q31QW0
syc1004-h_at	permease protein of sugar ABC transporter	Synpcc7942_0526	Q31QW1
syc1005-m_at	hypothetical protein	Synpcc7942_0525	Q31QW2
syc1008-h_at	hypothetical protein	Synpcc7942_0521	Q31QW6
syc1009-h_at	hypothetical protein	Synpcc7942_0520	Q31QW7
syc1021-h_at	hypothetical protein	Synpcc7942_0508	Q31QX9
syc1022-h_at	ribosome recycling factor	Synpcc7942_0507	Q31QY0
syc1023-h_at	hypothetical protein	Synpcc7942_0506	Q31QY1
syc1024-m_at	fructose-1,6-/sedoheptulose-1,7-bisphosphatase	Synpcc7942_0505	Q31QY2
syc1030-m_at	hypothetical protein	Synpcc7942_0499	Q31QY8
syc1031-h_at	mannose-1-phosphate guanyltransferase	Synpcc7942_0498	Q31QY9
syc1032-m_at	hypothetical protein	Synpcc7942_0497	Q31QZ0
syc1036-h_at	hypothetical protein	Synpcc7942_0493	Q31QZ4
syc1038-h_at	hypothetical protein	Synpcc7942_0490	Q31QZ7
syc1040-h_at	hypothetical protein	Synpcc7942_0488	Q31QZ9
syc1043-h_at	phosphoglycerate mutase	Synpcc7942_0485	Q31R02
syc1044-m_at	hypothetical protein	Synpcc7942_0484	Q31R03
syc1045-m_at	Uncharacterized protein	Synpcc7942_0483	Q31R04
syc1046-m_at	penicillin-binding protein	Synpcc7942_0482	Q31R05
syc1047-h_at	protease	Synpcc7942_0481	Q31R06
syc1048-h_at	two-component hybrid sensor and regulator	Synpcc7942_0480	Q31R07
syc1049-m_at	GTP-binding protein	Synpcc7942_0479	Q31R08
syc1050-m_at	signal peptidase I	Synpcc7942_0478	Q31R09
syc1052-h_at	hypothetical protein	Synpcc7942_0476	Q31R11
syc1053-m_at	cytochrome b6-f complex subunit VIII	Synpcc7942_0475	Q31R12
syc1054-h_at	similar to xenobiotic reductase	Synpcc7942_0473	Q31R14
syc1055-h_at	hypothetical protein	Synpcc7942_0472	Q31R15
syc1057-h_at	Uncharacterized protein	Synpcc7942_0470	Q31R17
syc1059-m_at	phosphoglycerate mutase	Synpcc7942_0469	Q31R18
syc1060-m_at	protein-export membrane protein  preprotein translocase SecG subunit	Synpcc7942_0468	Q8GMT4
syc1063-m_at	hypothetical protein	Synpcc7942_0465	Q31R22
syc1064-m_at	hypothetical protein	Synpcc7942_0464	Q8GMT0
syc1065-m_at	low molecular weight phosphotyrosine protein phosphatase	Synpcc7942_0463	Q31R24
syc1070-m_at	putative esterase	Synpcc7942_0458	Q31R29
syc1071-h_at	Uncharacterized protein	Synpcc7942_0457	Q8GMS3
syc1076-m_at	conserved hypothetical protein	Synpcc7942_0452	Q31R35
syc1077-h_at	esterase	Synpcc7942_0451	Q8GMR9
syc1078-m_at	putative NifU-like protein	Synpcc7942_0450	Q8GMR8
syc1079-m_at	seryl-tRNA synthetase	Synpcc7942_0449	Q8GMR7
syc1080-m_at	hypothetical protein	Synpcc7942_0448	Q31R39
syc1086-h_at	ammonium/methylammonium permease	Synpcc7942_0442	Q31R45
syc1089-m_at	S-adenosylmethionine--Mg-protoporphyrin IX methyltransferase	Synpcc7942_0439	Q31R48
syc1092-h_at	hypothetical protein	Synpcc7942_0435	Q31R52
syc1093-h_at	hypothetical protein	Synpcc7942_0434	Q8GMQ6
syc1094-h_at	Uncharacterized protein	Synpcc7942_0433	Q8GMQ5
syc1097-h_at	1-deoxyxylulose-5-phosphate synthase	Synpcc7942_0430	Q8GAA0
syc1098-m_at	Uncharacterized protein	Synpcc7942_0429	Q31R58
syc1100-m_at	ATP-binding protein of ABC transporter	Synpcc7942_0427	Q8GMQ4
syc1101-m_at	hypothetical protein	Synpcc7942_0426	Q8GMQ3
syc1103-h_at	photosystem II reaction center D1 protein	Synpcc7942_0424	P04996
syc1104-m_at	hypothetical protein	Synpcc7942_0423	Q31R64
syc1105-h_at	Uncharacterized protein	Synpcc7942_0422	Q31R65
syc1106-m_at	glutathione S-transferase	Synpcc7942_0421	Q31R66
syc1108-m_at	hypothetical protein	Synpcc7942_0420	Q31R67
syc1109-m_at	biotin synthetase	Synpcc7942_0419	Q31R68
syc1111-h_at	hypothetical protein	Synpcc7942_0418	Q31R69
syc1112-h_at	hypothetical protein	Synpcc7942_0417	Q31R70
syc1114-m_at	hypothetical protein	Synpcc7942_0415	Q31R72
syc1118-m_at	tryptophan synthase alpha chain	Synpcc7942_0411	Q31R76
syc1119-m_at	hypothetical protein	Synpcc7942_0410	Q31R77
syc1121-m_at	photosystem I reaction center subunit X	Synpcc7942_0407	Q31R80
syc1122-h_at	hypothetical protein	Synpcc7942_0406	Q31R81
syc1124-m_at	peptide chain release factor 2	Synpcc7942_0404	Q31R83
syc1128-m_at	hypothetical protein	Synpcc7942_0399	Q31R88
syc1129-h_at	hypothetical protein	Synpcc7942_0398	Q31R89
syc1131-h_at	phosphoribosyl aminoimidazole carboxy formyl formyltransferase/inosinemonophosphate cyclohydrolase (PUR-H(J))	Synpcc7942_0396	Q31R91
syc1132-h_at	hypothetical protein	Synpcc7942_0395	Q31R92
syc1133-m_at	phosphatidate cytidylyltransferase	Synpcc7942_0394	Q31R93
syc1134-h_at	hypothetical protein	Synpcc7942_0393	Q31R94
syc1136-m_at	hypothetical protein	Synpcc7942_0391	Q31R96
syc1137-m_at	chromate transport protein	Synpcc7942_0390	Q31R97
syc1138-m_at	probable glycosyltransferase	Synpcc7942_0388	Q31R99
syc1140-h_at	hypothetical protein	Synpcc7942_0386	Q31RA1
syc1141-m_at	geranylgeranyl hydrogenase	Synpcc7942_0385	Q31RA2
syc1143-m_at	hypothetical protein	Synpcc7942_0383	Q31RA4
syc1144-m_at	hypothetical protein	Synpcc7942_0382	Q31RA5
syc1145-m_at	hypothetical protein	Synpcc7942_0381	Q31RA6
syc1146-h_at	hypothetical protein	Synpcc7942_0380	Q31RA7
syc1148-h_at	hypothetical protein YCF63  putative ABC transporter permease protein	Synpcc7942_0378	Q31RA9
syc1149-m_at	hypothetical protein	Synpcc7942_0377	Q31RB0
syc1150-m_at	putative zinc protease protein	Synpcc7942_0376	Q31RB1
syc1151-m_at	processing protease	Synpcc7942_0375	Q31RB2
syc1152-m_at	hypothetical protein	Synpcc7942_0373	Q31RB4
syc1154-h_at	homoserine O-succinyltransferase	Synpcc7942_0371	Q31RB6
syc1155-h_at	O-acetylhomoserine (thiol)-lyase	Synpcc7942_0370	Q31RB7
syc1156-h_at	putative flavin-containing monoamine oxidase	Synpcc7942_0369	Q31RB8
syc1158-m_at	bile acid:Na+ symporter, BASS family	Synpcc7942_0367	Q31RC0
syc1163-h_at	hypothetical protein	Synpcc7942_0362	Q31RC5
syc1166-h_at	hypothetical protein	Synpcc7942_0359	Q31RC8
syc1170-m_at	ribosome binding factor A	Synpcc7942_0355	Q31RD2
syc1172-h_at	bile acid:Na+ symporter, BASS family	Synpcc7942_0353	Q31RD4
syc1173-m_at	hypothetical protein	Synpcc7942_0352	Q31RD5
syc1176-m_at	hypothetical protein	Synpcc7942_0349	Q31RD8
syc1177-m_at	RecA gene product	Synpcc7942_0348	Q31RD9
syc1178-h_at	hypothetical protein	Synpcc7942_0347	Q31RE0
syc1182-h_at	photosystem II Psb27 protein	Synpcc7942_0343	Q31RE4
syc1183-h_at	hypothetical protein	Synpcc7942_0342	Q31RE5
syc1184-h_at	Uncharacterized protein	Synpcc7942_0341	Q31RE6
syc1186-h_at	hypothetical protein	Synpcc7942_0339	Q31RE8
syc1187-h_at	ferredoxin petF-like protein	Synpcc7942_0338	Q31RE9
syc1188-h_at	F-type H+-transporting ATPase gamma chain	Synpcc7942_0337	Q31RF0
syc1189-h_at	ATP synthase alpha chain of F1	Synpcc7942_0336	Q31RF1
syc1190-h_at	ATP synthase delta chain of F1	Synpcc7942_0335	Q31RF2
syc1191-h_at	ATP synthase B chain, H+-transporting two-sector ATPase chain b	Synpcc7942_0334	Q31RF3
syc1192-h_at	ATP synthase subunit b'	Synpcc7942_0333	Q31RF4
syc1193-h_at	ATP synthase c chain of Fo	Synpcc7942_0332	Q31RF5
syc1194-h_at	ATP synthase a chain of Fo	Synpcc7942_0331	Q31RF6
syc1195-h_at	ATP synthase protein I	Synpcc7942_0330	Q31RF7
syc1196-h_at	hypothetical protein	Synpcc7942_0329	Q31RF8
syc1209-m_at	hypothetical protein	Synpcc7942_0316	Q31RH1
syc1213-m_at	hypothetical protein	Synpcc7942_0312	Q31RH5
syc1214-m_at	dimethyladenosine transferase	Synpcc7942_0311	Q31RH6
syc1216-m_at	NADH dehydrogenase subunit 5	Synpcc7942_0309	Q8VPV4
syc1217-m_at	CO2 hydration protein	Synpcc7942_0308	Q8VPV3
syc1218-m_at	Na+/H+ antiporter	Synpcc7942_0307	Q8VPV2
syc1220-h_at	hypothetical protein	Synpcc7942_0304	Q31RI3
syc1221-h_at	probable potassium channel protein	Synpcc7942_0303	Q31RI4
syc1222-m_at	hypothetical protein, DNA uptake protein and related DNA-binding proteins	Synpcc7942_0302	Q31RI5
syc1224-m_at	rod shape-determining protein MreB	Synpcc7942_0300	Q31RI7
syc1226-m_at	hypothetical protein	Synpcc7942_0298	Q31RI9
syc1227-h_at	cell division protein FtsH	Synpcc7942_0297	Q31RJ0
syc1229-h_at	sulfate adenylyltransferase	Synpcc7942_0295	Q31RJ2
syc1230-h_at	photosystem II manganese-stabilizing polypeptide	Synpcc7942_0294	P11472
syc1231-m_at	hypothetical protein	Synpcc7942_0293	Q31RJ4
syc1233-h_at	hypothetical protein	Synpcc7942_0291	Q31RJ6
syc1235-h_at	preprotein translocase SecA subunit	Synpcc7942_0289	Q55357
syc1236-m_at	UDP-N-acetylglucosamine pyrophosphorylase	Synpcc7942_0288	Q31RJ9
syc1238-h_at	hypothetical protein	Synpcc7942_0286	Q31RK1
syc1239-h_at	carbon dioxide concentrating mechanism protein CcmK	Synpcc7942_0285	Q31RK2
syc1240-h_at	carbon dioxide concentrating mechanism protein ccmK	Synpcc7942_0284	Q31RK3
syc1244-m_at	probable glycosyltransferase	Synpcc7942_0281	Q31RK6
syc1246-h_at	NADH dehydrogenase I chain F	Synpcc7942_0279	Q31RK8
syc1247-h_at	NADH dehydrogenase I chain E	Synpcc7942_0278	Q31RK9
syc1249-m_at	glycolate dehydrogenase	Synpcc7942_0276	Q31RL1
syc1253-h_at	Uroporphyrinogen III synthase	Synpcc7942_0272	P42452
syc1255-h_at	probable glycosyltransferase	Synpcc7942_0270	P42460
syc1256-m_at	hypothetical protein	Synpcc7942_0269	Q31RL8
syc1258-h_at	glucose inhibited division protein B	Synpcc7942_0267	Q31RM0
syc1266-h_at	Uncharacterized protein	Synpcc7942_0259	Q31RM8
syc1267-h_at	hypothetical protein	Synpcc7942_0258	Q31RM9
syc1269-h_at	N-acyl-L-amino acid amidohydrolase	Synpcc7942_0256	Q31RN1
syc1271-h_at	DNA gyrase A subunit	Synpcc7942_0254	Q31RN3
syc1276-h_at	ATP-binding subunit of the ABC-type Bgt permease for basic amino acids and glutamine	Synpcc7942_0249	Q31RN8
syc1279-h_at	periplasmic substrate-binding and integral membrane protein of the ABC-type Bgt permease for basic amino acids and glutamine BgtB	Synpcc7942_0247	Q31RP0
syc1281-m_at	glyceraldehyde 3-phosphate dehydrogenase	Synpcc7942_0245	Q31RP2
syc1282-m_at	glycogen phosphorylase	Synpcc7942_0244	Q31RP3
syc1283-m_at	possible high light inducible polypeptide HliC, CAB/ELIP/HLIP superfamily	Synpcc7942_0243	Q31RP4
syc1286-m_at	allophycocyanin alpha-B subunit	Synpcc7942_0240	Q31RP7
syc1287-m_at	cytochrome C6 soluble cytochrome f	Synpcc7942_0239	Q31RP8
syc1290-h_at	Cyclic nucleotide-binding domain (CNMP-BD) protein	Synpcc7942_0236	Q31RQ1
syc1294-m_at	3-phosphoshikimate 1-carboxyvinyltransferase	Synpcc7942_0232	Q31RQ5
syc1295-m_at	putative acetyltransferase	Synpcc7942_0231	Q31RQ6
syc1297-h_at	hypothetical protein	Synpcc7942_0229	Q31RQ8
syc1298-h_at	hypothetical protein	Synpcc7942_0228	Q31RQ9
syc1299-h_at	peptidyl-tRNA hydrolase	Synpcc7942_0227	Q31RR0
syc1308-h_at	hypothetical protein	Synpcc7942_0217	Q31RS0
syc1310-m_at	hypothetical protein	Synpcc7942_0215	Q31RS2
syc1311-h_at	hypothetical protein	Synpcc7942_0214	Q31RS3
syc1312-m_at	Uncharacterized protein	Synpcc7942_0213	Q31RS4
syc1322-m_at	cb-type cytochrome c oxidase subunit I	Synpcc7942_0202	Q31RT5
syc1323-m_at	hypothetical protein	Synpcc7942_0201	Q31RT6
syc1324-m_at	hypothetical protein	Synpcc7942_0200	Q31RT7
syc1325-m_at	hypothetical protein	Synpcc7942_0199	Q31RT8
syc1326-m_at	type 2 NADH dehydrogenase	Synpcc7942_0198	Q31RT9
syc1327-m_at	hypothetical protein	Synpcc7942_0197	O68867
syc1328-m_at	lignostilbene-alpha, beta-dioxygenase of Synechococcus PCC7942	Synpcc7942_0196	Q31RU1
syc1333-h_at	soluble hydrogenase 42 kD subunit  DHSS	Synpcc7942_0191	Q31RU6
syc1340-h_at	Uncharacterized protein	Synpcc7942_0183	Q31RV4
syc1352-h_at	Uncharacterized protein	Synpcc7942_0168	Q31RW9
syc1355-h_at	hypothetical protein	Synpcc7942_0164	Q31RX3
syc1358-h_at	hypothetical protein	Synpcc7942_0161	Q31RX6
syc1359-h_at	GTP-binding protein ERA homolog	Synpcc7942_0160	Q31RX7
syc1362-m_at	Uncharacterized protein	Synpcc7942_0157	Q31RY0
syc1363-m_at	phosphoglucomutase	Synpcc7942_0156	Q31RY1
syc1365-m_at	hypothetical protein	Synpcc7942_0153	Q31RY4
syc1370-h_at	hypothetical protein	Synpcc7942_0148	Q31RY9
syc1371-m_at	Uncharacterized protein	Synpcc7942_0147	Q31RZ0
syc1375-m_at	pyruvate dehydrogenase E1 component beta subunit	Synpcc7942_0143	Q31RZ4
syc1376-m_at	protein-export membrane protein SecD	Synpcc7942_0142	Q31RZ5
syc1379-h_at	acetolactate synthase	Synpcc7942_0139	Q31RZ8
syc1380-h_at	probable peptidase	Synpcc7942_0138	Q31RZ9
syc1386-m_at	hypothetical protein	Synpcc7942_0132	Q31S05
syc1389-h_at	hypothetical protein	Synpcc7942_0128	Q31S09
syc1391-m_at	enoyl-[acyl-carrier-protein] reductase	Synpcc7942_0126	Q31S11
syc1392-m_at	imidazoleglycerol-phosphate dehydratase	Synpcc7942_0125	Q31S12
syc1393-m_at	similar to thiol methyltransferase 1	Synpcc7942_0124	Q31S13
syc1399-h_at	glutamyl-tRNA(Gln) amidotransferase subunit B	Synpcc7942_0118	Q31S19
syc1403-h_at	hypothetical protein	Synpcc7942_0114	Q31S23
syc1406-h_at	hypothetical protein	Synpcc7942_0110	Q31S27
syc1407-h_at	probable DNA-binding stress protein	Synpcc7942_0109	Q31S28
syc1415-h_at	hypothetical protein	Synpcc7942_0102	Q31S35
syc1416-h_at	type 2 NADH dehydrogenase	Synpcc7942_0101	Q31S36
syc1417-m_at	hypothetical protein	Synpcc7942_0100	Q31S37
syc1419-m_at	pyruvate kinase	Synpcc7942_0098	Q31S39
syc1421-m_at	hypothetical protein	Synpcc7942_0096	Q31S41
syc1422-m_at	two-component response regulator (OmpR subfamily)	Synpcc7942_0095	Q31S42
syc1425-m_at	hypothetical protein	Synpcc7942_0092	Q31S45
syc1430-m_at	hypothetical protein	Synpcc7942_0087	Q31S50
syc1431-m_at	glycogen operon protein GlgX homolog	Synpcc7942_0086	Q31S51
syc1432-m_at	hypothetical protein	Synpcc7942_0085	Q31S52
syc1434-h_at	hypothetical protein	Synpcc7942_0083	Q54732
syc1435-h_at	ATP-binding protein of ABC transporter	Synpcc7942_0082	Q31S55
syc1437-m_at	probable ABC transporter permease protein	Synpcc7942_0080	Q31S57
syc1438-m_at	hypothetical protein YCF41	Synpcc7942_0079	Q31S58
syc1443-m_at	Uncharacterized protein	Synpcc7942_0074	Q31S63
syc1445-m_at	hypothetical protein	Synpcc7942_0072	Q31S65
syc1446-m_at	pleiotropic regulatory protein homolog	Synpcc7942_0071	Q31S66
syc1448-m_at	ATP-binding protein of ABC transporter	Synpcc7942_0068	Q31S69
syc1451-m_at	initiation factor IF-3	Synpcc7942_0065	Q31S72
syc1455-m_at	dTDP-4-dehydrorhamnose 35-epimerase	Synpcc7942_0058	Q31S79
syc1465-h_at	hypothetical protein	Synpcc7942_0047	Q31S90
syc1466-h_at	hypothetical protein	Synpcc7942_0046	Q31S91
syc1468-h_at	hypothetical protein	Synpcc7942_0044	Q31S93
syc1470-m_at	50S ribosomal protein L28	Synpcc7942_0042	Q31S95
syc1471-h_at	probable transport protein	Synpcc7942_0041	Q31S96
syc1472-h_at	dihydroneopterin aldolase	Synpcc7942_0040	Q31S97
syc1473-h_at	6-phosphogluconate dehydrogenase	Synpcc7942_0039	P21577
syc1474-h_at	mutator MutT protein	Synpcc7942_0038	Q31S99
syc1475-h_at	hypothetical protein	Synpcc7942_0036	Q31SA1
syc1476-m_at	Uncharacterized protein	Synpcc7942_0035	Q31SA2
syc1477-m_at	hypothetical protein	Synpcc7942_0033	Q31SA4
syc1478-m_at	hypothetical protein	Synpcc7942_0032	Q31SA5
syc1480-h_at	N-acetylornithine aminotransferase	Synpcc7942_0031	Q31SA6
syc1488-m_at	H+/Ca2+ exchanger	Synpcc7942_0023	Q31SB4
syc1489-m_at	hypothetical protein	Synpcc7942_0022	Q31SB5
syc1492-h_at	ferredoxin-sulfite reductase	Synpcc7942_0019	P30008
syc1497-m_at	hypothetical protein	Synpcc7942_0014	Q31SC3
syc1498-h_at	Uncharacterized protein	Synpcc7942_0013	Q31SC4
syc1500-m_at	Uncharacterized protein	Synpcc7942_0011	Q31SC6
syc1502-h_at	argininosuccinate synthetase	Synpcc7942_0009	Q31SC8
syc1506-m_at	hypothetical protein	Synpcc7942_0005	Q31SD2
syc1507-h_at	amidophosphoribosyltransferase	Synpcc7942_0004	Q55038
syc1508-h_at	phosphoribosylformyl glycinamidine synthetase II	Synpcc7942_0003	Q55041
syc1509-h_at	RNA metabolism-related protein  conserved hypothetical protein	Synpcc7942_0002	Q31SD5
syc1510-h_at	DNA polymerase III beta subunit	Synpcc7942_0001	P52023
syc1512-h_at	threonine synthase	Synpcc7942_2612	Q31JX7
syc1515-h_at	hypothetical protein	Synpcc7942_2609	Q31JY0
syc1516-h_at	Uncharacterized protein	Synpcc7942_2608	Q31JY1
syc1517-m_at	exodeoxyribonuclease III	Synpcc7942_2607	Q31JY2
syc1518-m_at	threonyl-tRNA synthetase	Synpcc7942_2606	Q31JY3
syc1519-m_at	Uncharacterized protein	Synpcc7942_2605	Q31JY4
syc1520-h_at	cytochrome c oxidase subunit III	Synpcc7942_2604	Q31JY5
syc1521-h_at	cytochrome c oxidase subunit I	Synpcc7942_2603	Q31JY6
syc1522-h_at	cytochrome c oxidase subunit II	Synpcc7942_2602	Q31JY7
syc1523-m_at	hypothetical protein	Synpcc7942_2601	Q31JY8
syc1524-m_at	cytochrome c oxidase folding protein	Synpcc7942_2600	Q31JY9
syc1531-h_at	Uncharacterized protein	Synpcc7942_2593	Q31JZ6
syc1533-h_at	hypothetical protein	Synpcc7942_2591	Q31JZ8
syc1534-h_at	similar to pilin-like protein	Synpcc7942_2590	Q31JZ9
syc1536-m_at	3-octaprenyl-4-hydroxybenzoate carboxy-lyase UbiD	Synpcc7942_2588	Q31K01
syc1537-m_at	Uncharacterized protein	Synpcc7942_2587	Q31K02
syc1540-h_at	probable short chain dehydrogenase  cell-cell signaling protein, C-factor	Synpcc7942_2584	Q31K05
syc1543-h_at	ferredoxin petF-like protein	Synpcc7942_2581	Q31K08
syc1546-m_at	hypothetical protein	Synpcc7942_2578	O33700
syc1547-m_at	hypothetical protein	Synpcc7942_2577	O33701
syc1554-m_at	tyrosyl tRNA synthetase	Synpcc7942_2570	Q31K19
syc1555-m_at	orotidine 5' monophosphate decarboxylase	Synpcc7942_2569	Q31K20
syc1558-h_at	peptidyl-prolyl cis-trans isomerase	Synpcc7942_2566	Q31K23
syc1559-m_at	elongation factor P	Synpcc7942_2565	Q54760
syc1560-m_at	biotin carboxyl carrier protein of acetyl-CoA carboxylase	Synpcc7942_2564	Q54761
syc1565-m_at	50S ribosomal protein L9	Synpcc7942_2559	Q31K30
syc1567-m_at	NAD-reducing hydrogenase HoxS gamma subunit	Synpcc7942_2557	Q31K32
syc1568-m_at	NAD-reducing hydrogenase HoxS delta subunit	Synpcc7942_2556	Q31K33
syc1569-m_at	NAD-reducing hydrogenase HoxS beta subunit	Synpcc7942_2555	Q31K34
syc1570-m_at	hypothetical protein	Synpcc7942_2554	Q31K35
syc1571-m_at	putative hydrogenase expression/formation protein HypA1	Synpcc7942_2553	Q31K36
syc1572-m_at	hydrogenase isoenzymes formation protein HypB	Synpcc7942_2552	Q31K37
syc1573-m_at	hydrogenase maturation protein HypF	Synpcc7942_2551	Q31K38
syc1574-m_at	hydrogenase maturation protein HypC	syc1560_d	Q5N1S0
syc1577-h_at	Uncharacterized protein	Synpcc7942_2547	Q31K42
syc1578-h_at	hypothetical protein	Synpcc7942_2546	Q31K43
syc1579-h_at	aspartate aminotransferase	Synpcc7942_2545	Q31K44
syc1581-m_at	DNA polymerase bacteriophage-type  Uracil DNA glycosylase superfamily	Synpcc7942_2543	Q31K46
syc1582-m_at	putative cytochrome C6-2	Synpcc7942_2542	Q31K47
syc1585-m_at	hypothetical protein  thioredoxin like	Synpcc7942_2539	Q31K50
syc1589-h_at	hypothetical protein	Synpcc7942_2535	Q31K54
syc1591-h_at	hypothetical protein	Synpcc7942_2533	Q31K56
syc1592-m_at	hypothetical protein	Synpcc7942_2532	Q31K57
syc1597-h_at	ATP-dependent protease ATPase subunit	Synpcc7942_2526	O34126
syc1599-h_at	trigger factor  FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase)	Synpcc7942_2524	Q935Z3
syc1601-m_at	hypothetical protein	Synpcc7942_2520	Q31K69
syc1608-m_at	hypothetical protein	Synpcc7942_2512	Q935Y2
syc1613-m_at	Uncharacterized protein	Synpcc7942_2507	Q31K82
syc1614-m_at	phosphoadenosine phosphosulfate reductase	Synpcc7942_2506	Q55309
syc1617-m_at	light-dependent NADPH-protochlorophyllide oxidoreductase	Synpcc7942_2503	Q935X4
syc1620-m_at	hypothetical protein	Synpcc7942_2500	Q31K89
syc1621-m_at	hypothetical protein	Synpcc7942_2499	Q54705
syc1622-m_at	similar to flotillin	Synpcc7942_2498	Q54704
syc1623-m_at	nucleoside diphosphate kinase	Synpcc7942_2497	P50590
syc1633-h_at	hypothetical protein	Synpcc7942_2487	Q8GIT3
syc1635-m_at	Uncharacterized protein	Synpcc7942_2484	Q8GIT0
syc1636-m_at	hypothetical protein	Synpcc7942_2483	Q31KA6
syc1641-h_at	hypothetical protein	Synpcc7942_2476	Q31KB3
syc1642-h_at	L-argininosuccinate lyase	Synpcc7942_2475	Q8GIS1
syc1643-h_at	hypothetical protein	Synpcc7942_2474	Q8GIS0
syc1644-h_at	hypothetical protein	Synpcc7942_2473	Q8GIR9
syc1645-h_at	signal recognition particle protein	Synpcc7942_2472	Q31KB7
syc1646-h_at	N utilization substance protein B  transcription antiterminator NusB	Synpcc7942_2471	Q8GIR7
syc1652-m_at	hypothetical protein	Synpcc7942_2465	Q31KC4
syc1654-m_at	S-adenosylmethionine synthetase	Synpcc7942_2463	Q31KC6
syc1656-m_at	hypothetical protein	Synpcc7942_2461	Q31KC8
syc1659-h_at	competence protein ComE	Synpcc7942_2458	Q31KD1
syc1660-h_at	glycyl-tRNA synthetase alpha chain	Synpcc7942_2457	Q31KD2
syc1663-m_at	adenine phosphoribosyltransferase	Synpcc7942_2454	Q31KD5
syc1664-m_at	oligopeptides ABC transporter permease protein	syc1651_d	Q5N1H9
syc1665-m_at	type IV pilus assembly protein PilM	Synpcc7942_2453	Q31KD6
syc1666-m_at	hypotetical protein	Synpcc7942_2452	Q5N1H7
syc1667-m_at	C terminus of hypothetical protein slr1275 (pilN)	Synpcc7942_2452	Q5N1H7
syc1668-m_at	pilus assembly protein PilO	Synpcc7942_2451	Q31KD8
syc1669-m_at	bifunctional pilus assembly protein PilQ/type II secretion pathway protein D	Synpcc7942_2450	Q31KD9
syc1670-h_at	antioxidant protein]  rehydrin	Synpcc7942_2449	Q31KE0
