"Proteins identified in the 48h time-course experiment, using TMT 6-plex labeling: column headers show the Uniprot accession numbers of all proteins (Uniprot Accession); the names of the proteins as seen in Uniprot database (Protein name); the common gene names (gene names); gene names as seen in the Cyanobase (http://genome.microbedb.jp/cyanobase/) (Gene names (Synpcc7942 only); the number of spectrum to peptide matches of each protein for the whole 48h experiment (Total PSMs); the theoretical molecular weight (MW (kDa)); the abundance factor calculated by dividing the number of PSMs by the molecular weight (Abund factor); the relative abundance factor calculated by diving the abundance factor for the sum of all abundance factors (Rel abund); the total number of protein copies analyzed in one sample (Prot copy nrs), as calculated by multiplying the relative abundance factor for the amount of protein material used in the 48h experiment, dividing by the molecular weight and multiplying for the avogadro number; the number of protein copies analyzed in one cell, as calculated by dividing the protein copy numbers for the number of cells used in the 48h experiment (Prot copies/cell); the number of peptides per 12h experiment, one protein was identified with (Unique peptides); number of spectra per 12h experiment, one protein was identified with (Unique spectra); the percentage of which we were able to identify in a protein (Coverage(%)); the normalized protein ratio in a certain time-point X (X hours LD); the number of spectra used for the ratio calculation (Quant spectra); the variance between the ratios of the spectra used for quantification (Variance X hours LD); categorization of significant (TRUE) and non-significant (FALSE) proteins, as determined by the inter quartile range analysis (Significant); the cluster number corresponding to each significant protein (Cluster nr);categorization of cyclic (TRUE) and not-cyclic (FALSE) proteins, as determined by the Pearson correlation (Cyclic); the Pearson correlation value (Pearson); the p-value for the significance of the Pearson correlation (p-value); and the phase, light (L) or dark (D), at which the protein profile shows a maximum abundance (Peak phase).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* significant (p<0.05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** very significant (p<0.01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniprot Accession,Protein name,Gene name,Gene Name (Synpcc7942 only),Total PSMs,MW (kDa),Abund factor,Rel abund ,Prot copy nrs,Prot copies/cell,Unique Peptides,Unique Spectra,Coverage (%),6.5 hours LD,Quant spectra,Variance 6.5 hours LD,9.5 hours LD,Quant spectra,Variance 9.5 hours LD,11.5 hours LD,Quant spectra,Variance 11.5 hours LD,12.5 hours LD,Quant spectra,Variance 12.5 hours LD,14.5 hours LD,Quant spectra,Variance 14.5 hours LD,Unique Peptides,Unique Spectra,Coverage (%),17.5 hours LD,Quant spectra,Variance 17.5 hours LD,21.5 hours LD,Quant spectra,Variance 21.5 hours LD,23.5 hours LD,Quant spectra,Variance 23.5 hours LD,24.5 hours LD,Quant spectra,Variance 24.5 hours LD,26.5 hours LD,Quant spectra,Variance 26.5 hours LD,Unique Peptides,Unique Spectra,Coverage (%),30.5 hours LD,Quant spectra,Variance 30.5 hours LD,33.5 hours LD,Quant spectra,Variance 33.5 hours LD,35.5 hours LD,Quant spectra,Variance 35.5 hours LD,36.5 hours LD,Quant spectra,Variance 36.5 hours LD,38.5 hours LD,Quant spectra,Variance 38.5 hours LD,Unique Peptides,Unique Spectra,Coverage (%),41.5 hours LD,Quant spectra,Variance 41.5 hours LD,45.5 hours LD,Quant spectra,Variance 45.5 hours LD,47.5 hours LD,Quant spectra,Variance 47.5 hours LD,48.5 hours LD,Quant spectra,Variance 48.5 hours LD,50.5 hours LD,Quant spectra,Variance 50.5 hours LD,Significant,Cluster nr,Cyclic,Pearson,p-value,Peak phase
Q31Q13,Putative uncharacterized protein,Synpcc7942_0824,Synpcc7942_0824,31,64.1,0.000483451,3.50907E-05,3.1626E+11,6.2406E+01,3,3,4.9,0.738414132,3,0.1594,1.105095982,3,0.0483,1.058766033,3,0.0266,0.848789503,3,0.1354,0.82603795,3,0.0326,2,2,3.3,1.067824793,2,0.0118,1.202541298,2,0.0113,1.188502227,2,0.0114,1.157977178,2,0.012,0.814516713,2,0.0121,3,12,4.9,0.855263622,2,0.0032,1.026124365,2,0.0034,0.871364776,2,0.0044,1.16091387,2,0.0099,0.981974025,2,0.0134,3,14,4.9,0.927470276,14,0.0051,1.161716078,14,0.0143,0.883690121,14,0.0033,0.958958913,14,0.0043,0.890635496,14,0.0043,TRUE,6,FALSE,-,-,-
Q31Q12,Putative uncharacterized protein,Synpcc7942_0825,Synpcc7942_0825,54,26.0,0.002074628,0.000150584,3.3434E+12,6.5973E+02,8,13,44.4,0.916642522,12,0.0198,1.099765268,12,0.0008,1.11532131,12,0.0042,0.935405674,12,0.0036,1.026833432,12,0.0162,9,17,40.9,1.113525072,17,0.003,1.093704503,17,0.0014,0.934114256,17,0.0015,1.015313124,17,0.0012,1.255162629,17,0.0019,5,12,23.3,1.139200062,8,0.0022,0.897222178,8,0.0118,0.781267935,8,0.0032,0.818464788,8,0.0096,0.789223485,8,0.0019,7,12,35.8,0.928324901,8,0.0009,1.14366808,8,0.0013,1.258345789,9,0.0037,1.143141523,9,0.0021,1.187134701,9,0.0021,TRUE,5,FALSE,-,-,-
Q31Q11,Putative uncharacterized protein,Synpcc7942_0826,Synpcc7942_0826,138,34.7,0.00397814,0.000288748,4.8105E+12,9.4921E+02,6,25,23.8,1.019999597,19,0.0008,1.000230285,19,0.0063,1.100271845,22,0.0007,0.983105215,19,0.0023,0.897222178,22,0.0023,9,59,35.4,0.906984782,48,0.0012,0.925337153,48,0.0013,1.012511583,48,0.0012,1.028253035,48,0.0011,1.137627286,48,0.003,7,23,26.7,0.854673031,11,0.0061,0.861588711,13,0.0028,0.763835784,12,0.0011,0.912220862,12,0.0017,0.922571427,12,0.0023,8,31,34.1,0.880846027,16,0.0189,0.936914586,17,0.0105,1.092697627,17,0.0081,1.095216555,17,0.0032,1.108408889,17,0.0032,FALSE,-,-,-,-,-
Q31Q10,Cobalamin synthesis protein cobW-like,Synpcc7942_0827,Synpcc7942_0827,102,38.5,0.002648562,0.000192242,2.8849E+12,5.6925E+02,5,17,13.5,0.835026003,17,0.0014,0.860597341,17,0.0014,0.939939715,17,0.0008,0.861985579,17,0.0006,1.093956366,17,0.0008,7,30,18.4,1.077457131,30,0.0008,1.063653075,30,0.0009,1.124604974,30,0.0003,0.985371507,30,0.0007,0.950823704,30,0.0006,2,27,6,0.894128628,26,0.0018,1.059009851,27,0.0019,0.961612278,26,0.0008,1.08742672,27,0.001,1.019060575,27,0.0014,4,28,8.3,0.994260074,28,0.0009,1.057547785,28,0.0031,1.028963572,28,0.0015,1.034665576,28,0.0026,1.001151956,28,0.0026,FALSE,-,-,-,-,-
Q31Q09,Putative uncharacterized protein,Synpcc7942_0828,Synpcc7942_0828,69,13.6,0.005085733,0.000369141,1.5724E+13,3.1027E+03,5,12,44.3,0.991973339,12,0.0019,1.11866487,12,0.0042,1.081433951,12,0.0015,1.08517555,12,0.001,0.158598838,12,0.1929,7,36,80.3,0.980618314,33,0.0008,0.876798907,33,0.0009,0.644614396,33,0.0238,1.011812406,33,0.0008,1.135010816,33,0.0009,3,10,37.7,0.989464005,8,0.0032,0.774996962,9,0.0158,0.694704321,7,0.0035,0.656749877,7,0.011,0.659933234,9,0.0079,3,11,37.7,0.975663369,5,0.0063,1.028726672,5,0.0041,1.337211183,5,0.0033,1.103062194,5,0.0054,1.088428738,5,0.0054,TRUE,5,FALSE,-,-,-
Q31Q06,Putative uncharacterized protein,Synpcc7942_0831,Synpcc7942_0831,20,21.8,0.000917295,6.65807E-05,1.7648E+12,3.4823E+02,2,3,19.5,0.742335107,2,0.0752,0.973867785,2,0.0606,0.951480736,2,0.0576,0.800571269,2,0.0665,1.081682989,1,0.0653,6,7,43,1.053901445,3,0.0015,1.065368864,3,0.0015,1.066596121,3,0.0015,1.068562675,3,0.0016,1.146040591,3,0.0036,2,4,16.5,1.650440986,1,0.0352,1.17543874,1,0.0379,-,0,Inf,0.778215721,2,0.0278,1.028726672,1,0.0391,2,6,16.5,1.489018179,2,0.0831,1.194813167,2,0.0871,1.123052348,2,0.0883,1.387714097,2,0.0786,1.07969229,2,0.0786,FALSE,-,-,-,-,-
Q31Q05,Putative uncharacterized protein,Synpcc7942_0833,Synpcc7942_0833,98,40.1,0.002441774,0.000177233,2.5521E+12,5.0358E+02,4,6,14,1.108919448,4,0.0011,1.019295249,5,0.0009,0.96894695,5,0.0008,0.948855327,5,0.0009,1.135533628,5,0.001,4,14,12.1,0.989008445,12,0.0004,1.023292992,12,0.0014,1.084176526,12,0.0033,0.993344748,12,0.0015,0.931751284,12,0.0028,6,40,16.6,0.935405674,14,0.0034,1.024000102,14,0.0028,0.892894196,14,0.0018,1.00461579,14,0.0019,0.949510999,14,0.0017,9,38,25,1.109941271,25,0.0039,1.036096007,25,0.0041,0.981521913,25,0.004,1.034427363,25,0.0065,1.01601472,25,0.0065,FALSE,-,-,-,-,-
Q31Q04,Putative uncharacterized protein,Synpcc7942_0834,Synpcc7942_0834,168,23.7,0.007094865,0.000514971,1.2569E+13,2.4800E+03,8,28,54.8,0.923208937,23,0.0031,1.083677359,24,0.0017,1.004153254,24,0.0004,1.086926056,24,0.0006,1.263281104,24,0.0008,11,55,67.7,1.139987266,50,0.0012,0.87096359,50,0.001,0.776604674,50,0.0019,1.091189052,50,0.0008,1.01344457,50,0.0005,7,50,49.3,0.766655049,19,0.0063,0.89002048,18,0.0054,0.825087485,16,0.0061,0.930679183,20,0.0111,1.359878163,20,0.0054,6,35,44.7,1.017185124,17,0.0037,0.825847769,17,0.007,0.885727237,17,0.0019,1.161181211,19,0.0126,0.757355877,18,0.0126,TRUE,4,TRUE,.719*,0.019,12h
Q31PZ6,NADPH-glutathione reductase,Synpcc7942_0842,Synpcc7942_0842,284,48.4,0.005863681,0.000425608,5.0784E+12,1.0021E+03,18,34,33.2,1.11532131,29,0.0056,1.114294534,30,0.0015,1.106114282,30,0.0024,1.144458371,30,0.0012,0.73434476,29,0.0121,19,77,40.1,1.069547311,63,0.0008,1.08292904,63,0.0012,1.073000687,63,0.0009,1.007395485,63,0.001,0.881860723,63,0.0012,14,81,34.8,0.976112782,71,0.0023,0.965606099,72,0.0016,0.855657576,64,0.0023,0.881048873,71,0.002,0.960727008,72,0.0013,17,92,38.6,1.152656756,74,0.0025,1.088679387,73,0.0022,1.127976366,74,0.0026,1.120211431,74,0.0024,1.062184599,74,0.0024,FALSE,-,-,-,-,-
Q31PZ5,Putative uncharacterized protein,Synpcc7942_0843,Synpcc7942_0843,1548,15.7,0.098454235,0.007146171,2.6267E+14,5.1830E+04,21,281,94.4,0.89392277,235,0.0012,0.987643023,248,0.0018,1.013677951,243,0.0008,0.890635496,247,0.0007,1.114807803,246,0.0012,21,603,94.4,0.995863924,548,0.0011,1.026833432,548,0.0013,0.986961019,548,0.0009,1.089180858,548,0.0009,1.259215323,548,0.001,17,322,84.6,1.01976476,300,0.0033,0.895983475,298,0.0037,0.819785061,294,0.0029,0.851726187,298,0.0028,0.859013522,299,0.0018,18,342,84.6,0.991744955,308,0.0039,1.22489821,309,0.0042,1.232253329,310,0.0019,1.268527831,310,0.0022,1.332907464,310,0.0022,TRUE,5,FALSE,-,-,-
Q31PZ4,Phosphoesterase PHP-like,Synpcc7942_0844,Synpcc7942_0844,18,25.7,0.000701371,5.09081E-05,1.1464E+12,2.2621E+02,1,1,5.1,0.570689655,1,0.5519,1.049059208,1,0.3517,0.373766178,1,0.59,0.73046599,1,0.426,0.580363378,1,0.4648,4,7,25.8,1.051961874,5,0.0013,1.063408188,5,0.0011,1.006699841,5,0.0028,1.064878356,5,0.0013,1.232253329,5,0.0011,2,4,12.3,1.125122993,4,0.0096,1.067824793,4,0.008,0.893511199,1,0.0478,0.840814127,3,0.0107,1.088178147,4,0.009,3,6,12.3,1.103062194,3,0.022,1.186041813,3,0.013,1.21646607,3,0.0067,1.270574105,3,0.0122,1.324951557,3,0.0122,TRUE,6,TRUE,.704*,0.023,?
Q31PZ2,Putative uncharacterized protein,Synpcc7942_0846,Synpcc7942_0846,155,30.5,0.005086259,0.000369179,7.0012E+12,1.3815E+03,2,14,8.5,0.926616437,14,0.0008,1.015313124,14,0.0006,1.003459849,14,0.0004,0.854673031,14,0.0011,1.156378478,14,0.001,7,73,32,1.076465214,73,0.0004,1.078946722,73,0.0004,0.966050879,73,0.0004,0.94863687,73,0.0003,1.222362449,73,0.0005,4,28,16.2,1.109685727,27,0.0019,0.925550245,27,0.0006,0.873373479,27,0.0033,0.824517732,27,0.0008,0.813204925,27,0.0018,4,40,18,1.018591388,36,0.0023,1.224334253,36,0.0022,1.229985524,36,0.0011,1.218989599,36,0.0031,1.314922025,36,0.0031,TRUE,5,FALSE,-,-,-
Q31PZ1,Twitching motility protein,Synpcc7942_0847,Synpcc7942_0847,32,41.0,0.000781241,5.67054E-05,8.0007E+11,1.5787E+02,4,5,13,1.283512197,4,0.0068,1.001843766,4,0.0069,1.014845663,4,0.0064,1.026597022,4,0.0069,1.098752813,4,0.0308,4,6,14.6,0.90782053,6,0.0112,0.974540742,6,0.0062,1.021880237,6,0.0048,0.88838251,6,0.0057,0.767184818,6,0.0102,6,10,21.6,1.293302151,6,0.0258,1.130836975,6,0.0015,0.748169501,6,0.0671,0.995176243,6,0.008,0.896602613,6,0.0023,5,11,16.8,0.902609707,10,0.014,1.21478662,9,0.0271,1.185768748,11,0.0179,1.342455814,11,0.0117,1.298374568,10,0.0117,TRUE,5,FALSE,-,-,-
Q31PZ0,Excinuclease ABC subunit A,Synpcc7942_0848,Synpcc7942_0848,67,110.3,0.000607533,4.4097E-05,2.3109E+11,4.5598E+01,5,8,6.3,1.011113712,7,0.0018,0.873775775,7,0.0024,1.005078539,7,0.0016,0.946019307,7,0.0017,1.101792978,7,0.0017,8,17,10.6,0.95411341,13,0.001,1.152656756,13,0.0006,1.100271845,13,0.0006,0.982878873,13,0.0004,1.010648184,13,0.0019,12,22,19.7,1.017419366,14,0.004,1.005078539,12,0.0033,0.935405674,12,0.0162,1.128495938,15,0.0061,0.92853868,16,0.0043,12,20,18.6,0.967163727,12,0.003,0.859805067,11,0.0186,1.067824793,12,0.0049,0.978588257,12,0.0107,1.074731554,11,0.0107,FALSE,-,-,-,-,-
Q31PY8,Putative uncharacterized protein,Synpcc7942_0850,Synpcc7942_0850,16,7.5,0.002146264,0.000155784,1.2077E+13,2.3830E+03,1,2,19.7,0.762430041,2,0.2715,0.68438424,2,0.2606,1.095973366,2,0.1928,0.694224602,1,0.2892,0.761552766,2,0.2634,3,4,60.6,0.835026003,4,0.0017,0.720609528,4,0.0015,0.665273156,4,0.0016,0.834449387,4,0.0016,1.945360082,4,0.0018,1,5,19.7,0.8456682,4,0.0123,0.633869711,4,0.007,0.696466128,4,0.0074,0.942974611,4,0.0126,0.746448758,4,0.0061,2,5,48.5,0.760851673,5,0.0102,0.724269172,5,0.0118,0.825277491,5,0.0127,0.74028679,5,0.011,1.570362804,5,0.011,TRUE,3,TRUE,.863**,0.001,L
Q31PY5,Putative uncharacterized protein,Synpcc7942_0854,Synpcc7942_0854,112,88.8,0.001260847,9.15169E-05,5.9541E+11,1.1749E+02,9,11,14.7,1.1347495,8,0.0034,0.9421065,7,0.0022,0.953893743,8,0.0011,0.954552897,8,0.0012,1.114037987,8,0.0011,13,22,22.7,0.987188301,22,0.0005,1.106369004,22,0.0007,1.176792793,22,0.0013,1.00461579,22,0.0006,0.784332119,22,0.0016,10,46,20.1,0.801678063,22,0.0017,1.177605974,22,0.0034,1.059009851,22,0.0034,1.20503594,22,0.0056,1.213668276,22,0.0057,10,33,16.5,1.339059886,31,0.0061,0.862779862,31,0.0057,0.904482149,31,0.0035,0.858222705,31,0.0084,0.626758164,31,0.0084,TRUE,4,FALSE,-,-,-
Q31PY3,Response regulator receiver domain protein,Synpcc7942_0856,Synpcc7942_0856,83,13.3,0.006243047,0.000453143,1.9698E+13,3.8868E+03,4,18,44.2,1.224616199,16,0.0019,1.034427363,16,0.0116,1.022115561,16,0.0023,0.890225438,16,0.0012,0.762781234,15,0.0894,5,36,50,1.096983259,36,0.0405,1.04592369,36,0.0484,0.970063134,36,0.0696,1.099005839,36,0.0434,1.657677337,36,0.0523,4,9,21.7,1.195088315,10,0.0014,0.932609854,10,0.0032,0.83830103,10,0.0035,0.751795982,10,0.0013,0.800571269,10,0.0011,4,20,21.7,0.864569678,20,0.0053,1.161983604,20,0.0408,1.137627286,20,0.0289,1.142878335,20,0.0066,1.596614246,20,0.0066,TRUE,5,TRUE,.864**,0.001,L
Q31PY1,Methyl-accepting chemotaxis sensory transducer with phytochrome sensor,Synpcc7942_0858,Synpcc7942_0858,370,153.4,0.002412014,0.000175073,6.5958E+11,1.3015E+02,20,39,13.9,1.073000687,35,0.0003,1.036811964,36,0.0008,1.007395485,36,0.0004,1.037767343,36,0.0005,1.085675407,34,0.0005,30,82,23.9,1.014378417,82,0.0004,1.06071815,82,0.0008,1.102808234,82,0.0006,1.035380544,82,0.0005,0.892894196,82,0.0005,29,127,22.7,0.905941178,82,0.0028,1.050025872,82,0.0025,0.858420341,82,0.0021,0.990147739,82,0.0029,1.07820167,82,0.0016,32,122,24.3,1.169230135,111,0.003,0.94145594,108,0.0024,0.920661538,110,0.0019,1.028253035,112,0.0025,1.074484117,112,0.0025,FALSE,-,-,-,-,-
Q31PY0,CheA signal transduction histidine kinase,Synpcc7942_0859,Synpcc7942_0859,63,106.4,0.000592221,4.29856E-05,2.3353E+11,4.6080E+01,7,18,6.5,1.178691088,18,0.0005,1.014378417,18,0.0067,0.960284679,17,0.0009,0.883486667,17,0.0008,1.105859619,18,0.0005,10,18,13.7,0.954992586,17,0.001,1.155313904,17,0.0019,1.233388799,17,0.0027,1.000691014,17,0.0015,0.831572272,17,0.0011,7,13,7.5,1.111987742,13,0.0034,1.410587399,14,0.0199,0.942974611,14,0.0022,1.261246575,13,0.0168,1.101032149,14,0.0027,7,14,7.8,0.646249172,14,0.0487,0.652679542,14,0.0199,0.678578351,14,0.0243,0.744731974,14,0.0041,0.738584178,14,0.0041,TRUE,4,FALSE,-,-,-
Q31PX9,CheW protein,Synpcc7942_0860,Synpcc7942_0860,5,34.8,0.000143756,1.04343E-05,1.7337E+11,3.4211E+01,2,2,4.4,0.784874103,2,0.0144,0.933254301,2,0.013,0.830233016,2,0.0129,0.859211339,2,0.0133,0.862779862,2,0.0131,2,3,4.4,1.029674601,3,0.0011,1.092446053,3,0.0022,1.078449963,3,0.002,1.028253035,3,0.0014,0.902194136,3,0.0011,0,0,0,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,0,0,0,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,FALSE,-,-,-,-,-
Q31PX8,Putative uncharacterized protein,Synpcc7942_0861,Synpcc7942_0861,16,48.0,0.000333108,2.41782E-05,2.9091E+11,5.7403E+01,3,3,6.3,0.80408137,2,0.2471,1.293897876,2,0.1789,0.976337567,3,0.0559,0.866363207,2,0.221,1.603614594,3,0.0462,1,1,2.1,0.894334532,1,0.0285,1.047369686,1,0.0269,0.981747943,1,0.0272,0.956092695,1,0.0293,0.889405888,1,0.0279,5,9,14.2,0.558856106,1,0.043,0.715154705,1,0.0131,0.645951632,1,0.0167,1.106369004,1,0.0041,1.25660852,1,0.0204,2,3,11,1.098499845,3,0.0573,0.699841996,3,0.0527,0.664966857,3,0.0667,0.805378441,3,0.0464,0.959400632,3,0.0464,TRUE,4,FALSE,-,-,-
Q31PX7,Putative uncharacterized protein,Synpcc7942_0862,Synpcc7942_0862,270,14.4,0.018745931,0.001360649,5.4596E+13,1.0773E+04,7,49,44,0.928752509,36,0.003,0.930893505,40,0.0013,1.025415788,41,0.0013,0.925976575,41,0.0015,1.156378478,39,0.0012,8,148,64,1.096478196,120,0.0008,1.063653075,120,0.0007,0.993573501,120,0.0009,0.97701223,120,0.0009,1.114551139,120,0.001,8,36,49.6,0.995863924,28,0.0051,0.905941178,28,0.0035,0.808723383,27,0.0067,0.832146901,28,0.003,0.762254505,25,0.0071,7,37,49.6,1.074979049,26,0.0055,1.305569513,27,0.0058,1.120211431,26,0.0027,1.142352141,27,0.0047,1.205313442,26,0.0047,FALSE,-,-,-,-,-
Q31PX6,Putative uncharacterized protein,Synpcc7942_0863,Synpcc7942_0863,170,42.8,0.003972198,0.000288317,3.8933E+12,7.6824E+02,9,25,20.6,1.01976476,20,0.0011,1.048334794,20,0.0014,1.007627473,20,0.0004,1.009485302,20,0.0004,1.021644967,20,0.0007,12,28,37.9,1.038006325,27,0.0006,1.095468767,27,0.001,1.139200062,27,0.0002,0.995405417,27,0.0006,0.8830799,27,0.0014,7,56,16.3,0.912010839,28,0.0032,0.989008445,28,0.0019,0.899704722,28,0.0025,0.954992586,28,0.0011,1.028016298,28,0.002,11,61,24.9,1.172735306,49,0.0035,1.069054879,49,0.0036,1.059009851,48,0.0025,1.036096007,49,0.0038,0.946019307,49,0.0038,FALSE,-,-,-,-,-
Q31PX5,Putative uncharacterized protein,Synpcc7942_0864,Synpcc7942_0864,260,19.3,0.013456278,0.000976706,2.9213E+13,5.7645E+03,6,31,43,0.97701223,22,0.001,1.006236345,23,0.0016,0.844889669,24,0.003,0.876798907,24,0.0012,1.487989957,22,0.0124,8,78,44.8,1.028963572,78,0.0007,0.99884937,78,0.0011,1.022350939,78,0.001,1.012511583,78,0.0009,1.197567496,78,0.0012,5,64,36.6,0.973419406,42,0.0032,0.887769049,39,0.0036,0.850746165,37,0.0022,0.872770382,40,0.0028,0.904482149,40,0.0029,5,87,33.7,1.066596121,50,0.003,1.150270548,51,0.0051,1.183041556,51,0.0019,1.088428738,51,0.0037,1.243655228,50,0.0037,FALSE,-,-,-,-,-
Q31PX4,UPF0234 protein Synpcc7942_0865,Synpcc7942_0865,Synpcc7942_0865,309,18.3,0.016892975,0.001226154,3.8740E+13,7.6443E+03,9,46,45.4,0.901778756,43,0.0009,0.993573501,45,0.0006,1.04761088,45,0.0003,0.935405674,45,0.0002,1.111475771,45,0.0007,11,103,60.7,1.020704431,103,0.0005,1.013211242,103,0.0007,0.989464005,103,0.0008,1.032761406,103,0.0005,1.180320636,103,0.0016,7,72,42.3,1.034665576,65,0.0016,0.92853868,63,0.0013,0.856446029,61,0.0017,0.768068581,63,0.0016,0.857432617,61,0.0015,7,88,41.7,1.072012872,81,0.0028,1.135795124,81,0.0015,1.211155763,81,0.0013,1.125382092,81,0.0028,1.204203818,81,0.0028,FALSE,-,-,-,-,-
Q31PX2,Putative uncharacterized protein,Synpcc7942_0867,Synpcc7942_0867,84,12.6,0.006655374,0.000483072,2.2119E+13,4.3646E+03,4,22,31.5,0.921722099,22,0.0033,0.881454704,22,0.001,0.961612278,22,0.0007,0.922783882,22,0.0008,1.147624999,22,0.0008,5,31,31.5,1.053173687,24,0.0008,1.056574196,24,0.0005,0.993573501,24,0.0006,0.958076086,24,0.0008,1.139724804,24,0.0005,3,16,18.9,1.127197456,15,0.0019,0.980618314,15,0.0009,0.94667302,15,0.0051,0.910122812,15,0.0042,0.931107875,15,0.0012,3,15,18.9,1.029200527,10,0.0045,0.944713236,10,0.0033,1.065859597,10,0.0023,1.070532854,10,0.0047,1.257766432,10,0.0047,FALSE,-,-,-,-,-
Q31PX1,Putative uncharacterized protein,Synpcc7942_0868,Synpcc7942_0868,1,66.3,1.50937E-05,1.09556E-06,9.5565E+09,1.8857E+00,1,1,2.1,0.774996962,1,0.4888,0.826608754,1,0.425,1.070039969,1,0.352,0.914323748,1,0.4059,-,0,Inf,0,0,0,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,0,0,0,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,0,0,0,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,FALSE,-,-,-,-,-
Q31PX0,Putative uncharacterized protein,Synpcc7942_0869,Synpcc7942_0869,7,22.6,0.000309107,2.24361E-05,5.7257E+11,1.1298E+02,1,1,4.1,0.993802306,1,0.0416,0.986052413,1,0.0389,1.07225974,1,0.0361,0.977237221,1,0.0392,0.732824533,1,0.0425,1,1,4.1,0.922996385,1,0.0184,0.981521913,1,0.0178,0.849962959,1,0.0182,0.898462593,1,0.0191,1.127457033,1,0.0176,2,3,8.7,0.993802306,1,0.0096,0.906984782,1,0.0095,0.845278845,1,0.0126,0.817711301,1,0.0101,0.931322296,1,0.0091,2,2,8.2,1.052204125,2,0.0206,1.222081022,2,0.0195,1.144985535,2,0.0198,1.315527709,2,0.0183,1.46352451,2,0.0183,TRUE,5,FALSE,-,-,-
Q31PW9,Putative uncharacterized protein,Synpcc7942_0870,Synpcc7942_0870,28,8.3,0.003356625,0.000243636,1.6879E+13,3.3306E+03,4,7,42.7,1.05535847,3,0.0029,0.971404252,4,0.0028,1.212550961,4,0.0023,1.003922066,3,0.0028,0.896396186,4,0.0052,5,9,54.7,1.010415501,9,0.0012,1.012977969,9,0.0011,1.043518133,9,0.0011,1.03038612,9,0.0014,1.234525315,9,0.0011,3,7,33.3,1.183313992,2,0.0024,0.885319439,2,0.0073,0.708434985,2,0.0248,0.962055219,3,0.0205,1.010415501,3,0.007,3,5,33.3,1.105350469,4,0.0071,1.190419411,4,0.0039,1.147624999,4,0.0041,1.079940927,4,0.0052,1.088679387,4,0.0052,FALSE,-,-,-,-,-
Q31PW6,Putative uncharacterized protein,Synpcc7942_0873,Synpcc7942_0873,160,41.4,0.003864056,0.000280467,3.9145E+12,7.7241E+02,7,9,23.5,1.183859054,9,0.0023,1.019295249,9,0.0025,1.075721875,9,0.0031,1.008788215,9,0.0026,0.942757509,9,0.0141,13,40,40.1,1.080438372,40,0.0017,1.133965913,40,0.0018,1.184677118,40,0.0014,1.069054879,40,0.0011,0.855657576,40,0.0018,12,52,34.8,1.057547785,40,0.0009,1.03086074,40,0.0017,0.880846027,40,0.0025,0.933469215,40,0.0012,0.949292391,40,0.0017,13,59,36.7,1.171385921,59,0.0015,1.093704503,59,0.0034,1.052688794,59,0.0028,1.132921973,59,0.0024,0.992887401,59,0.0024,FALSE,-,-,-,-,-
Q31PW5,DEAD/DEAH box helicase-like,Synpcc7942_0874,Synpcc7942_0874,41,114.1,0.000359325,2.60812E-05,1.3210E+11,2.6066E+01,3,3,2.6,1.123828393,3,0.0259,1.057060878,3,0.0087,1.032999235,3,0.0083,1.157444032,3,0.0084,1.111475771,3,0.0303,7,7,8,1.006004677,5,0.0019,1.12176013,5,0.0011,1.131878994,5,0.0009,1.024943676,5,0.001,0.858420341,5,0.0013,8,17,9.1,0.823569017,7,0.0039,0.960284679,7,0.0106,0.912010839,7,0.0176,1.095468767,7,0.0023,1.000921458,7,0.005,7,14,5,1.188228596,13,0.0051,1.036573257,13,0.0035,0.958958913,13,0.0012,0.954333128,13,0.007,0.826228174,13,0.007,FALSE,-,-,-,-,-
