Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	default.pvalue
Peroxisomal sarcosine oxidase	Pipox	Q9D826	1449374_at	0.0087052852542175
Alanine--tRNA ligase, cytoplasmic	Aars	Q8BGQ7	1451083_s_at	0.00355500183426371
Alpha-methylacyl-CoA racemase	Amacr	O09174	1417208_at	8.0251716269769e-07
Putative deoxyribose-phosphate aldolase	Dera	Q91YP3	1424047_at	0.0244797934511604
Complex I intermediate-associated protein 30, mitochondrial	Ndufaf1	A2AQ17;Q9CWX2	1423711_at	0.00661507606486599
Eukaryotic initiation factor 4A-II	Eif4a2	P10630-2;P10630;Q8BTU6;E9Q561	1450934_at	0.00819319652349954
Transaldolase	Taldo1	Q93092	1425129_a_at	0.0919047207380419
N-acylneuraminate cytidylyltransferase	Cmas	Q99KK2;Q99KK2-2	1426662_at	0.101124384030708
Heat shock protein HSP 90-alpha	Hsp90aa1	P07901;B7ZC50;B7ZC49;A2A6A2	1437497_a_at	1.16161824707604e-06
T-complex protein 1 subunit alpha	Tcp1	P11983;P11983-2;F2Z483	1448122_at	4.10364595943511e-05
Myosin-10	Myh10	Q3UH59;Q61879;Q5SV64;Q8BXF2	1452740_at	8.27692186222743e-07
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	Rpn1	Q91YQ5	1438943_x_at	3.54207539908536e-05
Malignant T-cell-amplified sequence 1	Mcts1	Q9DB27;Q9DB27-2;Q9CQ21	1425018_at	0.0209039146709099
Peroxiredoxin-1	Prdx1;Gm7204	P35700;B1AXW6;B1AXW5;B1AXW4;G3UW54	1433866_x_at	0.0157332513294458
Calcium-binding protein 39	Cab39	Q06138	1418433_at	0.00261854261650536
RNA-binding protein with multiple splicing 2	Rbpms2	Q8VC52;Q9CWY6	1424008_a_at	0.0337637073772732
Tubulin-specific chaperone E	Tbce	Q8CIV8;E0CZ81	1428282_at	0.00243202391672552
3-hydroxyacyl-CoA dehydratase 3	ptplad1	Q8K2C9	1433706_a_at	0.00323112305835995
Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	Idh3a	Q9D6R2;Q9D6R2-2	1432016_a_at	0.0033324757662526
60S ribosomal protein L24	Rpl24	E9QNJ0;Q8BP67;E9Q132;F6RSK3	1460201_a_at	0.000552250362972888
Hemoglobin subunit epsilon-Y2	Hbb-y	CON__P02070;P02104;Q9CR49	1436717_x_at	0.753680073313849
Protein FAM196A	Fam196a	E9PZW7;Q3USH1	1443760_at	0.304767707119504
Cholinesterase	Bche	Q03311	1437863_at	7.17075269310644e-07
Ubiquitin-conjugating enzyme E2 R1	Cdc34;Cdc34-ps	Q8CFI2;D3YZJ6	1434879_at	7.90840745692858e-07
Thioredoxin-related transmembrane protein 1	Tmx1	Q8VBT0;F6V084	1451195_a_at	0.00148750720138433
TBC1 domain family member 15	Tbc1d15	Q9CXF4	1416061_at	0.00468014790962205
Oligoribonuclease, mitochondrial	Rexo2	Q9D8S4	1451259_at	4.82434074788518e-05
Talin-2	Tln2	E9PUM4;Q71LX4;E9Q3S3;Q8CDM9	1435700_at	0.0212294217625031
Helicase-like transcription factor	Hltf	Q6PCN7;G3UVU1;E9PVX5	1450889_at	0.0486278168729939
Mothers against decapentaplegic homolog 2	Smad2	Q62432;Q62432-2;E9Q3M0;E9Q5P9;E9PXA8;A2CG44;Q9JIW5;F7BUP2;A2CG45	1420634_a_at	6.24878047702469e-07
39S ribosomal protein L12, mitochondrial	Mrpl12	Q9DB15	1452048_at	0.141827324102733
17-beta-hydroxysteroid dehydrogenase type 6	Hsd17b6	Q9R092	1449385_at	0.00955447367827666
Histone acetyltransferase p300	Ep300	B2RWS6;E9PYJ8	1434765_at	0.898965249833468
Conserved oligomeric Golgi complex subunit 1	Cog1	F6ZJ01;Q9Z160;Q810S7;A2A6N9;F6QQB5;F6RK91;F6V3F1	1449053_s_at	0.00369371793316825
Surfeit locus protein 6	Surf6	P70279;A2ALA0	1416864_at	0.0165699381021692
Lactosylceramide alpha-2,3-sialyltransferase	St3gal5	O88829;O88829-2	1460241_a_at	7.79848193668845e-07
Magnesium-dependent phosphatase 1	Mdp1	Q9D967	1428337_at	0.0251009293421407
28S ribosomal protein S33, mitochondrial	Mrps33	Q9D2R8	1427173_a_at	0.305103169388499
Estradiol 17-beta-dehydrogenase 2	Hsd17b2	P51658	1418352_at	5.75947246894559e-07
N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	Ddah1	Q9CWS0;D3YU15	1454995_at	0.000977829989136011
	Pls3	B1AX58	1423725_at	0.888270724810679
EH domain-containing protein 4	Ehd4	Q9EQP2	1449852_a_at	1.3595442222692e-05
Neutral alpha-glucosidase C	Ganc	A2AQJ8;Q8BVW0;Q8BVW0-2	1431063_at	0.109355732779675
Tumor protein D52	Tpd52	Q62393-3;E9PUA7;Q62393-2;F8WHQ1;Q62393;D3Z7X7;D3Z125;D3Z637;D3Z2U2	1436008_at	0.0102826609104044
Desmoplakin	Dsp	E9Q557;E9PZW0	1435494_s_at	0.341430205623472
Vesicle-trafficking protein SEC22b	Sec22b	O08547;E9Q6R3;D6RES2	1449063_at	0.0187016033305067
	Cyp2b10	G3X8Q9;Q9WUD0	1425645_s_at	0.00763195749614201
Fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase A	Aldoa;Aldoart2	A6ZI44;P05064;D3YWI1;D3YV98;D3Z510;A6ZI47	1416921_x_at	0.0561019514432802
Calnexin	Canx	P35564	1415692_s_at	0.00160272374952231
Secretory carrier-associated membrane protein 1	Scamp1	Q8K021;Q3TSA8;D3YTP4	1426775_s_at	9.06912312109306e-07
Beta-chimaerin	Chn2	Q3V2R3;Q80XD1;Q80XD1-2;Q80XD1-3;D3Z3D9;D3YXQ4	1428574_a_at	7.73503740089835e-07
Peroxisomal membrane protein 2	Pxmp2	Q5D073;P42925	1417841_at	0.64272299993097
Caprin-1	Caprin1	Q60865;F6YLI0;F6YP03	1433901_at	7.41437652005091e-07
Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain	Hp	Q61646	1448881_at	1.56761426977782e-05
Cholesterol 7-alpha-monooxygenase	Cyp7a1	Q64505	1438743_at	0.0066635181745094
Nucleolar protein 58	Nop58	Q6DFW4	1450986_at	0.000779209368215886
FK506-binding protein 15;Peptidyl-prolyl cis-trans isomerase	Fkbp15	Q6P9Q6;Q6P9Q6-2;Q80YW9;Q80YW6;Q80YW7	1459735_at	0.0179685773876382
Cytochrome P450 2C54	Cyp2c54	Q6XVG2	1455457_at	0.00682600076927334
Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	Pip4k2b	Q80XI4	1435068_at	0.00484826052437779
Beta-arrestin-1	Arrb1	Q8BWG8-2;Q8BWG8;F7DF62;E0CY53;E0CYB1	1460444_at	0.468569757299402
Acyl-coenzyme A thioesterase 4	Acot4	Q8BWN8	1422076_at	9.31803316942789e-07
Probable carboxypeptidase PM20D1	Pm20d1	Q8C165;F7B8J4	1426876_at	0.261630187020122
Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	Sdha	Q8K2B3	1426688_at	0.00666160004146738
Splicing factor 3A subunit 1	Sf3a1	Q8K4Z5	1446687_at	0.0209478212162163
NAD-dependent protein deacetylase sirtuin-2	Sirt2	Q8VDQ8;Q8VDQ8-2;E9PXF5	1423507_a_at	0.548808728396565
Acyl-coenzyme A synthetase ACSM1, mitochondrial	Acsm1	Q91VA0;Q91VA0-2;D3Z106;D3YV36	1418668_at	0.0831840618393222
NF-kappa-B inhibitor-interacting Ras-like protein 2	Nkiras2	Q9CR56;F6XZA4	1424416_at	0.433298554476094
NSFL1 cofactor p47	Nsfl1c	Q9CZ44-3;Q9CZ44;A2AT02;Q9CZ44-2	1429328_at	0.00422807127381853
Inorganic pyrophosphatase	Ppa1	Q9D819	1416939_at	7.27975401776881e-07
Phytanoyl-CoA dioxygenase domain-containing protein 1	Phyhd1	Q9DB26;B7ZNN8;A2AQZ7;A2AQZ2;A2AQZ5;D6RI61;D6RIQ3;F7CAL7	1428394_at	0.0286157897152695
NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	Ndufs7	Q9DC70	1451312_at	0.00217298311885438
Guanine deaminase	Gda	Q9R111;D3YU09	1435748_at	0.0024444370077602
Vacuolar protein-sorting-associated protein 25	Vps25	A2A4J8;Q9CQ80;A2A4K0;Q9CQ80-2;A8XY17;E9PXS9	1428621_a_at	0.00235444502468236
Growth arrest-specific protein 2	Gas2	P11862;D3YWD9;D3Z503;D6RDR2	1450112_a_at	0.44131105408129
Microsomal triglyceride transfer protein large subunit	Mttp	O08601-2;O08601	1419400_at	0.715310516329343
Kininogen-1;Kininogen-1 heavy chain;Bradykinin;Kininogen-1 light chain	Kng1	O08677;D3YTY9;O08677-3;O08677-2;D3Z2B2	1426045_at	0.249772796025206
	Oasl1	E9PY91;Q8VI94	1424339_at	6.4631722994336e-07
Ribonucleoside-diphosphate reductase large subunit	Rrm1	P07742	1448127_at	0.0730172271583939
	Ces2e	Q8BK48;Q08ED5;Q149K3;F6Z9B9;Q9D998	1427137_at	0.136094631270615
Dimethylglycine dehydrogenase, mitochondrial	Dmgdh	Q9DBT9	1452311_at	0.123596196641403
Thioredoxin domain-containing protein 5	Txndc5	Q91W90;E9PXX7	1451091_at	0.0345763735925522
Transgelin-2	Tagln2	Q9WVA4;Q9R1Q8	1426529_a_at	0.00637149362789886
Dipeptidyl peptidase 9	Dpp9	Q8BVG4;F8WJI9;Q8BVG4-2	1455884_at	7.34965712238874e-07
Signal transducing adapter molecule 2	Stam2	O88811;O88811-2;B0R0N7	1416974_at	6.81943687146403e-07
Ribosomal protein L15;60S ribosomal protein L15	Gm4294;Gm10020;Rpl15-ps2;Rpl15;Gm8420;Gm5292	E9PWH9;E9QAZ2;F8WI79;Q9CZM2;E9Q1X1;D3Z0H4;B8JKK2	1449255_a_at	0.138061743097654
	Ahnak	E9Q616;F7BRM2;E9Q1H8;G5E8I9;Q8R2L7;G5E8K8	1452217_at	2.733220559896e-05
Breast cancer anti-estrogen resistance protein 1	Bcar1	Q61140;Q61140-2;F8WII0	1439388_s_at	7.9434281519032e-07
Nucleolin	Ncl	P09405	1415771_at	6.88763013142368e-07
ATP synthase-coupling factor 6, mitochondrial	Atp5j	P97450;E9QAD6	1416143_at	0.623446815413177
Bile acyl-CoA synthetase	Slc27a5	Q4LDG0;E9PXV4;F6YDR6	1449112_at	0.0309148424010228
tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	Trmt6	Q8CE96;Q8CE96-3;Q8CE96-4	1428754_at	0.199519115699946
T-cell immunomodulatory protein	Itfg1	Q99KW9	1435637_at	0.159191242264168
Long-chain-fatty-acid--CoA ligase 4	Acsl4	Q9QUJ7;Q9QUJ7-2	1433531_at	0.00246920973742931
Cytochrome P450 2D10	Cyp2d10	P24456;D3Z5T9	1418113_at	0.178575314425073
Polyphosphoinositide phosphatase	Fig4	Q91WF7	1419577_at	0.393396648258972
Ataxin-10	Atxn10	P28658;F8WGN7	1422576_at	0.00153943365212034
ADP-ribose pyrophosphatase, mitochondrial	Nudt9	Q8BVU5;A2AH27;A2AH28;A2AH29	1441633_at	0.0495229122322926
UDP-glucuronosyltransferase 2A3	Ugt2a3	Q8BWQ1	1450133_at	0.00225811871984563
Haloacid dehalogenase-like hydrolase domain-containing protein 3	Hdhd3	Q9CYW4	1425343_at	6.2149887638128e-07
Perilipin-3	Plin3	Q9DBG5	1416424_at	0.256082159595053
1,5-anhydro-D-fructose reductase	Akr1e2;Akr1e1	Q9DCT1;Q8CEB6;F8WGW8	1446483_at	0.0383325412094398
Peroxisomal 2,4-dienoyl-CoA reductase	Decr2	Q9WV68	1423495_at	0.00224648437795596
Sodium/potassium-transporting ATPase subunit alpha-4	Atp1a4	Q9WV27	1437321_at	0.27783357831706
Serine/threonine-protein kinase B-raf	Braf	F6SZ47;P28028-2;P28028	1435434_at	4.37161421277913e-05
Non-specific lipid-transfer protein	Scp2	P32020;A2APS4;A2APS5	1426219_at	8.44082505847571e-07
Regulator of microtubule dynamics protein 3	Fam82a2	Q3UJU9;A3KGH7;A3KGH6;A3KGH5	1428196_a_at	0.00175153287327307
Mitofusin-1	Mfn1	Q811U4;F6XRI9;D3Z5P8;D3Z4L5	1426773_at	8.08463643694676e-07
	Parp3	Q3ULW8;Q8CFB8;E9PX17;E9Q992	1426210_x_at	0.00402063572020041
Serine/arginine repetitive matrix protein 1	Srrm1	Q52KI8;E9PUK6;A2A8V9;A2A8V8;E9QKA4;Q52KI8-2;F6UK16;F7BWM1;A2A983;F6T4M4	1447447_s_at	0.0100023238922763
Ubiquitin-protein ligase E3A	Ube3a	Q5DTH1;E9QKT1;O08759	1416681_at	0.0032551826294747
Betaine--homocysteine S-methyltransferase 1	Bhmt	O35490	1450624_at	6.76027615803302e-07
Protein NipSnap homolog 2	Gbas	O55126;Q7TMG8	1419484_a_at	1.06652799495965e-06
Keratin, type II cytoskeletal 8	Krt8	P11679;CON__P05787;CON__H-INV:HIT000016045;CON__Q6ISB0;CON__Q9NSB2;CON__REFSEQ:XP_092267	1435989_x_at	0.015749362799136
Histone H1.2	Hist1h1c	P15864	1416101_a_at	1.10979931999741e-06
X-ray repair cross-complementing protein 6	Xrcc6	P23475;E9Q0B8;E9PZD4;E9Q4A4	1417437_at	0.224139246144056
T-complex protein 1 subunit epsilon	Cct5	P80316;E0CZA1	1417258_at	7.21107859641118e-07
Ectonucleoside triphosphate diphosphohydrolase 5	Entpd5	Q3TQC7;Q9WUZ9	1417383_at	0.0067912481453128
Thyroid hormone-inducible hepatic protein	Thrsp	Q62264	1422973_a_at	6.83358993440394e-07
WD repeat-containing protein 92	Wdr92	Q8BGF3;F7A8I4;Q8BKZ6	1454922_at	0.0198564409385174
Band 4.1-like protein 5	Epb41l5	Q8BGS1-2;Q8BGS1;Q8BGS1-3	1425199_a_at	7.07023509917597e-07
NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	Ndufv3	Q8BK30	1424628_a_at	0.0733005768662306
Elongation factor Tu GTP-binding domain-containing protein 1	Eftud1	Q8C0D5;D3Z1V3	1460562_at	0.0323823860615127
	Tfg	Q9Z1A1;Q9D828;Q8C2C6;B8JJG6;B8JJG8;B8JJG7;B8JJG9;F6QJV5;B8JJG3	1438053_at	0.873158123441007
Mannose-6-phosphate isomerase	Mpi	Q924M7;F6Q3K8	1451540_at	0.00333100435925703
Cytosol aminopeptidase	Lap3	Q9CPY7;Q9CPY7-2	1450860_at	0.025309344336811
Spliceosome RNA helicase Ddx39b	Ddx39b	Q9Z1N5;G3UXI6	1437984_x_at	0.224197144542035
Baculoviral IAP repeat-containing protein 6	Birc6	O88738;O88738-2;O88738-3	1419562_at	0.00713477955263687
Cullin-3	Cul3	Q6ZQ84;Q9JLV5;E9Q4T8;F6ZZK0;F6UY44;F6R0N8	1422794_at	7.98331218354004e-07
Acyl-CoA dehydrogenase family member 9, mitochondrial	Acad9	Q8JZN5;F6W0S5;F6TBZ5	1453206_at	0.0418569917517587
Anamorsin	Ciapin1	Q8WTY4;E0CYY1;F7BWP1;F8WIK0	1448140_at	6.98773748709548e-07
Vacuolar protein sorting-associated protein 35	Vps35	Q9EQH3	1415783_at	7.43664215730806e-05
Hypoxia up-regulated protein 1	Hyou1	Q9JKR6;F6TRP3;E0CYZ2	1423291_s_at	0.000198533268001735
Non-POU domain-containing octamer-binding protein	Nono	F6XLC7;Q99K48;Q99K48-2;B1AXT0	1448103_s_at	0.0150830347030319
Purine nucleoside phosphorylase	Pnp;Pnp2	P23492;Q543K9;Q9D8C9	1453299_a_at	7.97655565076358e-07
Peroxisomal trans-2-enoyl-CoA reductase	Pecr	Q99MZ7;Q3UXD9;D6RHN4;D6RIP0	1448910_at	0.00236884912154136
Acyl-CoA:lysophosphatidylglycerol acyltransferase 1	Lpgat1	F8WHJ5;E9QL80;Q91YX5;D3YVK0	1424350_s_at	0.0080269141914338
Annexin;Annexin A1	Anxa1	E9QA30;P10107	1448213_at	0.088272400525196
Vitronectin	Vtn	P29788	1455098_a_at	0.0410104079289931
Peroxisomal membrane protein PEX14	Pex14	Q9R0A0;D6RH82	1419053_at	0.00239386382785965
Cytochrome P450 2C50	Cyp2c50	Q91X77;Q91X77-2	1418653_at	0.0182963695097294
39S ribosomal protein L41, mitochondrial	Mrpl41;Gm6434	Q9CQN7;F7CXS7	1428588_a_at	6.24523153017365e-06
Histone H2A type 2-A;Histone H2A type 2-C;Histone H2A	Hist2h2aa1;Hist2h2ac;Hist1h2al	Q6GSS7;Q64523;F8WIX8	1438815_at	0.000538833543092378
Nidogen-2	Nid2	O88322	1423516_a_at	0.00802915462699267
	Micall2	Q3TN34;E9PZD2;E9PY24	1434322_at	0.00292540711626852
Nicotinamide phosphoribosyltransferase	Nampt	Q99KQ4	1417190_at	0.00178022224265624
Cadherin-2	Cdh2	P15116;D3YYT0;P39038	1449244_at	1.12149697976938e-06
Immunoglobulin-binding protein 1	Igbp1	E9Q2M7;Q61249	1420000_s_at	0.0386146607641695
Endonuclease G, mitochondrial	Endog	O08600	1421097_at	1.03171849212595e-06
Translocon-associated protein subunit delta	Ssr4	Q9D8L3;Q62186	1448524_s_at	6.12673644485022e-07
Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase	Hadhb	Q99JY0;D3YXU1	1426522_at	8.68975675804689e-07
Interferon-induced transmembrane protein 3	Ifitm3	Q9CQW9;Q99J93;E9Q0C7	1423754_at	0.00231979260594367
Calponin-3	Cnn3	Q9DAW9	1456380_x_at	0.00572938546250169
NHL repeat-containing protein 2	Nhlrc2	F6ZR71;Q8BZW8	1453048_at	7.80787158631974e-07
Protein sel-1 homolog 1	Sel1l	Q9Z2G6;Q9Z2G6-2	1436774_at	0.00960079023755448
E3 ubiquitin-protein ligase UBR4	Ubr4	A2AN08-5;A2AN08;A2AN08-3;F6SSP6;A2AN08-2;A2AN08-4	1454668_at	0.0308747459582101
	Apob	E9Q414;E9Q1Y3;E9Q4G4;F7A3M3	1457554_at	0.379053387923141
Methionine--tRNA ligase, cytoplasmic	Mars	E9QB02;Q68FL6;F6W0G8	1455951_at	0.452744756621562
Prefoldin subunit 2	Pfdn2	O70591;F8WJ30	1421950_at	7.40545534126505e-07
Regulator of microtubule dynamics protein 2	Fam82a1	Q8BSE0	1455063_at	0.0542411549651995
Tubulin-specific chaperone cofactor E-like protein	Tbcel	Q8C5W3;D3YVP4	1434330_at	0.00202374316214797
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	Ogt	Q8CGY8	1451738_at	0.00861984107264828
O-acetyl-ADP-ribose deacetylase MACROD1	Macrod1	Q922B1	1419687_at	0.0746500493833712
BRCA2 and CDKN1A-interacting protein	Bccip	Q9CWI3	1448542_at	1.24961323925173e-06
Alpha-endosulfine	Ensa	P60840;P60840-2;P60840-3	1423330_at	0.000561876351208716
Splicing factor, arginine/serine-rich 19	Scaf1	Q5U4C3;Q5U4C3-2;D3YYM8	1434908_at	0.341373274260353
E3 ubiquitin-protein ligase RING2	Rnf2	Q9CQJ4	1424873_at	0.00999134299654723
Vitamin K-dependent protein Z	Proz	Q9CQW3;Q8CI01	1431721_a_at	0.734034483484249
Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1	Ftsjd2	Q9DBC3;E0CXC2;D3Z491;G3UZ59	1423681_at	0.0015360983703765
Mitochondrial import inner membrane translocase subunit TIM44	Timm44	O35857;F7C189	1417670_at	6.94009842460056e-07
Polymerase delta-interacting protein 3	Poldip3	Q8BG81;Q3UDD3;F6VR84	1440022_at	0.0491505941743891
Prenylcysteine oxidase	Pcyox1	Q9CQF9;F7CIP8;D3Z275	1447277_s_at	5.19598424593369e-05
Plasminogen activator inhibitor 1 RNA-binding protein	Serbp1	Q9CY58;Q9CY58-2;Q9CY58-3;Q9CY58-4	1418564_s_at	0.00481811929498348
Cullin-5	Cul5	G3X914;E9PV12;Q9D5V5;E9Q6Z0	1428287_at	1.05779649693996e-06
Apoptotic chromatin condensation inducer in the nucleus	Acin1	Q9JIX8;E9Q9R4;Q9JIX8-4;F6RJ39;B8JJ91;Q9JIX8-2;B8JJ92;Q9JIX8-3;Q52KR6;B8JJ89;F6Q8C0	1421197_a_at	0.0322460416116385
Deubiquitinating protein VCIP135	Vcpip1	F6ZDG3;Q8CDG3;Q8CDG3-2	1459849_x_at	0.0368023532234344
Peptidyl-prolyl cis-trans isomerase FKBP8	Fkbp8	O35465-2;O35465;F6WP10	1416113_at	0.89975831917487
Epididymis-specific alpha-mannosidase	Man2b2	O54782;F6TMZ3;F6Z025	1416584_at	0.196415885258422
LanC-like protein 1	Lancl1	O89112;B2KGR2	1427011_a_at	0.0735151818088161
Complement component C9	C9	P06683	1422815_at	0.00310538638050204
Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain	Itga5	P11688	1457561_at	0.00322712950988364
Ubiquitin-like protein 4A	Ubl4a	P21126;F8WHM4	1424538_at	5.62766275768702e-07
Lupus La protein homolog	Ssb	P32067;F8WHY1;A2AR07;D6RI87;F6SXM5	1416421_a_at	0.202388358095785
Ras-related protein Rab-2A;Ras-related protein Rab-2B	Rab2a;Rab2b	P53994;P59279;Q3TEG7;G3V022;G3UXQ7	1419945_s_at	0.00165456947317957
Serine hydrolase-like protein	Serhl	Q3U3G8;Q9EPB5;F6TMN2	1421938_at	0.00323331211194395
Heat shock protein 105 kDa	Hsph1	Q61699;Q61699-2;E9Q0U7;D3Z027;D3Z3I9	1425993_a_at	7.30418874002789e-07
	Skiv2l	Q6NZR5;G3UYT1	1422584_at	0.854417172988671
Nuclear pore complex protein Nup214	Nup214	Q80U93;Q8CHS9	1456503_at	0.761455309751156
Succinate dehydrogenase assembly factor 2, mitochondrial	Sdhaf2	Q8C6I2;Q8C6I2-3	1452941_at	0.0221478156383226
Myc-induced nuclear antigen	Mina	Q8CD15;D3YTU3;Q8CCK9;D3Z287	1454066_at	0.00387295605808642
Retinoid-inducible serine carboxypeptidase	Scpep1	Q920A5;Q3U5P4	1455908_a_at	0.253299692752943
DnaJ homolog subfamily B member 11	Dnajb11	Q99KV1	1423151_at	8.27361592512675e-07
EH domain-containing protein 3	Ehd3	Q9QXY6	1417235_at	0.00810399485357792
Unconventional myosin-Ic	Myo1c	Q9WTI7;Q9WTI7-3;Q9WTI7-2;Q9WTI7-4;F8WIE8;Q5ND45	1419649_s_at	0.00286017231445504
Histone H1.0	H1f0	P10922	1423702_at	6.63317323716622e-07
Acyl-CoA dehydrogenase family member 11	Acad11	Q80XL6;D3YTQ5;F6U473;Q7TNH5	1433545_s_at	0.00690981529741689
ADP-ribosylation factor-like protein 6-interacting protein 1	Arl6ip1	Q9JKW0	1423818_a_at	4.03767903340247e-06
Eukaryotic translation initiation factor 4E type 2	Eif4e2	D3YUV9;Q80ZJ3;Q8BMB3;D3Z729;G3X9H1;Q3UUT0;Q0P688;D3Z730	1421985_a_at	0.00508190487202891
Tripartite motif-containing protein 2	Trim2	E9QKC6;Q3UHH4;Q9ESN6	1417027_at	9.40326005824864e-07
Properdin	Cfp	P11680	1452279_at	0.003077682827282
FCH domain only protein 2	Fcho2	Q3UQN2;Q3UQN2-3;Q3UQN2-2;F6RG68	1437200_at	0.0590301384413469
Receptor-type tyrosine-protein phosphatase eta	Ptprj	E9QNI4;A2AWF9;E9QAB0;Q64455;A2AWF8;E9Q4S7	1427629_at	0.435250631549624
CAP-Gly domain-containing linker protein 1	Clip1	F8WIA1;D3Z2Z1;Q922J3;D3Z3M7;Q922J3-2;F6RCU2;Q8C0S5;F6RAY2	1452929_at	8.79523957760115e-07
	Fubp3	Q3TIX6;A2AJ72;F7AM43;A2AJ71;F6S444;F6W2V3	1433679_at	0.0769389713597132
Calreticulin	Calr	P14211	1417606_a_at	7.26547442645109e-07
Acetolactate synthase-like protein	Ilvbl	Q8BU33;Q8BU33-2;Q8BU33-3	1454658_at	0.00583495866789877
39S ribosomal protein L32, mitochondrial	Mrpl32	Q9DCI9	1424372_at	0.0939167499258707
Ferrochelatase;Ferrochelatase, mitochondrial	Fech	Q544X6;P22315;F7CAB4	1418699_s_at	1.13797264358839e-06
Barrier-to-autointegration factor	Banf1	O54962	1421082_s_at	2.21475641083972e-05
Plasma protease C1 inhibitor	Serping1	P97290;A2ATR8	1416625_at	0.302791986497172
Cation-independent mannose-6-phosphate receptor	Igf2r	Q07113	1424111_at	5.80486545740917e-07
Acyl-coenzyme A synthetase ACSM3, mitochondrial	Acsm3	Q3UNX5-2;Q3UNX5	1425559_a_at	8.21366450343479e-07
Extracellular matrix protein 1	Ecm1	Q61508;Q61508-2;D3Z0U9;D3Z038;D3YV22;D3YZV0	1448613_at	0.508812793403449
Thioredoxin-like protein 1	Txnl1	Q8CDN6	1435235_at	0.24252271251802
Stabilin-2;Short form stabilin-2	Stab2	Q8R4U0;F7CNH8	1419423_at	0.00486629550801833
Aminopeptidase B	Rnpep	Q8VCT3;E9PYF1	1451243_at	0.0585211130003333
Arylacetamide deacetylase	Aadac	Q99PG0	1448813_at	0.0516257711429024
Pyrroline-5-carboxylate reductase 3	Pycrl	Q9DCC4	1416400_at	7.6986636312332e-07
Dihydropyrimidinase	Dpys	Q9EQF5;F6ZLZ4	1425688_a_at	0.00430455669525151
39S ribosomal protein L39, mitochondrial	Mrpl39	Q9JKF7	1448909_a_at	0.184581104182954
Homer protein homolog 2	Homer2	Q9QWW1;Q9QWW1-2;E9Q4F9	1424367_a_at	8.2711812074429e-07
Cyclin-dependent kinase 9	Cdk9	Q99J95;Q99J95-2;Q99J95-3;D6RHP4	1457240_at	0.42316865236804
Eukaryotic initiation factor 4A-I	Eif4a1	P60843;Q3TSJ4;D6RJ11;D6RJ60	1434985_a_at	0.00667866037472033
Amine oxidase [flavin-containing] B	Maob	Q8BW75;E9Q3X6;E9PVL9	1434354_at	0.0104636414679107
Fibulin-5	Fbln5	Q9WVH9	1416164_at	0.00464671355470317
Carnitine O-palmitoyltransferase 2, mitochondrial	Cpt2	P52825;A2A8E8;A2A8E7;A2A8E9	1416772_at	0.00296027148615163
2,5-phosphodiesterase 12	Pde12	Q3TIU4	1454963_at	0.000283502662561783
	Mllt1	Q9ERL0	1434805_at	0.284666676302561
Spectrin alpha chain, erythrocyte	Spta1	P08032;REV__E0CYH7;REV__Q6P6L0;REV__E0CYM1;REV__Q6P6L0-3	1421277_at	0.0167663058387826
Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain	Ctsh	P49935;D3Z437	1443814_x_at	0.00333241945190319
Vesicular integral-membrane protein VIP36	Lman2	Q9DBH5	1423074_at	0.0105878108778521
Exportin-1	Xpo1	Q6P5F9;F6YA11;A2AKT6	1418442_at	0.00878987361872806
Zinc-binding alcohol dehydrogenase domain-containing protein 2	Zadh2	Q8BGC4	1451277_at	8.69470772080287e-07
	H2-Q6	E9QM66;P79568	1431008_at	9.92449421748947e-06
	Mettl7a1;Mettl7a2-Higd1c;Ubie	Q8C6B0;Q5K4Q9;Q76I26;Q5I0W6;G3X9G9	1434151_at	0.00549900652839283
RNA-binding protein 47	Rbm47	Q91WT8;D3YXZ5;Q91WT8-2;D3Z113	1423411_at	0.221634885133647
Ankyrin repeat and zinc finger domain-containing protein 1	Ankzf1	Q80UU1;Q80UU1-2	1429016_at	0.0112742950085558
TBC1 domain family member 17	Tbc1d17	Q8BYH7	1423659_a_at	8.8169296696732e-07
60S ribosomal protein L14	Rpl14	Q9CWK0;Q9CR57	1438626_x_at	7.19011153211083e-07
Glucosidase 2 subunit beta	Prkcsh	O08795-2;O08795	1416339_a_at	0.130441741443925
