Protein.Name	Gene.Name	Uniprot.ID	protein_ZT0	protein_ZT03	protein_ZT06	protein_ZT09	protein_ZT12	protein_ZT15	protein_ZT18	protein_ZT21	protein_ZT24	protein_ZT27	protein_ZT30	protein_ZT33	protein_ZT36	protein_ZT39	protein_ZT42	protein_ZT45	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
Enoyl-CoA delta isomerase 1, mitochondrial	Eci1	Q8QZV3;P42125	45	45	50	50	40	38	41	37	41	42	41	52	38	41	51	47	43.6875	52	0.25411858	289	23.42	25.92
Sarcosine dehydrogenase, mitochondrial	Sardh	Q99LB7	97	141	120	135	103	111	125	117	116	118	138	134	137	134	136	175	127.3125	175	0.254430558	919	23.42	25.3
RNA binding motif protein, X-linked-like-1;RNA binding motif protein, X-linked-like-1, N-terminally processed	Rbmxl1	Q91VM5	13	13	12	12	9	13	12	9	12	12	8	11	10	11	7	8	10.75	13	0.255053348	388	21.16	22.16
Periplakin	Ppl	Q9R269;G5E898	3	1	2	2	2	1	1	0	1	1	1	3	1	1	2	1	1.4375	3	0.142641397	1755	21.92	23
28S ribosomal protein S25, mitochondrial	Mrps25	Q9D125	4	4	7	5	5	6	5	3	6	7	5	6	6	8	6	4	5.4375	8	0.255892075	171	25.27	27.27
Beta-arrestin-2	Arrb2	Q91YI4-2;Q91YI4;Q5F2D9;E9Q4A2	3	3	1	3	2	2	2	2	1	1	2	3	3	2	2	1	2.0625	3	0.256698705	410	23.43	25.62
Moesin	Msn	P26041	16	19	22	19	15	19	11	23	20	24	18	18	15	24	25	16	19	25	0.257655384	577	23.27	24.68
SWI/SNF complex subunit SMARCC2	Smarcc2	Q6PDG5;Q3UID0;Q6PDG5-2	5	5	6	4	5	5	5	4	2	4	5	3	4	3	2	5	4.1875	6	0.256692348	1213	21.83	23.01
40S ribosomal protein S9	Rps9	Q6ZWN5;Q9CXW7;D3YWH9;F7CJS8	9	5	8	6	11	8	8	11	8	5	8	5	7	7	7	4	7.3125	11	0.257256261	194	24.3	26.14
28S ribosomal protein S27, mitochondrial	Mrps27	Q8BK72	3	3	6	4	1	5	3	4	6	4	5	3	5	2	6	6	4.125	6	0.257659819	415	23.68	25.89
UDP-glucuronosyltransferase 3A2	Ugt3a2	Q8JZZ0;Q8BRY7	8	10	9	14	6	5	11	19	25	7	24	5	8	6	9	8	10.875	25	0.257309382	523	25.42	28.17
Fumarylacetoacetase	Fah	P35505	76	106	78	104	78	88	95	82	85	95	91	80	110	103	95	106	92	110	0.258350139	419	23.7	25.74
Ras-related protein Rab-10	Rab10	P61027	9	8	12	10	9	7	9	10	12	7	11	9	9	8	7	7	9	12	0.258143125	200	24.3	27.32
Short-chain specific acyl-CoA dehydrogenase, mitochondrial	Acads	Q07417;F6RAZ3	49	71	61	57	49	63	62	56	59	60	63	57	64	57	61	77	60.375	77	0.259471068	412	22.53	24.79
Copine-1	Cpne1	Q8C166;B7ZCP4;E9Q806;A3KGK7;B7ZCP7	2	4	2	3	1	3	3	3	3	1	6	2	1	4	3	5	2.875	6	0.259411585	536	22.82	24.98
Protein-L-isoaspartate O-methyltransferase domain-containing protein 1	Pcmtd1	P59913;E9QAJ0	5	9	6	9	6	7	6	6	5	4	6	3	8	6	7	7	6.25	9	0.260081942	357	23.45	25.53
	Acat3	Q80X81;F2Z459	14	16	15	15	13	13	16	16	14	8	21	5	25	11	17	21	15	25	0.260165925	NA	NA	NA
Aspartyl aminopeptidase	Dnpep	Q9Z2W0;Q8BPW9	11	13	12	12	10	12	11	12	11	9	10	10	13	10	12	12	11.25	13	0.26053903	473	22.88	24.64
Unconventional myosin-XVIIIa	Myo18a	E9QAX2;Q9JMH9-6;Q9JMH9;B2RRE2;Q9JMH9-1;Q9JMH9-4;Q9JMH9-2;Q9JMH9-7;Q9JMH9-5;E9Q405;E9QA74	2	1	6	7	1	1	2	5	8	3	5	1	4	2	1	5	3.375	8	0.261759985	2050	22.09	23.63
Carbonyl reductase [NADPH] 1	Cbr1	P48758	37	40	31	39	28	32	31	28	33	33	34	32	36	30	37	38	33.6875	40	0.261321996	277	22.66	24.79
28S ribosomal protein S5, mitochondrial	Mrps5	Q99N87	10	8	10	7	8	10	8	7	7	7	9	8	10	9	9	9	8.5	10	0.261320493	432	23.51	25.19
Peroxisomal coenzyme A diphosphatase NUDT7	Nudt7	Q99P30;Q99P30-3;Q99P30-2;Q99P30-4;Q99P30-5	12	22	25	25	15	21	16	22	19	20	20	25	17	19	17	15	19.375	25	0.261762344	236	24.26	26.63
Transcription elongation factor SPT5	Supt5h	O55201;O55201-2	5	3	4	5	3	3	4	3	1	2	5	4	4	2	3	4	3.4375	5	0.262140901	1082	22.35	23.83
Protein phosphatase 1 regulatory subunit 7	Ppp1r7	Q3UM45	10	10	11	10	11	11	12	9	11	5	11	4	15	4	9	12	9.6875	15	0.262523272	361	22.25	24.69
Riboflavin kinase	Rfk	Q8CFV9	4	8	10	7	6	7	6	8	8	5	7	5	9	7	5	6	6.75	10	0.262386434	155	24.63	27.3
	Qars	Q8BML9;D3Z158;Q8R1V9	32	34	40	36	39	27	34	26	28	23	41	21	32	24	31	31	31.1875	41	0.263039132	775	24	26.03
ATP-dependent RNA helicase DHX8	Dhx8	F6ZF21;A2A4P0;A2A4N9	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0.3125	1	0.193246097	1244	23.16	24.83
Exocyst complex component 6	Exoc6	Q3U9D6;Q8R313	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0.3125	1	0.193527551	802	24.31	26.6
Protein Mpv17	Mpv17	D6RI47;G3UVW1;P19258;F8WHT5;E9Q1I6;D3YWI4;F6T1N2	0	2	4	0	1	1	2	3	2	1	6	1	0	1	0	2	1.625	6	0.112014616	176	25.75	28.62
Deoxyribonuclease-2-alpha	Dnase2;Dnase2a	P56542;D3Z512;D3Z5U3	1	2	2	1	1	2	1	2	2	0	1	0	2	0	0	1	1.125	2	0.091664997	353	24.03	26.42
	Acad12	D3Z7X0;D3Z2B3	2	0	3	1	2	2	3	1	1	1	0	1	3	0	0	1	1.3125	3	0.10153157	NA	NA	NA
FAST kinase domain-containing protein 2	Fastkd2	Q922E6;F6QIH7	2	1	0	1	1	2	1	2	2	0	2	0	1	0	1	3	1.1875	3	0.106187655	689	24.64	27.15
CB1 cannabinoid receptor-interacting protein 1	Cnrip1	F7C0H6;Q5M8N0	1	1	1	2	1	0	1	1	1	0	1	0	2	0	2	2	1	2	0.103345494	164	24.54	26.79
S1 RNA-binding domain-containing protein 1	Srbd1	Q497V5;F8WGW3;Q497V5-2	1	0	1	1	3	1	2	1	1	0	2	1	1	0	1	0	1	3	0.063615113	982	22.98	25.14
Ribonuclease P protein subunit p30	Rpp30	O88796	1	1	1	1	0	2	1	1	1	1	0	1	1	0	1	0	0.8125	2	0.075918839	268	23.26	25.91
Ubiquitin-conjugating enzyme E2 Z	Ube2z	Q3UE37	3	2	2	2	2	2	2	0	0	0	1	1	2	0	1	1	1.3125	3	0.059364591	356	22.8	24.52
Calcineurin subunit B type 1	Ppp3r1	Q63810;Q63810-2	2	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	0.8125	2	0.088150708	170	23.43	26.29
Serine/threonine-protein kinase 38	Stk38	Q91VJ4	2	0	2	1	3	1	2	1	3	0	2	0	1	0	3	2	1.4375	3	0.093866162	465	25.04	27.2
Cytochrome P450 4A12A	Cyp4a12a	Q91WL5	1	0	8	2	5	0	2	13	8	1	15	0	1	0	1	2	3.6875	15	0.09964602	508	25.01	27.29
Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	Pet112;Pet112l	Q99JT1;Q8BW84;Q3TLZ6	1	1	2	0	3	1	1	1	2	0	1	0	1	0	2	2	1.125	3	0.098022234	557	22.73	24.76
Lipid phosphate phosphohydrolase 3	Ppap2b	Q99JY8	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0.75	1	0.100388744	312	24.99	28.03
C1GALT1-specific chaperone 1	C1galt1c1	Q9JMG2	2	1	1	1	2	1	2	2	2	0	1	0	0	1	1	0	1.0625	2	0.055754072	316	24.98	27.69
Dolichyl-phosphate beta-glucosyltransferase	Alg5	Q9DB25	0	0	1	0	1	0	1	2	1	0	2	0	0	0	0	0	0.5	2	0.195369132	324	24.84	27.45
Inter-alpha-trypsin inhibitor heavy chain H2	Itih2	G3X977;Q61703;Q3UEG7	7	8	12	7	9	7	8	9	10	4	10	5	9	3	8	10	7.875	12	0.265996829	946	23.74	26.18
Nuclear migration protein nudC	Nudc	O35685	10	19	25	20	8	20	12	19	19	12	18	17	18	18	15	16	16.625	25	0.264540656	332	22.54	23.92
Lysosome-associated membrane glycoprotein 2	Lamp2	P17047-3;P17047-2;P17047	27	31	30	31	22	31	31	30	30	25	26	31	37	29	27	31	29.3125	37	0.265537268	415	23.65	26.69
Cytochrome c oxidase subunit 6A, mitochondrial;Cytochrome c oxidase subunit 6A1, mitochondrial	Cox6a1	Q9DCW5;P43024	2	3	3	3	1	4	2	3	3	3	4	3	4	3	4	6	3.1875	6	0.266439499	111	24.18	25.31
Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle	Actc1;Acta1	P68033;P68134	26	39	27	27	29	34	31	36	25	23	36	22	40	27	29	53	31.5	53	0.265828342	NA	NA	NA
Histone H3.2	Hist1h3b	P84228	9	13	14	14	7	9	8	14	8	8	15	8	12	11	15	18	11.4375	18	0.266133208	136	22.91	24.4
Rab GDP dissociation inhibitor beta	Gdi2	Q61598;Q61598-2	96	100	91	97	94	91	95	80	102	75	105	79	99	85	94	97	92.5	105	0.264263358	445	24.22	26.94
Ribokinase	Rbks	Q8R1Q9	5	3	4	4	4	3	3	3	8	2	4	2	4	2	2	4	3.5625	8	0.266271395	323	21.89	24.53
Tektin-2	Tekt2	Q922G7	1	3	1	2	1	2	2	2	1	2	1	1	2	1	1	1	1.5	3	0.265562608	430	22.74	24.38
Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	Mccc1	Q99MR8	40	42	49	40	39	36	48	41	38	34	47	32	49	36	40	45	41	49	0.265246479	717	23.04	24.93
Cysteine and histidine-rich domain-containing protein 1	Chordc1	Q9D1P4	15	14	16	20	14	15	18	15	13	7	22	12	20	7	22	20	15.625	22	0.265127587	331	23.59	25.43
ATP synthase subunit beta, mitochondrial	Atp5b	P56480	235	296	255	300	213	342	288	229	227	298	241	307	285	338	253	287	274.625	342	0.266921283	529	21.72	23.93
Striatin-3	Strn3	Q9ERG2;B2RQS1	2	1	1	1	1	2	4	2	1	1	3	1	2	1	2	3	1.75	4	0.268478498	796	22.3	24.24
A-kinase anchor protein 1, mitochondrial	Akap1	O08715-4;O08715;O08715-6;O08715-3;O08715-5;O08715-2	3	6	5	5	5	5	7	6	5	2	7	1	7	2	7	4	4.8125	7	0.269278589	857	21.51	23.3
Eukaryotic translation initiation factor 6	Eif6	O55135	13	11	13	11	11	13	13	9	9	10	9	10	10	5	9	8	10.25	13	0.269330908	245	21.7	24.17
Peptidyl-tRNA hydrolase 2, mitochondrial	Ptrh2	Q8R2Y8	5	4	3	5	4	3	8	4	3	3	4	3	2	3	4	4	3.875	8	0.269278288	181	22.48	24.74
Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	Aldh6a1	Q9EQ20;Q8K0L1	91	107	105	103	81	105	90	85	87	102	88	98	87	94	87	104	94.625	107	0.26867666	535	22.68	25.14
BAG family molecular chaperone regulator 3	Bag3	Q9JLV1	10	17	26	17	7	16	16	19	18	16	12	17	17	18	14	16	16	26	0.268627997	577	20.77	21.09
Protein numb homolog	Numb	Q9QZS3;Q9QZS3-3;Q9QZS3-2;Q9QZS3-4;Q05BE7	3	4	3	7	6	6	5	2	4	2	4	2	3	3	2	7	3.9375	7	0.269289406	653	22.08	23.26
Choline-phosphate cytidylyltransferase A	Pcyt1a	P49586;D3Z3T5	3	3	4	4	1	3	4	2	2	2	3	2	4	3	3	3	2.875	4	0.26959022	367	23.24	24.78
Cytochrome P450 4A10	Cyp4a10;Cyp4a32;Cyp4a31	O88833;A2A977;A2A8T1;E9PYX0;F8WGU9	1	4	4	4	1	2	2	6	9	3	4	2	0	2	2	0	2.875	9	0.126304668	509	25.21	27.61
DnaJ homolog subfamily B member 6	Dnajb6	O54946;O54946-2;G3X8S5;F6YRQ2	1	2	2	2	0	2	2	2	1	0	2	2	2	1	1	2	1.5	2	0.12730999	365	22.48	24.06
	Cad	B2RQC6;E9QAI5;G3UWN2;B7ZN27	5	7	12	7	6	7	8	8	10	7	10	7	4	7	6	8	7.4375	12	0.270112417	2225	22.85	24.84
Protein LSM12 homolog	Lsm12	Q9D0R8	1	1	2	1	1	2	3	1	1	1	4	1	5	1	3	2	1.875	5	0.270249706	195	22.12	23.76
MOB-like protein phocein	Mob4	Q6PEB6;E0CXA9;G8JL35;E0CX17	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0.3125	1	0.196803648	225	24.31	26.11
Breast cancer anti-estrogen resistance protein 3	Bcar3	Q9QZK2;Q9QZK2-2	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0.4375	1	0.202081907	820	22.84	24.38
Disheveled-associated activator of morphogenesis 1	Daam1	Q8BPM0;Q8BPM0-2;Q8BPM0-3	0	1	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0.375	2	0.203184642	1077	23.28	25.18
FAS-associated factor 2	Faf2	Q3TDN2;Q3TDN2-2;D3Z2H4	3	2	3	4	4	3	3	3	5	3	5	2	3	3	2	3	3.1875	5	0.271659594	445	23.81	24.97
Signal recognition particle receptor subunit alpha	Srpr	Q9DBG7	13	8	9	6	13	6	13	10	17	7	12	5	4	2	7	6	8.625	17	0.271541969	636	22.34	24.96
Dipeptidyl peptidase 3	Dpp3	Q99KK7	19	27	26	29	23	27	26	22	28	21	28	24	29	25	24	36	25.875	36	0.271973369	738	23.4	25.59
Zyxin	Zyx	Q62523;Q7TQE2;E9Q625	6	7	6	6	4	6	6	5	5	5	6	5	7	4	8	7	5.8125	8	0.272922124	564	21.54	21.98
Phosphate carrier protein, mitochondrial	Slc25a3	Q8VEM8;G5E902	22	14	22	21	21	9	18	22	28	14	29	17	13	15	12	13	18.125	29	0.272980496	357	24.7	27.31
28S ribosomal protein S34, mitochondrial	Mrps34	Q9JIK9	4	6	4	6	6	7	7	4	7	2	6	2	5	1	6	5	4.875	7	0.272610979	218	24.53	25.46
Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase	Gphn	A0JNY3;Q8BUV3	18	18	32	22	16	21	23	22	28	25	29	17	25	23	27	24	23.125	32	0.273761993	769	21.79	23.62
40S ribosomal protein S18	Gm10260;Rps18	F5H8M6;P62270;G3UZW2	8	8	7	6	4	6	9	5	8	5	6	7	8	6	6	6	6.5625	9	0.273740592	152	24.48	26.38
Long-chain-fatty-acid--CoA ligase 1	Acsl1	D3Z041;P41216	94	105	103	119	90	102	98	120	110	102	110	101	90	109	96	100	103.0625	120	0.276291099	699	24.09	26.81
Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide	Hspg2	E9PZ16;B1B0C7;E9QL02;Q05793;Q3UHH3	13	10	13	12	13	10	10	12	11	6	11	4	10	3	6	8	9.5	13	0.277265172	3707	21.91	23.26
	Rap1gds1	E9Q912;E9Q6Q4	1	5	5	3	1	2	4	2	3	4	4	2	3	4	3	4	3.125	5	0.275981455	NA	NA	NA
Intracellular hyaluronan-binding protein 4	Habp4	E9QKB2;Q9JKS5	7	7	5	6	7	7	8	4	3	5	8	2	6	3	5	3	5.375	8	0.277053539	411	21.03	21.33
	Psmd4	O35226-2;O35226-3;O35226-5;F7AI87	9	10	14	11	7	10	11	10	11	9	11	13	12	11	11	9	10.5625	14	0.277358715	NA	NA	NA
cAMP-dependent protein kinase catalytic subunit alpha	Prkaca	P05132;P05132-2	11	10	12	9	11	7	11	12	8	10	9	9	5	5	3	5	8.5625	12	0.276227945	351	25.41	28.15
Protein disulfide-isomerase A6	Pdia6	Q3TML0;Q922R8	22	24	21	23	19	22	21	19	22	21	21	24	21	20	26	25	21.9375	26	0.277066766	440	22.95	25.57
Redox-regulatory protein FAM213A	5730469M10Rik;Fam213a	Q3U125;Q9CYH2;D3Z252;D3Z398;D3YYG8	9	13	12	11	8	10	14	13	12	9	11	10	9	12	10	7	10.625	14	0.276879814	218	24.43	27.18
ATP synthase mitochondrial F1 complex assembly factor 1	Atpaf1	Q811I0	4	2	5	2	2	2	4	1	2	1	2	1	2	1	2	2	2.1875	5	0.274869675	324	23.41	25.6
S-adenosylmethionine synthase isoform type-1	Mat1a	Q91X83	52	69	63	79	48	85	62	72	53	81	104	78	102	110	123	112	80.8125	123	0.27435561	396	23.02	25.36
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	Ndufa10	Q99LC3	34	41	40	39	28	37	40	36	43	31	39	37	41	35	39	42	37.625	43	0.276270333	355	24.63	27.06
Interferon-induced 35 kDa protein homolog	Ifi35	Q9D8C4	17	15	17	13	14	12	18	12	14	11	17	11	16	13	13	16	14.3125	18	0.276609827	286	22.21	23.75
Programmed cell death 6-interacting protein	Pdcd6ip	Q9WU78-3;Q9WU78	38	51	55	49	31	45	52	40	47	40	51	46	57	44	50	58	47.125	58	0.277341658	869	22.3	24.31
Polypyrimidine tract-binding protein 3	Rod1;Ptbp3	G3UXA6;G8JL74;Q8BHD7;Q8BHD7-2;G3UZ01	8	6	11	6	9	4	10	4	8	6	6	6	8	5	6	8	6.9375	11	0.278078932	523	22.61	25.15
Neurolysin, mitochondrial	Nln	Q91YP2	14	16	17	14	11	11	16	13	12	8	18	10	15	11	16	13	13.4375	18	0.278214876	704	23.96	26.26
Protein asunder homolog	Asun;4933424B01Rik	Q8QZV7;F6W761	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1.0625	2	0.278735689	732	22.88	24.34
UBX domain-containing protein 6	Ubxn6	Q99PL6;Q99PL6-2;B8JJA4	1	2	2	3	2	3	1	3	1	2	3	1	1	3	1	3	2	3	0.278622678	442	22.46	23.94
Carboxypeptidase Q	Cpq	Q9WVJ3;Q9WVJ3-2	7	10	9	10	8	12	10	8	10	7	15	6	14	6	13	15	10	15	0.279136209	470	23.39	25.85
	Ppfia1	B8QI33;B2RXW8	0	2	2	2	0	1	2	2	2	0	1	1	0	1	1	1	1.125	2	0.129466365	NA	NA	NA
Golgi integral membrane protein 4	Golim4	D3YVW2;Q8BXA1	1	2	3	2	1	2	0	3	3	1	0	0	1	1	1	0	1.3125	3	0.125175152	655	21.21	20.93
CGG triplet repeat-binding protein 1	Cggbp1	Q8BHG9	5	2	2	2	1	2	4	1	0	0	2	0	2	0	1	1	1.5625	5	0.130975988	167	22.39	24.06
Cytochrome c oxidase assembly protein COX19	Cox19	Q8K0C8	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0.25	1	0.207028686	92	24.41	25.95
Sulfated glycoprotein 1	Psap	Q61207;Q8BFQ1;E9PZ00	3	8	11	10	5	8	11	11	12	11	12	9	9	12	10	8	9.375	12	0.280881366	557	22.74	24.93
	Cyp2c44	E9Q5K4	14	11	27	31	28	11	26	44	50	17	46	11	21	11	17	13	23.625	50	0.280828799	NA	NA	NA
Lamin-B2	Lmnb2	P21619;P21619-2	9	8	10	11	4	12	10	9	8	4	10	7	8	7	10	12	8.6875	12	0.281363403	596	21.24	22.33
Ubiquitin-conjugating enzyme E2 L3	Ube2l3	P68037;D3YZS3	12	12	16	11	11	9	10	8	14	14	10	9	12	13	10	9	11.25	16	0.280868214	154	24.42	26.28
Serine/threonine-protein kinase TAO3	Taok3	Q8BYC6;Q3V3K3	10	12	12	10	8	9	13	10	10	7	13	7	11	9	10	12	10.1875	13	0.280958977	898	23.4	24.59
Cell cycle control protein 50A	Tmem30a	Q8VEK0;D3YVV1	3	1	4	2	4	2	3	5	2	2	6	1	3	1	1	3	2.6875	6	0.281148292	364	24.46	26.99
BTB/POZ domain-containing protein KCTD20	Kctd20	Q8CDD8;Q8CDD8-2;B2KF11;B2KF10	1	2	5	3	1	3	1	2	4	6	1	2	1	4	6	1	2.6875	6	0.282069037	419	23.28	25.07
Copper transport protein ATOX1	Atox1	O08997	21	29	21	30	19	24	22	22	22	20	25	26	27	26	29	29	24.5	30	0.282882405	68	22.14	25.05
Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3	Agt	Q3UTR7;P11859	4	4	3	3	3	4	3	2	4	3	5	3	4	3	3	4	3.4375	5	0.28255884	477	22.72	25.19
Poly [ADP-ribose] polymerase 14	Parp14	Q2EMV9	5	2	3	3	2	2	4	3	5	1	4	2	2	2	1	1	2.625	5	0.282874649	1817	23.15	25.45
Vacuolar protein sorting-associated protein 37B	Vps37b	Q8R0J7	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	1	0.375	2	0.209698038	285	21.66	22.86
Ran-binding protein 10	Ranbp10	Q6VN19	2	3	2	2	2	1	1	1	2	2	1	1	2	1	2	2	1.6875	3	0.283343127	620	21.91	23.59
Cyclin-G-associated kinase	Gak	Q99KY4;E9QNB4;Q99KY4-2	0	0	3	0	1	0	2	1	3	0	0	0	1	0	0	1	0.75	3	0.210777419	1305	22.58	24.38
Cytosolic purine 5-nucleotidase	Nt5c2	E9Q9M1;G3X9J6;Q3V1L4	1	0	1	0	2	0	0	2	1	0	1	0	0	0	0	0	0.5	2	0.210318547	560	25.05	27.67
	Uba7	Q9DBK7;E9Q2Z8	2	3	4	3	2	2	3	3	3	2	3	2	5	2	3	3	2.8125	5	0.284328757	NA	NA	NA
Argininosuccinate synthase	Ass1	P16460	165	228	292	261	159	263	196	254	229	293	293	288	218	328	313	233	250.8125	328	0.284173513	412	24.15	26.4
4-hydroxyphenylpyruvate dioxygenase	Hpd	P49429	124	172	136	168	112	151	153	137	139	142	157	149	156	152	149	168	147.8125	172	0.283676669	393	24.47	26.52
	Ugt2b1	Q8R084	14	11	24	23	19	6	21	38	39	9	32	6	12	6	11	8	17.4375	39	0.284688838	NA	NA	NA
WD repeat domain phosphoinositide-interacting protein 3	Wdr45l	Q9CR39;B1ATT2	1	3	3	3	2	3	3	3	3	1	2	1	2	3	1	2	2.25	3	0.284617232	344	23.85	26.43
	Zc3h13	E9Q784	2	3	2	3	0	3	2	2	2	2	0	3	0	1	0	0	1.5625	3	0.214724094	1729	21.22	21
Pre-rRNA-processing protein TSR1 homolog	Tsr1	Q5SWD9;Q5SWD9-2	2	0	1	1	2	2	2	0	2	0	1	0	2	0	1	2	1.125	2	0.200436154	803	23.97	25.69
DNA-directed RNA polymerases I, II, and III subunit RPABC3	Polr2h	Q923G2	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0.6875	1	0.209130759	150	23.87	26.84
Protein CWC15 homolog	Cwc15	Q9JHS9	3	0	2	0	2	1	2	1	1	0	1	0	1	0	2	1	1.0625	3	0.219213397	229	21.74	22.72
	Gm8991;Gm6793;Gm7551	Q8BG05-2;E9Q7H5;B2RXM2;F8VPW0	55	60	58	56	49	53	61	43	53	52	51	52	61	55	54	65	54.875	65	0.285937795	NA	NA	NA
60S ribosomal protein L12	Rpl12;Rpl12-ps1	P35979;D3YX33	22	20	20	21	15	19	18	15	21	16	17	22	16	17	17	16	18.25	22	0.285934044	165	21.92	23.87
NEDD8-conjugating enzyme Ubc12	Ube2m	P61082;F7CDT0;F6WMC0;F6YXS3;G5E919	2	1	2	2	1	2	1	2	1	1	2	1	2	1	2	1	1.5	2	0.286010997	183	24.04	26.66
Coatomer subunit gamma-2	Copg2	Q9QXK3;Q9QXK3-4	8	9	9	11	9	8	8	8	10	7	6	5	5	5	6	6	7.5	11	0.286457451	871	23.3	25.68
Lysine-specific demethylase 3B	Kdm3b	B9EKS2;Q6ZPY7;Q6ZPY7-2	1	0	2	1	2	1	3	1	1	3	2	1	0	2	1	3	1.5	3	0.139687634	1562	22.25	24.17
S-adenosylmethionine synthase isoform type-2;S-adenosylmethionine synthase	Mat2a	Q3THS6;E9Q0D0;F8WJ09	3	3	1	2	2	3	2	3	1	0	1	1	2	0	2	2	1.75	3	0.134052387	395	23.29	25.56
	Eif4h	Q80U88;Q9WUK2-2	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0.875	1	0.139599887	NA	NA	NA
Eukaryotic translation initiation factor 3 subunit E	Eif3e	P60229	14	16	17	13	14	16	14	18	15	11	20	13	12	14	15	16	14.875	20	0.286794947	445	24.96	27.57
NAD(P)H-hydrate epimerase	Apoa1bp	Q8K4Z3	15	19	16	18	17	17	18	18	16	15	17	17	19	17	18	20	17.3125	20	0.287467576	282	23.56	25.85
Liprin-beta-2	Ppfibp2	O35711-4;G3X957;O35711;O35711-2	8	5	5	5	10	3	7	5	3	1	5	3	6	2	3	4	4.6875	10	0.287845504	882	22.39	23.95
Apoptosis-stimulating of p53 protein 2	Trp53bp2;Tp53bp2	E9QJU8;Q8CG79	1	1	1	3	2	1	1	1	2	1	3	2	1	1	2	2	1.5625	3	0.288380544	1128	21.7	22.85
Nucleolar protein 56	Nop56	Q9D6Z1;F7CHQ7	11	3	9	6	10	5	11	6	10	1	11	2	4	2	7	5	6.4375	11	0.288257371	580	22.51	24.88
V-type proton ATPase subunit d 1	Atp6v0d1	P51863	9	8	10	6	7	7	6	6	6	3	6	2	7	5	7	6	6.3125	10	0.288922677	351	24.78	27.59
IgG receptor FcRn large subunit p51	Fcgrt	Q61559	5	6	5	5	4	4	5	6	4	4	5	5	7	4	6	9	5.25	9	0.288934751	365	23.51	25.64
	Ciz1	Q8VEH2;A2AN61;Q3TXU6;Q3UUV0;F7AT58	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0.3125	1	0.212787097	NA	NA	NA
Glutaminase kidney isoform, mitochondrial	Gls	D3Z7P3;D3Z7P4;E9PUF0;F7B327	2	3	3	2	1	2	2	1	3	3	3	2	3	1	2	4	2.3125	4	0.289617528	674	23.1	25.39
39S ribosomal protein L46, mitochondrial	Mrpl46	Q9EQI8	6	6	6	7	5	5	6	8	9	5	5	3	6	8	9	8	6.375	9	0.289731245	283	23.35	25.38
	Gm2382	E9PXP2;Q8R1G5	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1.1875	2	0.291303396	NA	NA	NA
Protein phosphatase 1F	Ppm1f	Q8CGA0	6	5	4	6	5	5	6	3	6	2	4	3	4	4	4	2	4.3125	6	0.291289443	452	22.38	24.1
L-2-hydroxyglutarate dehydrogenase, mitochondrial	L2hgdh	Q91YP0	10	18	16	20	15	16	17	15	15	11	18	8	16	10	14	17	14.75	20	0.291111088	464	23.4	25.87
39S ribosomal protein L21, mitochondrial	Mrpl21	Q9D1N9;Q9D1N9-2	2	3	3	3	3	3	3	2	4	2	3	2	3	2	3	3	2.75	4	0.291455099	209	23.6	25.75
Interferon-inducible double stranded RNA-dependent protein kinase activator A	Prkra	Q9WTX2	7	7	7	6	8	5	7	4	3	1	2	4	7	2	1	2	4.5625	8	0.290471551	313	22.68	24.55
Protein cappuccino	Cno	Q8VED2	2	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0.4375	2	0.215493153	215	21.38	22.46
Cytidine deaminase	Cda	P56389	2	2	4	3	1	3	1	4	3	3	5	3	2	4	3	3	2.875	5	0.29225343	146	22.84	24.57
DDB1- and CUL4-associated factor 11	Dcaf11	Q91VU6;Q91VU6-2;D3Z4U8	2	7	5	7	5	8	7	8	4	3	6	3	6	5	7	7	5.625	8	0.292453066	549	23.27	25.03
