Protein.Name	Gene.Name	Uniprot.ID	ZT0	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed	Rbmx	Q9WV02;A2AFI3;Q9WV02-2;A2AFI4	1	0	2	0	1	0	2	0	1	0	1	0	1	0	0	0
Musculoskeletal embryonic nuclear protein 1	Mustn1	Q99JI1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0
Double-stranded RNA-specific adenosine deaminase	Adar	Q99MU3;Q99MU3-2;Q99MU3-5	0	0	1	0	1	0	0	0	2	1	0	0	0	2	0	0
Coagulation factor VII;Factor VII light chain;Factor VII heavy chain	F7	P70375	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0
Peroxisome assembly protein 12	Pex12	Q8VC48	0	0	2	0	0	0	0	2	2	0	3	0	0	0	0	0
Citrate synthase, mitochondrial	Cs	Q9CZU6	18	23	31	22	19	22	19	25	28	24	18	22	17	26	22	19
Peroxisomal sarcosine oxidase	Pipox	Q9D826	29	33	32	39	27	31	36	30	36	22	35	33	34	31	24	29
Alanine--tRNA ligase, cytoplasmic	Aars	Q8BGQ7	15	26	36	31	13	31	20	32	35	37	32	31	29	33	33	28
Alpha-methylacyl-CoA racemase	Amacr	O09174	38	41	34	41	31	38	36	41	30	37	37	36	36	37	36	37
Putative deoxyribose-phosphate aldolase	Dera	Q91YP3	12	6	8	11	10	3	12	5	10	3	14	4	9	3	9	7
Complex I intermediate-associated protein 30, mitochondrial	Ndufaf1	A2AQ17;Q9CWX2	7	5	7	6	6	6	7	6	6	2	5	4	5	3	5	2
Eukaryotic initiation factor 4A-II	Eif4a2	P10630-2;P10630;Q8BTU6;E9Q561	22	22	18	19	18	17	18	17	17	14	20	16	20	17	20	20
Transaldolase	Taldo1	Q93092	68	77	76	89	64	83	72	68	77	71	67	79	74	76	66	69
N-acylneuraminate cytidylyltransferase	Cmas	Q99KK2;Q99KK2-2	13	10	14	11	12	12	11	13	15	9	11	5	19	8	9	13
Heat shock protein HSP 90-alpha	Hsp90aa1	P07901	46	72	72	63	50	61	53	72	67	55	65	63	66	54	60	60
T-complex protein 1 subunit alpha	Tcp1	P11983;P11983-2	39	41	47	38	37	33	34	30	42	35	32	32	44	37	36	31
Myosin-10	Myh10	Q3UH59;Q61879;Q5SV64	3	6	8	6	5	4	6	6	10	4	6	4	3	4	4	3
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	Rpn1	Q91YQ5	31	33	44	41	29	38	31	45	49	42	46	32	38	38	38	40
Malignant T-cell-amplified sequence 1	Mcts1	Q9DB27;Q9DB27-2	17	17	16	13	21	16	16	11	16	11	20	13	16	11	13	18
Peroxiredoxin-1	Prdx1;Gm7204	P35700;B1AXW6;B1AXW5;B1AXW4;G3UW54	163	213	175	208	133	215	189	176	178	257	170	241	181	253	180	196
Calcium-binding protein 39	Cab39	Q06138	6	7	6	6	6	6	8	8	7	5	6	5	5	5	4	6
RNA-binding protein with multiple splicing 2	Rbpms2	Q8VC52;Q9CWY6	4	3	3	2	6	2	6	2	2	2	5	2	3	2	5	3
Tubulin-specific chaperone E	Tbce	Q8CIV8;E0CZ81	2	4	4	4	2	5	2	4	3	3	0	4	4	3	1	1
3-hydroxyacyl-CoA dehydratase 3	ptplad1	Q8K2C9	2	2	4	3	1	1	1	5	6	3	7	1	1	2	1	0
Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	Idh3a	Q9D6R2;Q9D6R2-2	19	20	16	15	15	22	17	17	18	14	21	19	24	16	20	24
60S ribosomal protein L24	Rpl24	E9QNJ0;Q8BP67;E9Q132	17	13	16	11	17	12	10	14	19	6	11	11	11	10	10	10
Hemoglobin subunit epsilon-Y2	Hbb-y	CON__P02070;P02104	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Protein FAM196A	Fam196a	E9PZW7;Q3USH1	3	4	3	4	2	4	2	1	4	2	2	2	3	1	4	4
Cholinesterase	Bche	Q03311	4	4	4	4	1	3	5	3	4	1	6	2	4	1	3	4
Ubiquitin-conjugating enzyme E2 R1	Cdc34;Cdc34-ps	Q8CFI2;D3YZJ6	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0
Thioredoxin-related transmembrane protein 1	Tmx1	Q8VBT0;F6V084	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0
TBC1 domain family member 15	Tbc1d15	Q9CXF4	7	5	7	5	7	5	6	7	5	2	6	3	5	4	7	4
Oligoribonuclease, mitochondrial	Rexo2	Q9D8S4	6	4	8	8	4	8	5	8	9	4	8	4	8	6	7	10
Talin-2	Tln2	E9PUM4;Q71LX4;E9Q3S3;Q8CDM9	20	14	22	15	19	14	21	8	17	5	19	7	21	10	16	21
Helicase-like transcription factor	Hltf	Q6PCN7;G3UVU1;E9PVX5	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
Mothers against decapentaplegic homolog 2	Smad2	Q62432;Q62432-2;E9Q3M0;E9Q5P9;E9PXA8	3	1	2	1	2	1	1	1	0	0	3	0	3	0	2	0
39S ribosomal protein L12, mitochondrial	Mrpl12	Q9DB15	15	14	16	15	12	11	14	11	11	9	16	10	14	11	16	13
17-beta-hydroxysteroid dehydrogenase type 6	Hsd17b6	Q9R092	1	2	5	3	1	3	2	6	7	3	5	2	1	3	3	2
Histone acetyltransferase p300	Ep300	B2RWS6;E9PYJ8	2	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0
Conserved oligomeric Golgi complex subunit 1	Cog1	F6ZJ01;Q9Z160;Q810S7;A2A6N9;F6QQB5	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0
Surfeit locus protein 6	Surf6	P70279;A2ALA0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0
Lactosylceramide alpha-2,3-sialyltransferase	St3gal5	O88829;O88829-2	1	0	2	1	1	1	1	1	1	0	1	0	0	0	1	0
Magnesium-dependent phosphatase 1	Mdp1	Q9D967	0	2	2	2	0	2	2	1	0	0	2	0	3	0	2	2
28S ribosomal protein S33, mitochondrial	Mrps33	Q9D2R8	4	4	6	3	3	2	1	3	4	2	5	2	4	2	3	2
Estradiol 17-beta-dehydrogenase 2	Hsd17b2	P51658	7	9	20	13	12	7	11	21	21	11	21	4	12	7	4	9
N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	Ddah1	Q9CWS0;D3YU15	33	29	31	27	26	26	38	25	30	19	35	20	34	22	33	34
	Pls3	B1AX58	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1
EH domain-containing protein 4	Ehd4	Q9EQP2	1	1	1	1	0	1	0	1	1	0	2	0	1	0	1	3
Neutral alpha-glucosidase C	Ganc	A2AQJ8;Q8BVW0	2	2	5	3	2	3	1	2	4	2	2	1	2	2	3	2
Tumor protein D52	Tpd52	Q62393-3;E9PUA7;Q62393-2;F8WHQ1;Q62393;D3Z7X7;D3Z125;D3Z637;D3Z2U2	6	9	7	7	6	5	9	4	4	5	9	4	6	3	5	5
Desmoplakin	Dsp	E9Q557;E9PZW0	32	23	36	25	28	19	25	30	27	15	29	11	21	20	21	23
Vesicle-trafficking protein SEC22b	Sec22b	O08547;E9Q6R3	3	2	4	5	3	3	3	5	5	4	6	4	2	4	3	2
	Cyp2b10	G3X8Q9;Q9WUD0	3	2	1	1	1	1	1	2	2	1	1	2	2	4	1	2
Fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase A	Aldoa;Aldoart2	A6ZI44;P05064;D3YWI1;D3YV98;D3Z510;A6ZI47	26	33	35	38	34	38	38	27	32	24	42	30	44	27	33	40
Calnexin	Canx	P35564	11	15	21	12	13	15	13	28	27	16	25	14	14	14	17	13
Secretory carrier-associated membrane protein 1	Scamp1	Q8K021;Q3TSA8;D3YTP4	6	8	7	8	9	7	8	7	8	4	9	3	7	5	4	8
Beta-chimaerin	Chn2	Q3V2R3;Q80XD1;Q80XD1-2;Q80XD1-3	2	1	2	2	2	2	1	2	1	2	1	1	2	2	1	1
Peroxisomal membrane protein 2	Pxmp2	Q5D073;P42925	5	4	8	10	6	7	11	12	8	8	15	7	8	7	14	12
Caprin-1	Caprin1	Q60865	21	16	17	12	14	14	15	12	12	10	18	14	18	14	20	19
Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain	Hp	Q61646	18	17	22	17	14	21	15	19	23	15	17	13	24	24	19	19
Cholesterol 7-alpha-monooxygenase	Cyp7a1	Q64505	1	2	1	2	1	1	2	4	3	1	2	1	2	1	1	1
Nucleolar protein 58	Nop58	Q6DFW4	1	4	12	8	3	6	4	9	8	6	9	3	8	7	7	4
FK506-binding protein 15;Peptidyl-prolyl cis-trans isomerase	Fkbp15	Q6P9Q6;Q6P9Q6-2;Q80YW9	4	2	2	3	2	3	6	3	2	1	5	1	5	1	4	5
Cytochrome P450 2C54	Cyp2c54	Q6XVG2	3	3	4	4	6	3	4	8	9	3	10	2	2	2	3	4
Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	Pip4k2b	Q80XI4	3	2	2	2	3	2	2	3	2	2	3	1	3	1	2	2
Beta-arrestin-1	Arrb1	Q8BWG8-2;Q8BWG8;F7DF62	4	8	7	6	6	7	8	6	7	7	6	5	9	5	4	3
Acyl-coenzyme A thioesterase 4	Acot4	Q8BWN8	1	8	8	10	5	7	8	6	7	6	11	6	7	7	9	8
Probable carboxypeptidase PM20D1	Pm20d1	Q8C165	16	13	17	14	18	13	17	12	17	13	16	13	15	12	16	16
Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	Sdha	Q8K2B3	87	96	90	101	83	87	97	80	89	74	79	83	85	79	81	79
Splicing factor 3A subunit 1	Sf3a1	Q8K4Z5	14	18	19	19	14	22	13	19	12	22	15	19	18	16	15	14
NAD-dependent protein deacetylase sirtuin-2	Sirt2	Q8VDQ8;Q8VDQ8-2;E9PXF5	12	12	14	14	14	12	18	12	12	10	13	9	12	7	13	11
Acyl-coenzyme A synthetase ACSM1, mitochondrial	Acsm1	Q91VA0;Q91VA0-2;D3Z106	61	64	71	77	55	66	60	64	75	63	65	72	64	69	58	66
NF-kappa-B inhibitor-interacting Ras-like protein 2	Nkiras2	Q9CR56	2	2	2	2	1	2	2	2	3	2	2	2	2	2	1	3
NSFL1 cofactor p47	Nsfl1c	Q9CZ44-3;Q9CZ44;A2AT02;Q9CZ44-2	7	10	8	8	8	8	8	8	7	4	10	5	13	4	13	12
Inorganic pyrophosphatase	Ppa1	Q9D819	104	103	98	109	86	104	109	94	96	79	108	89	104	95	98	111
Phytanoyl-CoA dioxygenase domain-containing protein 1	Phyhd1	Q9DB26;B7ZNN8;A2AQZ7;A2AQZ2;A2AQZ5;D6RI61;D6RIQ3	14	14	18	14	14	14	14	12	18	8	18	10	21	12	12	16
NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	Ndufs7	Q9DC70	5	7	10	11	3	9	5	12	10	6	7	10	9	9	6	9
Guanine deaminase	Gda	Q9R111;D3YU09	9	12	18	13	6	16	13	10	12	9	17	9	16	10	14	11
Vacuolar protein-sorting-associated protein 25	Vps25	A2A4J8;Q9CQ80;A2A4K0;Q9CQ80-2;A8XY17	3	5	5	3	4	2	4	3	3	2	3	2	4	2	2	3
Growth arrest-specific protein 2	Gas2	P11862;D3YWD9;D3Z503	6	2	8	4	7	3	5	2	4	3	2	4	5	4	5	7
Microsomal triglyceride transfer protein large subunit	Mttp	O08601-2;O08601	98	95	100	107	85	90	97	91	112	84	101	93	83	96	91	98
Kininogen-1;Kininogen-1 heavy chain;Bradykinin;Kininogen-1 light chain	Kng1	O08677;D3YTY9;O08677-3;O08677-2	19	21	23	24	17	22	23	20	22	21	18	23	25	24	19	23
	Oasl1	E9PY91;Q8VI94	3	1	3	2	2	2	3	2	1	1	1	1	1	2	2	2
Ribonucleoside-diphosphate reductase large subunit	Rrm1	P07742	0	0	0	1	0	1	2	0	0	0	2	0	2	0	1	2
	Ces2e	Q8BK48	20	25	23	26	15	28	22	29	24	26	25	26	25	21	21	28
Dimethylglycine dehydrogenase, mitochondrial	Dmgdh	Q9DBT9	133	166	136	166	110	153	149	134	128	145	136	155	152	164	150	158
Thioredoxin domain-containing protein 5	Txndc5	Q91W90;E9PXX7	11	20	19	21	13	18	20	20	16	17	16	19	14	22	18	19
Transgelin-2	Tagln2	Q9WVA4	8	10	10	8	8	9	8	8	12	6	9	4	10	6	9	9
Dipeptidyl peptidase 9	Dpp9	Q8BVG4;F8WJI9;Q8BVG4-2	3	12	13	17	4	12	6	12	9	9	5	10	12	10	5	5
Signal transducing adapter molecule 2	Stam2	O88811;O88811-2	2	3	5	0	3	3	3	2	2	0	3	0	4	0	1	3
Ribosomal protein L15;60S ribosomal protein L15	Gm4294;Gm10020;Rpl15-ps2;Rpl15;Gm8420;Gm5292	E9PWH9;E9QAZ2;F8WI79;Q9CZM2;E9Q1X1;D3Z0H4;B8JKK2	10	8	5	9	11	8	10	12	11	9	9	9	10	8	6	5
	Ahnak	E9Q616;F7BRM2	34	39	48	39	34	43	50	38	41	34	42	36	35	35	37	38
Breast cancer anti-estrogen resistance protein 1	Bcar1	Q61140;Q61140-2;F8WII0	1	4	3	4	2	4	4	4	2	3	1	3	3	3	1	1
Nucleolin	Ncl	P09405	46	46	41	53	36	54	40	47	47	42	41	51	46	49	39	43
ATP synthase-coupling factor 6, mitochondrial	Atp5j	P97450;E9QAD6	11	15	17	13	5	17	14	15	12	17	17	17	16	10	16	14
Bile acyl-CoA synthetase	Slc27a5	Q4LDG0;E9PXV4	21	13	31	26	25	9	20	34	41	15	38	12	18	18	13	14
tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	Trmt6	Q8CE96;Q8CE96-3	2	1	3	2	1	1	1	4	3	2	1	3	1	4	2	1
T-cell immunomodulatory protein	Itfg1	Q99KW9	3	2	3	2	2	1	2	2	3	1	3	1	2	1	3	2
Long-chain-fatty-acid--CoA ligase 4	Acsl4	Q9QUJ7;Q9QUJ7-2	6	4	5	6	4	5	6	6	8	3	6	3	6	2	4	6
Cytochrome P450 2D10	Cyp2d10	P24456;D3Z5T9	9	11	15	13	11	9	8	19	19	13	13	13	9	11	11	9
Polyphosphoinositide phosphatase	Fig4	Q91WF7	2	1	1	3	2	2	1	2	1	2	1	2	1	2	1	3
Ataxin-10	Atxn10	P28658;F8WGN7	10	7	8	8	8	7	8	7	7	5	10	5	8	4	9	9
ADP-ribose pyrophosphatase, mitochondrial	Nudt9	Q8BVU5	1	5	5	6	2	3	3	3	3	3	3	3	4	5	3	2
UDP-glucuronosyltransferase 2A3	Ugt2a3	Q8BWQ1	9	17	28	26	18	15	21	32	40	18	32	12	16	13	13	12
Haloacid dehalogenase-like hydrolase domain-containing protein 3	Hdhd3	Q9CYW4	10	11	8	10	7	8	12	7	9	8	8	10	8	8	9	10
Perilipin-3	Plin3	Q9DBG5	15	17	18	18	14	18	15	18	14	15	15	15	17	15	15	15
1,5-anhydro-D-fructose reductase	Akr1e2;Akr1e1	Q9DCT1;Q8CEB6;F8WGW8	8	5	10	9	8	9	7	8	8	7	5	7	7	6	8	7
Peroxisomal 2,4-dienoyl-CoA reductase	Decr2	Q9WV68	4	3	5	3	1	3	3	4	5	3	4	5	3	5	3	3
Sodium/potassium-transporting ATPase subunit alpha-4	Atp1a4	Q9WV27	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0
Serine/threonine-protein kinase B-raf	Braf	F6SZ47;P28028-2;P28028	21	27	23	23	19	17	23	23	22	18	25	21	22	18	23	33
Non-specific lipid-transfer protein	Scp2	P32020	164	229	173	215	132	216	216	171	167	232	183	230	176	237	176	177
Regulator of microtubule dynamics protein 3	Fam82a2	Q3UJU9	11	14	16	17	10	15	15	15	18	11	20	13	16	15	17	16
Mitofusin-1	Mfn1	Q811U4;F6XRI9	3	6	4	5	3	5	3	6	5	5	4	5	5	6	5	6
	Parp3	Q3ULW8;Q8CFB8	5	3	5	5	5	5	4	3	5	3	4	3	4	3	3	4
Serine/arginine repetitive matrix protein 1	Srrm1	Q52KI8;E9PUK6;A2A8V9;A2A8V8;E9QKA4;Q52KI8-2	5	2	4	3	5	2	4	3	3	3	3	3	5	3	4	2
Ubiquitin-protein ligase E3A	Ube3a	Q5DTH1;E9QKT1;O08759	8	6	6	5	8	6	4	6	7	3	6	3	7	4	5	5
Betaine--homocysteine S-methyltransferase 1	Bhmt	O35490	252	370	322	384	258	371	338	277	272	406	360	417	375	389	348	490
Protein NipSnap homolog 2	Gbas	O55126;Q7TMG8	3	3	4	4	4	3	3	4	5	1	3	3	4	4	3	1
Keratin, type II cytoskeletal 8	Krt8	P11679;CON__P05787	98	109	111	115	76	119	105	105	99	107	106	112	107	129	99	111
Histone H1.2	Hist1h1c	P15864	12	8	7	9	8	4	7	4	8	2	7	6	5	7	5	5
X-ray repair cross-complementing protein 6	Xrcc6	P23475	6	5	8	3	6	6	7	5	6	4	6	4	7	1	5	4
T-complex protein 1 subunit epsilon	Cct5	P80316	66	70	67	64	55	67	65	56	67	51	60	59	64	55	62	61
Ectonucleoside triphosphate diphosphohydrolase 5	Entpd5	Q3TQC7;Q9WUZ9	26	29	23	26	20	24	26	26	24	24	27	22	25	18	23	23
Thyroid hormone-inducible hepatic protein	Thrsp	Q62264	6	6	10	4	2	3	4	4	13	5	6	4	6	3	3	2
WD repeat-containing protein 92	Wdr92	Q8BGF3;F7A8I4;Q8BKZ6	1	3	4	3	4	3	5	3	4	3	3	4	4	3	3	3
Band 4.1-like protein 5	Epb41l5	Q8BGS1-2;Q8BGS1;Q8BGS1-3	7	4	7	7	10	6	7	6	6	5	6	5	6	5	5	5
NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	Ndufv3	Q8BK30	6	4	5	3	6	3	5	4	5	3	5	3	5	2	5	5
Elongation factor Tu GTP-binding domain-containing protein 1	Eftud1	Q8C0D5	8	9	8	7	6	8	9	7	7	5	7	6	6	5	7	6
	Tfg	Q9Z1A1;Q9D828;Q8C2C6;B8JJG6;B8JJG8;B8JJG7;B8JJG9	7	5	5	4	4	4	4	3	5	3	5	3	5	3	5	5
Mannose-6-phosphate isomerase	Mpi	Q924M7	8	7	10	9	5	6	9	7	8	3	11	4	12	3	10	10
Cytosol aminopeptidase	Lap3	Q9CPY7;Q9CPY7-2	137	169	151	180	125	156	149	147	136	146	134	149	148	135	149	156
Spliceosome RNA helicase Ddx39b	Ddx39b	Q9Z1N5	23	22	20	28	17	21	19	20	22	20	19	21	21	19	20	18
Baculoviral IAP repeat-containing protein 6	Birc6	O88738;O88738-2;O88738-3	6	7	7	8	6	3	7	8	9	5	6	4	6	4	5	3
Cullin-3	Cul3	Q6ZQ84;Q9JLV5;E9Q4T8	4	8	11	5	4	4	7	8	9	2	5	2	3	4	6	5
Acyl-CoA dehydrogenase family member 9, mitochondrial	Acad9	Q8JZN5	14	18	18	15	14	14	16	17	17	18	19	19	13	18	17	15
Anamorsin	Ciapin1	Q8WTY4;E0CYY1	3	3	4	4	3	2	4	3	5	3	3	2	3	4	3	3
Vacuolar protein sorting-associated protein 35	Vps35	Q9EQH3	18	19	19	25	17	16	20	18	17	15	18	15	18	17	20	18
Hypoxia up-regulated protein 1	Hyou1	Q9JKR6	49	46	46	46	30	49	46	41	49	37	39	41	45	38	34	41
Non-POU domain-containing octamer-binding protein	Nono	F6XLC7;Q99K48;Q99K48-2	7	13	11	8	8	8	7	10	10	6	11	8	12	5	9	10
Purine nucleoside phosphorylase	Pnp;Pnp2	P23492;Q543K9;Q9D8C9	19	27	29	29	23	26	31	25	17	29	31	25	26	34	28	41
Peroxisomal trans-2-enoyl-CoA reductase	Pecr	Q99MZ7;Q3UXD9	12	16	25	21	15	19	16	13	17	18	14	18	15	18	16	14
Acyl-CoA:lysophosphatidylglycerol acyltransferase 1	Lpgat1	F8WHJ5;E9QL80;Q91YX5	0	0	0	1	1	0	1	1	3	0	2	0	0	0	0	0
Annexin;Annexin A1	Anxa1	E9QA30;P10107	3	4	6	3	4	6	7	6	5	4	6	4	6	5	5	7
Vitronectin	Vtn	P29788	4	5	6	5	4	5	4	5	5	3	5	3	6	3	5	7
Peroxisomal membrane protein PEX14	Pex14	Q9R0A0	7	7	6	9	6	5	7	6	6	5	6	7	4	6	6	4
Cytochrome P450 2C50	Cyp2c50	Q91X77;Q91X77-2	10	9	19	18	15	8	16	35	35	12	28	10	9	8	12	12
39S ribosomal protein L41, mitochondrial	Mrpl41;Gm6434	Q9CQN7;F7CXS7	7	8	12	8	9	8	11	5	9	4	11	4	12	7	8	10
Histone H2A type 2-A;Histone H2A type 2-C;Histone H2A	Hist2h2aa1;Hist2h2ac;Hist1h2al	Q6GSS7;Q64523;F8WIX8	31	32	31	30	42	34	35	41	30	41	28	38	35	28	31	32
Nidogen-2	Nid2	O88322	1	0	2	1	1	2	0	1	2	0	1	2	0	0	1	0
	Micall2	Q3TN34;E9PZD2;E9PY24	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0
Nicotinamide phosphoribosyltransferase	Nampt	Q99KQ4	42	42	43	46	34	46	46	33	46	35	43	32	47	41	43	49
Cadherin-2	Cdh2	P15116;D3YYT0	8	3	8	6	3	5	5	5	6	3	10	1	8	2	5	10
Immunoglobulin-binding protein 1	Igbp1	E9Q2M7;Q61249	8	6	6	5	9	6	8	4	5	3	6	5	8	5	5	8
Endonuclease G, mitochondrial	Endog	O08600	4	3	2	2	3	2	1	2	3	2	2	2	2	1	2	2
Translocon-associated protein subunit delta	Ssr4	Q9D8L3;Q62186	16	15	17	15	17	16	12	14	17	8	11	7	16	9	10	16
Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase	Hadhb	Q99JY0	72	99	100	103	72	94	97	94	82	80	84	83	102	84	91	94
Interferon-induced transmembrane protein 3	Ifitm3	Q9CQW9	4	4	4	4	4	4	3	4	4	3	6	4	3	3	4	4
Calponin-3	Cnn3	Q9DAW9	23	22	24	24	19	22	25	19	21	17	24	17	28	21	24	29
NHL repeat-containing protein 2	Nhlrc2	F6ZR71;Q8BZW8	6	5	6	6	6	5	7	5	4	5	5	5	5	3	5	5
Protein sel-1 homolog 1	Sel1l	Q9Z2G6;Q9Z2G6-2	1	3	5	7	1	5	2	8	8	4	7	4	3	3	3	3
E3 ubiquitin-protein ligase UBR4	Ubr4	A2AN08-5;A2AN08;A2AN08-3	7	9	15	9	11	5	12	18	15	9	18	7	8	9	10	10
	Apob	E9Q414;E9Q1Y3	71	50	86	55	67	49	69	66	82	44	75	40	49	33	58	53
Methionine--tRNA ligase, cytoplasmic	Mars	E9QB02;Q68FL6	12	13	13	15	17	12	14	13	17	9	16	10	9	12	9	10
Prefoldin subunit 2	Pfdn2	O70591;F8WJ30	6	2	4	2	4	3	6	3	1	1	6	1	4	3	3	2
Regulator of microtubule dynamics protein 2	Fam82a1	Q8BSE0	9	12	10	11	6	9	12	9	12	4	14	4	10	4	8	13
Tubulin-specific chaperone cofactor E-like protein	Tbcel	Q8C5W3	6	10	14	8	7	9	10	8	11	12	11	8	12	12	12	12
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	Ogt	Q8CGY8	6	8	11	7	7	7	11	5	10	4	10	3	8	6	8	7
O-acetyl-ADP-ribose deacetylase MACROD1	Macrod1	Q922B1	3	3	4	2	1	3	3	3	5	3	3	2	2	4	2	3
BRCA2 and CDKN1A-interacting protein	Bccip	Q9CWI3	3	5	5	6	4	6	7	5	3	2	5	3	5	3	5	7
Alpha-endosulfine	Ensa	P60840;P60840-2;P60840-3	0	2	1	1	0	2	1	2	1	0	1	1	0	0	1	1
Splicing factor, arginine/serine-rich 19	Scaf1	Q5U4C3	1	0	4	1	0	1	2	2	1	0	0	2	0	1	1	1
E3 ubiquitin-protein ligase RING2	Rnf2	Q9CQJ4	1	1	1	2	1	0	1	0	1	2	0	2	0	2	1	0
Vitamin K-dependent protein Z	Proz	Q9CQW3;Q8CI01	2	3	4	2	2	2	2	1	2	0	1	0	3	0	0	0
Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1	Ftsjd2	Q9DBC3	1	1	0	2	1	1	1	1	1	2	0	1	0	2	0	0
Mitochondrial import inner membrane translocase subunit TIM44	Timm44	O35857	15	27	33	27	16	28	27	26	28	29	35	27	28	27	30	28
Polymerase delta-interacting protein 3	Poldip3	Q8BG81;Q3UDD3	3	3	1	2	2	2	3	2	1	1	1	2	3	2	1	2
Prenylcysteine oxidase	Pcyox1	Q9CQF9;F7CIP8	12	17	21	15	18	15	19	17	19	11	21	11	14	12	12	15
Plasminogen activator inhibitor 1 RNA-binding protein	Serbp1	Q9CY58;Q9CY58-2;Q9CY58-3;Q9CY58-4	21	34	27	38	20	30	20	26	24	23	17	24	15	26	13	13
Cullin-5	Cul5	G3X914;E9PV12;Q9D5V5;E9Q6Z0	3	5	3	7	4	4	3	5	7	3	8	4	3	4	2	4
Apoptotic chromatin condensation inducer in the nucleus	Acin1	Q9JIX8;E9Q9R4;Q9JIX8-4;F6RJ39	7	13	17	15	5	15	16	15	16	10	19	14	16	13	15	18
Deubiquitinating protein VCIP135	Vcpip1	F6ZDG3;Q8CDG3;Q8CDG3-2	6	8	6	8	6	8	7	6	5	3	5	4	7	4	4	6
Peptidyl-prolyl cis-trans isomerase FKBP8	Fkbp8	O35465-2;O35465	7	7	6	8	9	5	7	8	9	6	5	7	3	5	4	4
Epididymis-specific alpha-mannosidase	Man2b2	O54782	3	1	2	1	2	1	1	2	2	1	2	1	4	1	2	2
LanC-like protein 1	Lancl1	O89112	1	2	3	5	2	3	4	3	5	2	4	1	4	1	3	3
Complement component C9	C9	P06683	2	3	5	3	1	2	5	5	3	4	6	3	6	3	4	5
Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain	Itga5	P11688	4	2	3	3	5	2	5	2	3	2	1	2	1	1	1	2
Ubiquitin-like protein 4A	Ubl4a	P21126	7	9	6	4	8	5	6	3	6	2	7	5	7	1	5	5
Lupus La protein homolog	Ssb	P32067;F8WHY1;A2AR07;D6RI87	17	18	23	15	13	20	20	15	20	16	23	17	22	15	18	22
Ras-related protein Rab-2A;Ras-related protein Rab-2B	Rab2a;Rab2b	P53994;P59279;Q3TEG7	8	8	13	9	9	4	14	10	16	5	12	5	7	5	8	7
Serine hydrolase-like protein	Serhl	Q3U3G8;Q9EPB5	2	4	3	3	5	3	5	2	3	3	1	3	4	3	1	3
Heat shock protein 105 kDa	Hsph1	Q61699;Q61699-2;E9Q0U7	30	43	42	39	27	37	39	34	35	38	31	37	35	30	40	34
	Skiv2l	Q6NZR5	1	2	3	2	3	2	2	2	2	5	2	2	2	2	2	3
Nuclear pore complex protein Nup214	Nup214	Q80U93;Q8CHS9	3	2	1	5	2	4	4	3	2	1	2	4	6	2	2	2
Succinate dehydrogenase assembly factor 2, mitochondrial	Sdhaf2	Q8C6I2;Q8C6I2-3	3	3	3	3	1	3	3	2	2	2	3	2	2	2	2	1
Myc-induced nuclear antigen	Mina	Q8CD15;D3YTU3;Q8CCK9	3	6	7	6	4	6	4	6	6	3	4	4	6	5	3	4
Retinoid-inducible serine carboxypeptidase	Scpep1	Q920A5;Q3U5P4	19	16	17	18	17	13	21	16	16	13	16	12	17	9	14	17
DnaJ homolog subfamily B member 11	Dnajb11	Q99KV1	17	12	11	13	11	13	10	11	11	7	13	7	16	10	10	13
EH domain-containing protein 3	Ehd3	Q9QXY6	28	29	35	30	27	27	30	32	28	23	34	26	39	23	26	28
