Protein.Name	Gene.Name	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
Collagen alpha-2(VI) chain	Col6a2	0.716741961	0.158252257	-0.286644621	0.044940193	0.27900365	0.207627709	0.317930161	1.242532916	1.954948511	0.083630367	-0.344146748	-0.04949137	-0.087870133	-0.210264166	-0.313129735	-0.546857428
COMM domain-containing protein 6	Commd6	-0.215616477	-0.064469017	-0.041383179	-0.081748651	-0.046141782	-0.079702372	0.027322049	-0.049073097	-0.162725653	0.09411002	-0.23388806	0.002714819	0.074030954	0.153767466	-0.102053383	-0.243547227
ATP-binding cassette sub-family F member 1	Abcf1	0.26688866	0.221488616	0.301621478	0.175729082	0.258287102	0.43155923	0.135047264	0.168479424	0.064132961	0.30003978	0.201990972	0.177049641	0.135998136	0.070269589	-0.031677496	-0.178619043
Ornithine aminotransferase, mitochondrial	Oat	0.592223069	0.592027336	0.918278613	0.848608739	0.5735098	0.849804292	0.555650976	0.783091987	0.726734776	0.997520696	0.868805648	0.472629343	0.542794471	0.642999844	0.466994901	0.560238583
Sulfurtransferase;3-mercaptopyruvate sulfurtransferase	Mpst	0.223525382	0.185671073	0.107632291	0.325702068	0.200232963	0.105442188	0.134239515	0.182540462	0.079996411	0.156337684	0.134682929	0.232091005	0.257441832	0.261621257	0.161653263	0.154554109
Tyrosine-protein kinase;Tyrosine-protein kinase JAK1	Jak1	0.231718264	0.337211159	0.159524681	0.270173182	0.402740586	0.325955223	0.029573329	0.331245467	0.241048758	0.490212963	0.299364976	0.506721584	0.550401651	0.195401195	0.174637679	0.276991974
Protein C10	Grcc10	-0.053806444	0.086645245	0.027292643	0.206628451	-0.264956718	-0.157431827	-0.177343788	-0.334110568	-0.120882733	0.070557412	0.126186802	-0.066537002	0.124880504	0.11544115	0.074258771	-0.025879273
Aspartate aminotransferase, mitochondrial	Got2	0.026778149	0.057962249	0.127620368	0.064193293	0.357159825	0.087978697	0.089175254	0.094187019	0.108114249	0.145318089	0.123213939	0.195649009	0.096807439	0.162153614	0.147713452	0.123669695
Glucosylceramidase	Gba	0.531948506	0.838537935	0.864255012	0.878851944	0.847206526	1.03513564	0.879594972	0.919697085	0.607374835	0.828460084	0.863913636	0.782148903	0.922018749	0.666232808	0.957579788	0.732236505
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase	Pfkfb1	-0.09017595	-0.04082231	-0.058524312	-0.055612157	-0.228603232	-0.247562997	0.027998535	-0.216610069	-0.205017088	-0.193582525	-0.240619629	-0.101112158	-0.230448976	-0.300650908	-0.433707277	-0.522959662
Protein FAM45A	Fam45a	-0.068464451	-0.023468281	0.100282977	-0.040261223	-0.215119425	-0.186500558	0.016935262	-0.155231116	-0.075874867	-0.044464067	0.036925447	-0.02474519	0.035682701	-0.022900402	-0.044044333	-0.168385305
Elongation factor 1-delta	Eef1d	0.089390126	0.091356153	0.008348459	0.041149903	0.019068043	0.188035825	0.056866324	0.098397424	0.037784159	0.097440136	-0.038155201	0.059314536	0.056161169	0.080530243	0.096900012	0.029028579
Copine-3	Cpne3	0.067530577	0.027042723	0.063831337	0.091509862	0.170393954	0.117552584	0.020896564	0.126643498	0.164787346	0.035741855	0.158542078	0.030751869	0.167863421	0.188890716	0.238970093	0.06422346
Nucleotide exchange factor SIL1	Sil1	0.273343137	-0.028710586	0.093094016	0.059494937	0.373663666	0.137822395	-0.138028045	-0.206643224	-0.21685836	0.211414509	0.10336389	-0.279530726	0.059630253	-0.324004081	-0.334110568	-0.286999397
Proteoglycan 4;Proteoglycan 4 C-terminal part	Prg4	-0.251446432	-0.676989478	-0.725173999	-0.356707253	-0.314406508	-0.165944088	-0.432531879	-0.16066208	-0.300650908	-0.466026688	-0.797843067	-0.33616911	-0.719227257	1.294703255	-0.600935752	-0.288417627
UPF0696 protein C11orf68 homolog	AI837181;Bles03	-0.159629186	-0.198242682	-0.086647913	-0.413377445	0.003886079	-0.174534255	-0.074916402	-0.046840254	NA	-0.280837569	-0.37717929	-0.777535442	-0.424384672	-0.301938767	-0.32088898	-0.011924948
Unconventional myosin-Id	Myo1d	-0.538538164	-0.170309669	-0.027578727	-0.281431197	-0.2310637	-0.336854639	-0.578987003	-0.103665483	-0.092342769	-0.061983516	0.070118127	-0.190045887	NA	-0.110229592	-0.377401431	-0.260507478
Ubiquitin-conjugating enzyme E2 O	Ube2o	0.0464889	-0.168513676	NA	-0.048933645	-0.151209393	-0.051998468	-0.038155201	-0.003602237	-0.108223341	0.077847831	-0.004465437	-0.097745622	-0.313361959	0.009059657	0.225801206	0.500666879
Glutamine-dependent NAD(+) synthetase	Nadsyn1	-0.189539944	-0.063502942	0.173888836	0.017256438	0.270138386	-0.349478515	-0.309758271	-0.245982361	-0.105543992	-0.357946053	-0.352193538	-0.037171338	NA	-0.117562069	-0.377512488	-0.283329168
	Ugt2b35	0.837274347	1.121423741	1.981137975	1.56375286	1.620467754	0.643360349	1.349419235	1.680705784	1.500952678	1.48713599	1.857991815	1.420665355	1.099649033	1.006506779	NA	0.777393251
Vacuolar protein sorting-associated protein 4A	Vps4a	NA	-0.259784685	-0.831877241	-0.680504401	-0.437440824	-0.305211776	-0.099497201	-0.378400642	-0.188907267	-0.311968051	-0.264356271	-0.382058509	-0.405338916	-0.354113592	-0.2174789	-0.39462389
tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like	Dus3l	0.118006554	-0.032947164	0.018264228	-0.006190289	0.066427362	0.116660713	0.068271564	-0.114766793	-0.115699153	NA	0.107150493	0.239429868	0.172359799	0.3631782	0.120419691	0.171855898
N(G),N(G)-dimethylarginine dimethylaminohydrolase 2	Ddah2	-0.365356597	-0.364796523	-0.584673933	-0.436268465	-0.208017755	0.010948211	-0.059493725	-0.237318966	-0.336854639	NA	-0.454491777	-0.223175386	-0.288181352	-0.012783185	-0.665119852	-0.255440305
Methionine aminopeptidase 1D, mitochondrial	Metap1d	0.584500912	0.480800317	0.441027112	0.34404374	0.450064738	0.298034052	0.435846241	0.16689132	NA	0.441751961	0.371739662	0.475715623	0.592832187	0.266020988	0.175826859	0.067757369
Cell death regulator Aven	Aven	0.014849356	-0.070526721	-0.116098552	-0.069289713	-0.383496944	0.163946614	-0.204391163	0.160217738	0.140189435	NA	-0.075190314	-0.190425227	-0.124195772	-0.009490503	0.0747449	-0.070938821
Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	Dbt	0.222717064	0.205347083	0.191771481	0.270782248	0.255477199	0.248604837	0.351240066	0.204981187	0.254805702	0.297076547	0.281754561	0.306751699	0.372411838	0.272977018	0.348665827	0.337758035
Peroxiredoxin-5, mitochondrial	Prdx5	0.108300856	0.163074065	0.150048764	0.236537433	0.155003812	0.216937338	0.194988268	0.179204258	0.055081599	0.181247585	0.114628681	0.157318786	0.17349829	0.138918058	0.20981183	0.189861303
RAC-alpha serine/threonine-protein kinase	Akt1	-0.033652052	NA	-0.30439422	NA	0.024780708	NA	NA	NA	NA	NA	-0.140778656	NA	-0.058247217	NA	0.001703385	0.294703255
	Pank2	-4.587304977	NA	-0.415434186	NA	-0.070114503	NA	-0.66293464	NA	NA	NA	-0.427284346	NA	-0.170694234	NA	-0.246590503	NA
Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain	Ctsc	-0.091259766	0.05051736	-0.033088169	-0.083655897	-0.060324133	-0.139993302	-0.161049225	-0.450274293	-0.280718814	0.013275984	0.043199882	0.012868352	0.128045986	0.239906826	0.072376566	-0.020057652
Acetyl-CoA carboxylase 1;Biotin carboxylase	Acaca	-1.330099418	-1.319849117	-1.411372008	-1.335883377	-1.449851865	-1.620351807	-1.552475444	-1.484086559	-1.439942224	-1.376123652	-1.560519322	-1.339707507	-1.425781539	-1.426694144	-1.494518016	-1.295076458
	Ugt1a6b	0.299347223	-0.135140816	0.785228614	0.288663688	0.017811366	0.225126513	0.295322768	0.211915712	0.318721664	0.565353093	0.331608523	-0.09017595	0.022551543	-0.076148597	-0.015354834	-0.03562391
Arf-GAP domain and FG repeat-containing protein 2	Agfg2	0.189186758	0.300093068	-0.003026483	0.004218832	0.288787052	0.120937317	0.292051209	0.034751343	0.018848777	-0.0528332	-0.025879273	0.178028613	0.194212283	0.084027909	0.358324504	0.083049541
Platelet factor 4	Pf4	0.067439869	-0.001153695	-0.118891252	0.085741651	-0.115699153	0.25217438	0.24212334	0.170004352	0.392477932	-0.005759269	-0.059493725	-0.245739032	-0.440527032	0.398075332	-0.187767747	-0.048654702
UPF0587 protein C1orf123 homolog	0610037L13Rik	-0.189413431	-0.251204023	-0.214124805	-0.111164889	-0.005471851	-0.070801468	-0.151988666	-0.13211616	-0.167229454	-0.188654118	-0.246347277	-0.353662045	-0.125122061	-0.180657108	-0.233519979	-0.132642643
U6 snRNA-associated Sm-like protein LSm2	Lsm2	-0.115965432	-0.296193073	-0.339479485	-0.292192774	-0.234010733	-0.299596349	-0.327342456	-0.165043649	-0.219958398	-0.176322773	-0.556895319	-0.269631651	-0.291132012	-0.188907267	-0.193960937	-0.295723025
Glutamyl aminopeptidase	Enpep	-0.366587995	-0.242450074	-0.218471211	-0.435841916	-0.171591153	-0.385596696	-0.408711861	-0.492519788	-0.535157156	-0.125651102	-0.39297679	-0.228726355	-0.363339312	-0.319386715	-0.316956668	-0.390227437
Nuclear transport factor 2	Nutf2	-0.108624815	-0.170566057	-0.112633417	-0.162854528	0.016220171	0.025573479	-0.067638717	0.081613766	0.169582402	-0.166329818	-0.075464174	-0.067363367	-0.155231116	0.198245346	-0.159887479	0.047278785
OCIA domain-containing protein 1	Ociad1	0.113192356	-0.087327052	0.236078579	-0.118891252	0.074592967	0.078502733	-0.064331046	0.0950651	0.093294081	0.025529424	0.177147509	0.044359856	-0.396817103	-0.216485907	-0.063502942	-0.200378798
28S ribosomal protein S6, mitochondrial	Mrps6	0.261725033	0.155951859	0.099710869	0.052835087	0.172652468	0.184113114	0.185293729	-0.040401515	0.014703602	-0.162338958	0.287078522	0.554294482	0.1827042	0.108674144	0.110526457	0.010657503
Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	Ech1	-0.342554745	-0.143524033	-0.220329955	-0.311619363	-0.185105363	-0.3068455	-0.223051788	-0.22650853	-0.020484422	-0.129612738	-0.172359498	-0.092342769	-0.305095011	-0.289008146	-0.22342255	-0.095586908
T-complex protein 1 subunit delta	Cct4	-0.09044698	-0.04879418	-0.095721922	-0.147436959	-0.136453909	-0.065572312	-0.116364757	-0.091530593	-0.146264195	-0.146915848	-0.137503524	-0.125122061	-0.227617869	-0.207268173	-0.170694234	-0.10755397
Ras-related protein Rab-43	Rab43	0.093879047	0.088469472	0.150368965	0.152035154	0.04447888	0.024237765	0.084027909	0.257148691	0.035076511	0.280579964	0.241747998	0.179024583	-0.302289802	0.052655517	0.239889789	0.204515635
Uncharacterized protein C9orf142 homolog	BC029214	0.069285367	0.077528104	-0.062259894	0.282193089	0.108425275	0.314642876	-0.29372361	0.028896104	0.034352374	-0.139600465	0.183162765	0.293977878	0.317210989	0.099092628	-0.205392513	0.28393097
Formimidoyltransferase-cyclodeaminase;Glutamate formimidoyltransferase;Formimidoyltetrahydrofolate cyclodeaminase	Ftcd	0.202057354	0.114613062	0.207527752	0.268434408	0.301390335	0.194674522	0.181951159	0.124471546	0.197202942	0.164172917	0.235110367	0.231531929	0.206345454	0.184654109	0.195665531	0.279283757
39S ribosomal protein L19, mitochondrial	Mrpl19	-0.209640514	0.090311368	0.008333948	0.084716222	-0.020626651	0.058112441	0.112225204	-0.01948843	-0.068189259	0.152243563	0.007333069	0.11586319	0.050233507	0.100066477	-0.038997979	-0.02672925
Nuclear receptor corepressor 1	Ncor1	0.45118857	0.321062737	0.156514555	0.857129155	1.197202942	0.899452871	0.040778841	0.26553532	0.197037551	1.053373931	0.158976918	0.913977178	0.124597367	0.844380279	0.426373412	0.152435967
Tubulin beta-3 chain	Tubb3	NA	-0.121148056	-0.40152125	-0.009633819	0.22126996	NA	-0.262553427	-2.77452353	-1.209390977	NA	NA	NA	-0.135666197	NA	-0.076148597	-0.87026607
Protein 4.1	Epb4.1;Epb41	-0.10755397	-0.114766793	-0.184724621	-0.085288675	0.00453719	-0.025595836	-0.064882852	-0.032524066	-0.037030731	0.014820204	-0.107152199	-0.009777122	-0.084472517	-0.049630768	-0.020199923	0.015009704
Collagen alpha-1(I) chain	Col1a1	-1.428517625	-1.294664856	-1.44010174	-1.626065273	-1.187070931	-1.359970888	-1.956056652	-1.424760884	-1.414785006	-1.265376883	-1.389511746	-1.52476579	-1.495388174	-1.4722798	-1.591440065	-2.033722522
Methylosome subunit pICln	Clns1a	-0.021621858	-0.002882509	-0.096531743	0.243830672	-0.018634174	0.006782156	0.116457381	0.518742397	-0.002306467	-0.140255134	-0.244643546	-0.286289758	-0.025454096	-0.225891862	0.116113346	-0.038717108
Pterin-4-alpha-carbinolamine dehydratase 2	Pcbd2	-0.062121712	-0.034919984	-0.112633417	0.011951603	0.035741855	-0.018491749	0.099741788	-0.025879273	-0.089633736	0.007130077	0.144743793	0.085848828	0.118272741	0.011137203	0.076128226	0.064826934
GMP reductase 1	Gmpr	-0.003746139	-0.082293836	0.021526111	-0.227494651	0.78654695	-0.162467868	-0.110363243	-0.219834524	-0.441908364	0.161217616	-0.068739591	0.13882275	-0.229957009	-0.033370138	-0.261951979	-0.327687364
Ras-related protein Rab-9A	Rab9a;Rab9	0.128156351	0.256993522	0.184555731	0.086369512	0.044627675	0.197136784	0.045312326	0.198510204	0.1106978	0.229872919	0.222767571	0.088392778	0.109716751	0.068362323	0.163720347	-0.081612323
UPF0317 protein C14orf159 homolog, mitochondrial	9030617O03Rik	-0.020626651	-0.002306467	0.085512014	0.146387526	0.175061111	0.070557412	0.085956012	0.100654196	0.102558192	0.092755507	0.202571918	0.202273117	0.11211605	0.070436216	0.147122226	0.15293313
Beta-glucuronidase	Gusb	0.423545584	0.230939206	0.315719849	0.307322852	0.430372811	0.339765022	0.417501802	0.374617279	0.18390005	0.372841447	0.168268657	0.409450674	0.443909072	0.251126627	0.450340685	0.407803718
Ral GTPase-activating protein subunit alpha-2	Ralgapa2	-0.145090477	-0.042364175	-0.151339301	-0.035201596	-0.042784398	0.10421656	-0.076148597	-0.041383179	-0.136716384	0.021116142	-0.207518077	-0.135272179	-0.000144262	-0.071350804	-0.065158675	0.017358646
	Mup7	NA	NA	2.083630367	NA	NA	NA	1.385299578	NA	NA	NA	1.941808209	NA	1.975056281	NA	1.741589621	0.514408303
Lck-interacting transmembrane adapter 1	Lime1	-0.167357928	NA	-0.077379741	NA	-0.131589484	NA	-0.172487516	NA	-0.186880831	NA	-0.135797512	NA	NA	NA	NA	NA
RNA exonuclease 4	Rexo4	-0.140778656	NA	NA	NA	-0.383607534	NA	0.045029496	NA	0.007608604	NA	NA	NA	-0.678522677	NA	NA	NA
Endothelial cell-selective adhesion molecule	Esam	-0.075190314	NA	-0.54399072	NA	-0.246590503	NA	-0.07819992	NA	-0.150819598	NA	NA	NA	NA	NA	NA	NA
Protein angel homolog 2	Angel2	NA	0.123591106	NA	0.176185435	NA	0.138060512	0.115097358	NA	NA	NA	NA	0.150000741	NA	NA	NA	NA
	Tmed7	0.464464573	0.383378821	0.323913166	0.251109457	0.188528969	0.464703469	0.263576961	0.395738861	0.228300315	0.311022965	0.392496869	0.10082437	-0.084744621	0.236095571	0.272645846	0.14334092
N-alpha-acetyltransferase 50	Naa50	0.016687129	0.037103069	-0.097341109	0.027028023	-0.013212111	0.128266726	0.100901728	0.031828127	-0.03040671	-0.035342381	-0.128161401	-0.0223323	-0.046421211	-0.047259175	0.046533599	-0.126840735
ATP-binding cassette sub-family F member 3	Abcf3	0.032108381	0.153013334	0.139712537	0.082988416	-0.182565182	0.08738079	-0.03745251	-0.001730196	-0.059355278	-0.007626092	0.077878285	0.221236324	-0.02672925	0.002512476	0.077863058	-0.113033665
Cysteine--tRNA ligase, cytoplasmic	Cars	0.043408014	-0.018064389	0.012766463	-0.057692867	-0.169411952	-0.006764782	-0.164657575	-0.134878054	-0.179765808	-0.046281503	-0.172103428	-0.094641454	-0.102053383	-0.10634832	-0.229341813	-0.311270591
Transforming protein RhoA	Rhoa;4930544G11Rik	0.416596452	0.231311746	0.4115408	0.10680867	0.39088806	0.334243417	0.214022666	0.376844831	0.34596781	0.518411722	0.468311629	0.223441161	-0.15924166	0.294844835	0.306608947	0.170751181
Ras-related protein Rab-1A	Rab1A;Rab1	0.172034681	-0.005615567	0.18065881	-0.133563526	-0.085696581	0.222296245	-0.028144768	0.161314415	0.023797691	0.075094407	0.021277187	-0.011495639	-0.295605489	-0.019630756	-0.201508404	-0.000721167
Eukaryotic translation initiation factor 1A, X-chromosomal	Eif1ax	0.049024026	0.104805973	-0.01948843	-0.036608829	0.00495695	0.309162785	0.029072741	0.087764035	-0.044603951	-0.03040671	0.052685444	0.069815249	-0.082293836	0.113925952	0.113941565	0.099911854
A-kinase anchor protein 2	Gm20459;Akap2	-0.253142153	-0.418999465	-0.038576651	-0.156914315	-0.052276765	-0.314522522	0.001154618	-0.239886801	-0.113967146	-0.260627908	-0.236094579	-0.295135249	-0.0739573	0.093940636	-0.245495663	-0.346758372
Coatomer subunit beta	Copb2	0.083294071	0.059284472	-0.075874867	-0.076285443	0.019696793	0.075960941	0.087028295	0.012082531	-0.080930488	-0.012068023	0.012650026	-0.015212085	0.047905039	0.0199747	0.043482354	-0.034919984
Keratin, type II cytoskeletal 72	Krt72	0.059224345	0.203751126	0.465998179	0.258080052	1.953271479	0.245676862	0.718378893	0.458148191	0.182213042	0.270799653	0.768837969	0.357215265	0.394183312	0.483440162	0.990824843	0.39353882
SOSS complex subunit C	Ssbip1	NA	NA	-0.120750053	NA	NA	NA	0.21750756	-0.045163352	-0.398240905	-0.251931127	NA	NA	NA	0.044077212	NA	NA
Proteasome subunit alpha type-3	Psma3	-0.06502077	-0.110363243	-0.146785541	-0.189160371	-0.078609835	-0.098554307	-0.037733627	-0.165300975	-0.091259766	-0.129744606	-0.244278199	-0.08120326	-0.167871708	-0.10755397	-0.138945498	-0.08719125
Acyl-CoA-binding domain-containing protein 5	Acbd5	0.314553165	0.312634675	0.64412672	0.040660121	0.307929949	0.374430247	0.256459181	0.444910282	0.49834176	0.361805654	0.867436318	0.403942665	0.208410944	0.36252886	0.183572321	0.123072527
Translin	Tsn	0.00950978	-0.085288675	-0.033933911	-0.088955682	0.082178741	0.00500038	-0.017779413	-0.014069583	-0.102053383	-0.018064389	-0.066261442	-0.022900402	0.100004626	-0.026587622	-0.069014678	0.036703449
Protein S100-A11	Gm7665;S100a11;Gm5068	-0.349818172	-0.475084883	-0.457646819	-0.861399611	-0.45785691	-0.618520588	-0.324349789	-0.159370847	-0.476951913	-0.766807151	-0.308826824	-0.548929769	-0.39802195	-0.288890061	-0.558365607	-0.305095011
Frataxin, mitochondrial;Frataxin intermediate form;Frataxin mature form	Fxn	-0.056583528	0.016993652	-0.189792938	-0.040120917	0.134397861	-0.025028794	-0.017921908	-0.042083959	-0.057138304	0.021555399	-0.085016673	0.040912412	0.184326209	0.017840578	0.055006659	0.167928251
Keratin, type I cytoskeletal 18	Krt18	0.635651693	0.665500371	0.39619446	0.502852642	0.61991337	0.481928209	0.616702138	0.505062195	0.457335824	0.430431137	0.480518482	0.563923467	0.790010208	0.623665158	0.654808035	0.644104174
Leukemia inhibitory factor receptor	Lifr	0.692361644	0.732188573	0.612262495	0.528489953	0.856136427	1.663556639	1.168122759	1.093571141	1.145924538	0.9770428	0.737254162	0.977951835	0.771199776	0.733819144	1.055891201	0.540484445
3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial	Oxsm	0.166421706	0.119886573	-0.000432744	0.157914206	0.311291459	0.192430751	0.129260475	0.101180252	0.123874046	0.229500751	0.235500971	0.209244641	0.224418425	0.24002609	0.31954961	0.245112498
3(2),5-bisphosphate nucleotidase 1	Bpnt1	0.059509972	0.056416185	0.112365556	0.061224923	0.134983894	0.072831713	0.052027198	0.133448043	0.033923974	0.136902045	0.09480316	0.182491344	0.034825238	0.035091293	0.05326914	0.026969225
WD repeat-containing protein mio	Mios	0.806139963	0.709457637	-0.021763974	0.681978236	-0.168000125	0.657877673	0.863099911	0.780091151	0.837325901	0.714562269	0.692198462	0.320323989	-0.04851521	NA	0.271182631	0.161153087
60S ribosomal protein L27	Rpl27;Rpl27-ps1	-0.020911066	0.043185017	0.082728659	-0.03885755	-0.193960937	0.277883762	0.062068102	0.167425895	0.194558948	0.1827042	0.167668949	0.127636129	0.067863218	0.290921152	0.321026692	0.269181824
Phospholipase B-like 1	Plbd1	0.609904664	0.606671671	0.602021845	0.461044732	0.628675333	0.613365608	0.58227438	0.527990607	0.524562271	0.447445862	0.484126103	0.545803046	0.591462034	0.743617302	0.510580377	0.558282819
Transmembrane 9 superfamily member 3	Tm9sf3	0.073939838	0.190964287	0.238970093	-0.039138394	-0.123136427	0.183555937	0.272088256	0.254960635	0.289139578	0.349529523	0.045059265	0.150961523	-0.143915803	-0.148478616	-0.02474519	-0.359296259
ATP synthase subunit alpha, mitochondrial;ATP synthase subunit alpha	Atp5a1	-0.0739573	-0.054084393	-0.125915549	-0.030547964	0.030471878	-0.056583528	-0.014498127	-0.06253622	-0.08106688	-0.035905384	-0.029417547	0.021042945	0.067288704	-0.052415894	0.001530068	0.069557854
Exocyst complex component 2	Exoc2	-0.005902957	0.058923746	-0.020911066	-0.217106608	0.036067246	0.0545571	-0.198619873	0.133732923	-0.337768171	-0.153545952	0.228300315	0.067908584	0.171790891	0.009713108	-0.154453593	-0.348459062
Adipocyte plasma membrane-associated protein	Apmap	0.231684383	0.15392797	0.31656404	0.190766676	-0.058939855	0.157978591	0.185736709	0.281316167	0.196210877	0.208060935	0.251418547	0.124141318	-0.217851097	0.21074651	0.157624512	-0.052276765
Lysosomal acid lipase/cholesteryl ester hydrolase	Lipa	0.556520651	0.751465164	0.940644722	0.773762772	1.078015336	0.540778243	0.619580842	0.808993311	0.642842151	0.909715632	0.813474088	0.854622526	0.697476222	0.716955368	0.99726148	0.485034467
Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial	Idh3g	0.053613482	-0.059493725	0.102279401	-0.069702167	0.448685789	0.054017814	-0.172103428	-0.042364175	0.013348787	0.059840768	0.064721308	0.058382825	-0.061154063	-0.089362553	-0.086647913	-0.145090477
ADP-ribosylation factor 5	Arf5	0.059344602	-0.132905812	-0.049909522	-0.123533772	-0.10755397	-0.149389449	-0.046002047	0.106001047	0.203684666	-0.027720258	-0.308826824	0.285952351	-0.200880954	-0.162338958	0.143930598	0.098953561
Bile acid-CoA:amino acid N-acyltransferase	Baat	0.282789701	0.381479412	0.314894098	0.363939228	0.244497079	0.185375752	0.245266394	0.329612843	0.349823666	0.398645778	0.261534783	0.357806753	0.33509852	0.259460951	0.413230454	0.342744155
Obg-like ATPase 1	Ola1	0.015695024	0.117803032	0.107103876	0.111024965	-0.011638756	0.172815088	0.037280714	0.042575667	-0.004753055	0.06279122	0.055471351	0.062414551	0.007753644	0.035120858	-0.025028794	-0.058247217
Lon protease homolog;Lon protease homolog, mitochondrial	Lonp1	0.153045416	0.155967933	0.094033025	0.175338037	0.149072592	0.122664081	0.204715139	0.112131643	0.044523517	0.144297276	0.157640604	0.222010158	0.184982084	0.049277783	0.087166218	0.098088552
Dihydrofolate reductase	Dhfr	-0.372729271	-0.376846014	-0.412510571	-0.325271271	-0.283447708	-0.371726122	-0.418351888	-0.414893223	-0.42932137	-0.377290365	-0.390117354	-0.420724919	-0.351741389	-0.268673925	-0.398897571	-0.311735602
40S ribosomal protein S15a	Rps15a;Rps15a-ps1	0.050293261	0.087058943	0.169030808	0.048471884	0.125525636	0.203020236	0.018892627	0.10621844	-0.009490503	0.099664491	0.098212093	0.129449838	-0.007051943	0.083767966	0.035830591	-0.07299756
Microfibrillar-associated protein 1	Mfap1	0.003915011	-0.016924144	-0.117695043	-0.117695043	-0.003746139	-0.131984509	-0.19181529	-0.083928155	-0.556208672	0.017446258	-0.305795461	0.021072224	-0.181929438	-0.286053134	-0.311270591	-0.718526026
Syntaxin-binding protein 2	Stxbp2	-0.060047384	-0.198368423	-0.207892852	-0.166072676	0.166227428	-0.252900029	-0.150169706	-0.127104965	-0.243547227	-0.755485829	-0.22650853	0.074228393	-0.115965432	-0.103396924	-0.249506021	-0.135666197
DnaJ homolog subfamily C member 11	Dnajc11	0.271147811	-0.170309669	0.413979911	0.094448847	-0.210638228	-0.138683428	0.181885696	0.126060842	0.114456872	0.439461114	0.192447236	0.539897029	-0.05699963	0.187904348	-0.040120917	-0.13842131
Casein kinase II subunit alpha	Csnk2a1	-0.125651102	0.021496823	-0.11516645	0.006695189	-0.034356597	0.092186375	0.044627675	0.140793732	0.024927485	0.088270075	0.019565171	0.03082556	0.106296088	0.115425522	0.016424447	0.085512014
Ubiquitin-like protein ISG15	Isg15	-0.663207972	-0.736388401	-0.841409613	-0.864730922	-0.669480372	-0.452279135	-0.899485023	-0.703277924	-0.749405546	-0.871685968	-0.991535451	-0.756083908	-0.882916891	-0.545770726	-0.822607794	-0.754203396
Putative oxidoreductase GLYR1	Glyr1	-0.079702372	0.062188597	-0.121413331	0.075991355	0.063982141	-0.02644598	-0.102053383	-0.048654702	-0.079838881	-0.158337027	-0.165944088	0.114175772	-0.085968454	0.065460853	0.205230652	-0.111699072
DNA ligase 3;DNA ligase	Lig3	NA	0.097378397	0.124644553	-0.046979908	NA	0.110090405	-0.135403531	-0.186373777	-0.330787836	0.227877864	-0.174406419	0.034618341	0.104573281	0.094633695	-0.077242999	-0.450591032
Hepatocyte nuclear factor 4-alpha	Hnf4a	NA	-0.234991741	-0.073820233	-0.031818626	0.062188597	0.236571428	-0.018206857	-0.005328121	0.075626427	-0.041803688	-0.217354814	-0.35038409	NA	0.14769747	0.042635104	-0.114633549
Leucine-rich repeat-containing protein 16A	Lrrc16a	0.374037557	0.314427578	-0.491493981	0.083003697	-0.237318966	0.523379827	0.541072101	0.238680681	-0.449746239	NA	-0.638027485	NA	-0.261590989	-0.068877141	0.154313254	0.284967672
	Sult5a1	1.674475425	1.783240952	2.114534964	1.545824107	1.783737611	1.590397258	1.890626067	1.309538205	1.349014918	NA	1.644036538	2.167474502	2.398893041	NA	1.918769465	1.36041589
	Slc4a1ap	-0.298892881	-0.276079728	-0.694746501	-0.367818344	-0.126708602	-0.207018226	-0.373843063	-0.593019056	-0.665938454	NA	-0.150429698	0.134619575	-0.007339046	NA	-0.260146127	-0.413269114
	Tex264	NA	0.126517498	0.631600402	-0.044324169	0.100205652	0.402588012	NA	0.531927647	0.389583403	0.477261242	0.069058335	0.131977059	-0.146655222	-0.187767747	0.280001782	0.226374942
Peroxisomal membrane protein 11A	Pex11a	-0.314754522	-0.149389449	0.848920527	-0.413052429	-0.261470639	-0.333767192	0.055516329	-0.014069583	0.271739872	0.306252126	0.311953956	NA	NA	-0.69081934	-0.139731422	-0.073820233
RAC-beta serine/threonine-protein kinase	Akt2	-0.039980598	0.017139638	-0.242084171	-0.187767747	0.043913602	-0.19105724	-0.121811151	0.501708278	NA	-0.152378145	-0.168513676	-0.376623787	-0.193456366	-0.07751647	-0.147046143	NA
Serine/threonine-protein kinase WNK1	Wnk1	NA	-0.379066399	0.000663792	-0.035060797	NA	-0.043344505	-0.097475959	-0.158983251	-0.222062625	-0.165300975	-0.312781328	-0.035764654	-0.131589484	-0.091801369	-0.040261223	-0.360420466
